VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
2259;KTEL_H;Day Type 1-1;88K3_2;692665;Pre_Duty;;;;N15077;OSETH;Def;N15077;OSETH;Def;13:10:00;13:20:00







2259;KTEL_H;Day Type 1-1;88K3_2;692665;VB_Piece;88K3;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;13:20:00;22:36:00
2259;KTEL_H;Day Type 1-1;88K3_1;692666;VB_Piece;88K3;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:44:00;11:05:00
2259;KTEL_H;Day Type 1-1;8703_2;692667;Pre_Duty;;;;N15077;OSETH;Def;N15077;OSETH;Def;13:50:00;14:00:00
2259;KTEL_H;Day Type 1-1;8703_2;692667;VB_Piece;8703;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;14:00:00;22:41:00
2259;KTEL_H;Day Type 1-1;8703_1;692668;VB_Piece;8703;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:09:00;13:20:00
2259;KTEL_H;Day Type 1-1;8701_2;692669;Pre_Duty;;;;N15077;OSETH;Def;N15077;OSETH;Def;15:20:00;15:30:00
2259;KTEL_H;Day Type 1-1;8701_2;692669;VB_Piece;8701;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;15:30:00;23:51:00
2259;KTEL_H;Day Type 1-1;8701_1;692670;VB_Piece;8701;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;04:59:00;14:00:00
2259;KTEL_H;Day Type 1-1;8702_2;692671;Pre_Duty;;;;N15077;OSETH;Def;N15077;OSETH;Def;13:30:00;13:40:00
2259;KTEL_H;Day Type 1-1;8702_2;692671;VB_Piece;8702;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;13:40:00;22:11:00
2259;KTEL_H;Day Type 1-1;8702_1;692672;VB_Piece;8702;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:09:00;13:05:00
2259;KTEL_H;Day Type 1-1;88K2_1;692673;VB_Piece;88K2;;;H_Depot;KTEL_H;Def;N15077;OSETH;Def;05:09:00;12:30:00
2259;KTEL_H;Day Type 1-1;88K2_2;692674;Pre_Duty;;;;N15077;OSETH;Def;N15077;OSETH;Def;14:00:00;14:10:00
2259;KTEL_H;Day Type 1-1;88K2_2;692674;VB_Piece;88K2;;;N15077;OSETH;Def;H_Depot;KTEL_H;Def;14:10:00;23:01:00
