VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 4;2101_1;356687917;VB_Piece;2101;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:20:00;13:01:00
VERSION_U;Stavroupoli;Day Type 4;2101_2;499620403;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;13:05:00;13:15:00
VERSION_U;Stavroupoli;Day Type 4;2101_2;499620403;VB_Piece;2101;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;13:15:00;20:42:00
VERSION_U;Stavroupoli;Day Type 4;2102_1;687866539;VB_Piece;2102;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:45:00;13:31:00
VERSION_U;Stavroupoli;Day Type 4;2102_2;341371310;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;14:10:00;14:20:00
VERSION_U;Stavroupoli;Day Type 4;2102_2;341371310;VB_Piece;2102;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;14:20:00;21:44:00
VERSION_U;Stavroupoli;Day Type 4;2103_1;251984210;VB_Piece;2103;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:05:00;14:05:00
VERSION_U;Stavroupoli;Day Type 4;2103_2;151071635;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;15:00:00;15:10:00
VERSION_U;Stavroupoli;Day Type 4;2103_2;151071635;VB_Piece;2103;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;15:10:00;22:50:00
VERSION_U;Stavroupoli;Day Type 4;2104_1;400157890;VB_Piece;2104;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:35:00;14:45:00
VERSION_U;Stavroupoli;Day Type 4;2104_2;479479852;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;16:15:00;16:25:00
VERSION_U;Stavroupoli;Day Type 4;2104_2;479479852;VB_Piece;2104;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;16:25:00;24:04:00
VERSION_U;Stavroupoli;Day Type 4;2105_1;446623944;VB_Piece;2105;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;07:05:00;15:05:00
VERSION_U;Stavroupoli;Day Type 4;2105_2;833489857;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;17:10:00;17:20:00
VERSION_U;Stavroupoli;Day Type 4;2105_2;833489857;VB_Piece;2105;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;17:20:00;24:45:00
