SERVICELEVEL;CALENDAR;OPERATINGDAY;PIECETYPE;STARTINGDATE;ENDINGDATE;LINE;LINEBASIN;LINECOMPANY;PATTERN;DIRECTION;TRIPCODE;TRIPCOMPANYCODE;ACTIVITYNUMBER;LENGTH;VEHBLOCKID;DEPOT;VEHICLETYPE;VBLINE;VB_LINEBASIN;VB_LINECOMPANY;PIECEORDER;ARRIVALTIME;DEPARTURETIME;NODE;NODEBASIN;NODECOMPANY;PASSAGEORDER;BLOCK;LINE_EXCEL;EXCEL_NAME;DUTY;SOURCE_FILE
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;320436320;320436320;320436320;17512.9;;;;;;;;05:15:00;05:15:00;N1407;OSETH;Def;1;3602;36Κ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;320436320;320436320;320436320;17512.9;;;;;;;;05:32:00;05:32:00;N36080;OSETH;Def;2;3602;36Κ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;320436320;320436320;320436320;17512.9;;;;;;;;05:49:00;05:49:00;N1407;OSETH;Def;3;3602;36Κ;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;125658245;125658245;125658245;17512.9;;;;;;;;05:40:00;05:40:00;N1407;OSETH;Def;1;3601;36Κ;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;125658245;125658245;125658245;17512.9;;;;;;;;06:00:00;06:00:00;N36080;OSETH;Def;2;3601;36Κ;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;125658245;125658245;125658245;17512.9;;;;;;;;06:20:00;06:20:00;N1407;OSETH;Def;3;3601;36Κ;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;762707311;762707311;762707311;26076.68;;;;;;;;06:00:00;06:00:00;N1407;OSETH;Def;1;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;762707311;762707311;762707311;26076.68;;;;;;;;06:30:00;06:30:00;N15094;OSETH;Def;2;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36;KTEL_S;Def;2743;1;762707311;762707311;762707311;26076.68;;;;;;;;07:00:00;07:00:00;N1407;OSETH;Def;3;3602;36;line36 (2025).xlsx;3602_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
F1;;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;Revenue;2025-07-01;2025-08-31;36K;KTEL_S;Def;2751;1;199138186;199138186;199138186;17512.9;;;;;;;;06:30:00;06:30:00;N1407;OSETH;Def;1;3601;36Κ;line36 (2025).xlsx;3601_1;line36 (2025)_Timetable_ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ.csv
