correct_depot;OPERATINGDAY;DayType
Foinika;ΤΡ-ΤΕ-ΠΑ;
Foinika;ΠΕΜΠΤΗ;
Foinika;ΚΑΘΗΜΕΡΙΝΗ;
Foinika;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
Foinika;ΣΑΒΒΑΤΟ;
Foinika;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;
Foinika;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
Foinika;ΔΕΥΤΕΡΑ;
Foinika;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
H_Depot;ΣΑΒΒΑΤΟ;
H_Depot;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
H_Depot;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
H_Depot;ΚΑΘΗΜΕΡΙΝΗ;
S_Depot;ΚΑΘΗΜΕΡΙΝΗ;
S_Depot;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
S_Depot;ΔΕΥΤΕΡΑ;
S_Depot;ΤΕΤΑΡΤΗ;
S_Depot;ΤΡΙΤΗ-ΠΕΜΠΤΗ-ΠΑΡΑΣΚΕΥΗ;
S_Depot;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
S_Depot;ΣΑΒΒΑΤΟ;
S_Depot;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
Stavroupoli;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
Stavroupoli;ΔΕ ΤΡ ΤΕ ΠΑ;
Stavroupoli;ΚΑΘΗΜΕΡΙΝΗ-ΚΥΡΙΑΚΗ;
Stavroupoli;ΣΑΒΒΑΤΟ;
Stavroupoli;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
Stavroupoli;ΚΑΘΗΜΕΡΙΝΗ;
Stavroupoli;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
Stavroupoli;ΠΕΜΠΤΗ;
Stavroupoli;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
T_Depot;ΤΡΙΤΗ;
T_Depot;ΔΕ-ΤΕ-ΠΕ-ΠΑ;
T_Depot;ΚΑΘΗΜΕΡΙΝΗ-ΚΥΡΙΑΚΗ;
T_Depot;ΔΕ-ΤΡ-ΤΕ-ΠΕ;
T_Depot;ΚΑΘΗΜΕΡΙΝΗ;
T_Depot;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
T_Depot;ΤΡ-ΤΕ-ΠΕ-ΠΑ;
T_Depot;ΠΕΜΠΤΗ;
T_Depot;ΔΕ-ΤΡ-ΤΕ-ΠΑ-ΣΑ-ΚΥ;
T_Depot;ΣΑΒΒΑΤΟ;
T_Depot;ΠΑΡΑΣΚΕΥΗ;
T_Depot;ΔΕΥΤΕΡΑ;
T_Depot;ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
T_Depot;ΚΑΘΗΜΕΡΙΝΗ-ΣΑΒΒΑΤΟ-Χ;
T_Depot;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
T_Depot;ΔΕ ΤΡ ΤΕ ΠΑ;
T_Depot;ΤΡ-ΤΕ-ΠΕ;
;ΔΕ ΤΡ ΤΕ ΠΑ;
;ΠΕΜΠΤΗ;
;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-Χ;
;ΚΑΘΗΜΕΡΙΝΗ;
;ΣΑΒΒΑΤΟ-ΚΥΡΙΑΚΗ-ΑΡΓΙΕΣ;
