PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;S_Depot;3601;3601;Revenue;36K;KTEL_S;Def;251994111;251994111;N1407;OSETH;Def;N1407;OSETH;Def;05:40:00;06:20:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36K;KTEL_S;Def;722893869;722893869;N1407;OSETH;Def;N1407;OSETH;Def;06:30:00;07:10:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36H;KTEL_S;Def;317408514;317408514;N1407;OSETH;Def;N1407;OSETH;Def;07:35:00;08:20:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36E;KTEL_S;Def;147771551;147771551;N1407;OSETH;Def;N1407;OSETH;Def;08:35:00;09:20:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;200931642;200931642;N1407;OSETH;Def;N1407;OSETH;Def;09:20:00;10:20:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;791026841;791026841;N1407;OSETH;Def;N1407;OSETH;Def;10:25:00;11:25:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;344185493;344185493;N1407;OSETH;Def;N1407;OSETH;Def;11:30:00;12:30:00;;3601_1
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;859899577;859899577;N1407;OSETH;Def;N1407;OSETH;Def;12:35:00;13:35:00;;3601_2
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;657888688;657888688;N1407;OSETH;Def;N1407;OSETH;Def;13:40:00;14:40:00;;3601_2
Day Type 2;S_Depot;3601;3601;Revenue;36;KTEL_S;Def;280670711;280670711;N1407;OSETH;Def;N1407;OSETH;Def;14:45:00;15:45:00;;3601_2
