VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 5;0701_1;887143667;VB_Piece;0701;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:09:00;12:58:00
VERSION_U;Foinika;Day Type 5;0701_2;488293542;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;12:58:00;13:08:00
VERSION_U;Foinika;Day Type 5;0701_2;488293542;VB_Piece;0701;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:08:00;21:13:00
VERSION_U;Foinika;Day Type 5;0702_1;696641841;VB_Piece;0702;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:29:00;13:14:00
VERSION_U;Foinika;Day Type 5;0702_2;644741527;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;13:18:00;13:28:00
VERSION_U;Foinika;Day Type 5;0702_2;644741527;VB_Piece;0702;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:28:00;21:33:00
VERSION_U;Foinika;Day Type 5;0703_1;244343320;VB_Piece;0703;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:49:00;13:45:00
VERSION_U;Foinika;Day Type 5;0703_2;938932866;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;13:58:00;14:08:00
VERSION_U;Foinika;Day Type 5;0703_2;938932866;VB_Piece;0703;;;N45128;OSETH;Def;Foinika;OASTH;Def;14:08:00;21:52:00
VERSION_U;Foinika;Day Type 5;0704_1;930455372;VB_Piece;0704;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:09:00;14:01:00
VERSION_U;Foinika;Day Type 5;0704_2;150832460;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;17:08:00;17:18:00
VERSION_U;Foinika;Day Type 5;0704_2;150832460;VB_Piece;0704;;;N45128;OSETH;Def;Foinika;OASTH;Def;17:18:00;24:31:00
VERSION_U;Foinika;Day Type 5;0705_1;902969113;VB_Piece;0705;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:59:00;15:15:00
VERSION_U;Foinika;Day Type 5;0705_2;589418786;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;15:18:00;15:28:00
VERSION_U;Foinika;Day Type 5;0705_2;589418786;VB_Piece;0705;;;N45128;OSETH;Def;Foinika;OASTH;Def;15:28:00;23:20:00
VERSION_U;Foinika;Day Type 5;0706_1;991824398;VB_Piece;0706;;;Foinika;OASTH;Def;N45128;OSETH;Def;07:44:00;15:52:00
VERSION_U;Foinika;Day Type 5;0706_2;614236706;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;15:58:00;16:08:00
VERSION_U;Foinika;Day Type 5;0706_2;614236706;VB_Piece;0706;;;N45128;OSETH;Def;Foinika;OASTH;Def;16:08:00;24:19:00
VERSION_U;Foinika;Day Type 5;1401_1;582590308;VB_Piece;1401;;;Foinika;OASTH;Def;N15006;OSETH;Def;04:59:00;12:27:00
VERSION_U;Foinika;Day Type 5;1401_2;206126494;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;12:35:00;12:45:00
VERSION_U;Foinika;Day Type 5;1401_2;206126494;VB_Piece;1401;;;N15006;OSETH;Def;Foinika;OASTH;Def;12:45:00;20:41:00
VERSION_U;Foinika;Day Type 5;1402_1;938653225;VB_Piece;1402;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:19:00;12:40:00
VERSION_U;Foinika;Day Type 5;1402_2;810367184;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;13:05:00;13:15:00
VERSION_U;Foinika;Day Type 5;1402_2;810367184;VB_Piece;1402;;;N15006;OSETH;Def;Foinika;OASTH;Def;13:15:00;21:04:00
VERSION_U;Foinika;Day Type 5;1403_1;827150139;VB_Piece;1403;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:39:00;13:06:00
VERSION_U;Foinika;Day Type 5;1403_2;285869129;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;14:50:00;15:00:00
VERSION_U;Foinika;Day Type 5;1403_2;285869129;VB_Piece;1403;;;N15006;OSETH;Def;Foinika;OASTH;Def;15:00:00;22:41:00
VERSION_U;Foinika;Day Type 5;1404_1;468354886;VB_Piece;1404;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:59:00;13:44:00
VERSION_U;Foinika;Day Type 5;1404_2;354879655;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;15:20:00;15:30:00
VERSION_U;Foinika;Day Type 5;1404_2;354879655;VB_Piece;1404;;;N15006;OSETH;Def;Foinika;OASTH;Def;15:30:00;23:10:00
VERSION_U;Foinika;Day Type 5;1405_1;137086238;VB_Piece;1405;;;Foinika;OASTH;Def;N15006;OSETH;Def;07:05:00;14:55:00
VERSION_U;Foinika;Day Type 5;1405_2;916648397;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;15:50:00;16:00:00
VERSION_U;Foinika;Day Type 5;1405_2;916648397;VB_Piece;1405;;;N15006;OSETH;Def;Foinika;OASTH;Def;16:00:00;23:53:00
VERSION_U;Foinika;Day Type 5;1406_1;498756063;VB_Piece;1406;;;Foinika;OASTH;Def;N15006;OSETH;Def;07:32:00;15:24:00
VERSION_U;Foinika;Day Type 5;1406_2;757132380;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;16:35:00;16:45:00
VERSION_U;Foinika;Day Type 5;1406_2;757132380;VB_Piece;1406;;;N15006;OSETH;Def;Foinika;OASTH;Def;16:45:00;24:12:00
VERSION_U;Foinika;Day Type 5;1407_1;925656571;VB_Piece;1407;;;Foinika;OASTH;Def;N15006;OSETH;Def;08:08:00;15:54:00
VERSION_U;Foinika;Day Type 5;1407_2;609979818;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;17:02:00;17:12:00
VERSION_U;Foinika;Day Type 5;1407_2;609979818;VB_Piece;1407;;;N15006;OSETH;Def;Foinika;OASTH;Def;17:12:00;24:41:00
VERSION_U;Foinika;Day Type 5;1408_1;764675318;VB_Piece;1408;;;Foinika;OASTH;Def;N15006;OSETH;Def;08:43:00;16:39:00
VERSION_U;Foinika;Day Type 5;1408_2;566045411;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;17:14:00;17:24:00
VERSION_U;Foinika;Day Type 5;1408_2;566045411;VB_Piece;1408;;;N15006;OSETH;Def;Foinika;OASTH;Def;17:24:00;24:34:00
