VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 3;2101_1;440814295;VB_Piece;2101;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;04:50:00;11:42:00
VERSION_U;Stavroupoli;Day Type 3;2101_2;421289331;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;11:55:00;12:05:00
VERSION_U;Stavroupoli;Day Type 3;2101_2;421289331;VB_Piece;2101;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;12:05:00;19:27:00
VERSION_U;Stavroupoli;Day Type 3;2102_1;563866883;VB_Piece;2102;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:20:00;12:14:00
VERSION_U;Stavroupoli;Day Type 3;2102_2;615836229;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;13:50:00;14:00:00
VERSION_U;Stavroupoli;Day Type 3;2102_2;615836229;VB_Piece;2102;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;14:00:00;21:34:00
VERSION_U;Stavroupoli;Day Type 3;2103_1;202057301;VB_Piece;2103;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:10:00;13:40:00
VERSION_U;Stavroupoli;Day Type 3;2103_2;775898717;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;14:10:00;14:20:00
VERSION_U;Stavroupoli;Day Type 3;2103_2;775898717;VB_Piece;2103;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;14:20:00;22:14:00
VERSION_U;Stavroupoli;Day Type 3;2104_1;444743848;VB_Piece;2104;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:40:00;14:00:00
VERSION_U;Stavroupoli;Day Type 3;2104_2;167917973;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;15:55:00;16:05:00
VERSION_U;Stavroupoli;Day Type 3;2104_2;167917973;VB_Piece;2104;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;16:05:00;23:50:00
VERSION_U;Stavroupoli;Day Type 3;2105_1;485634223;VB_Piece;2105;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;07:10:00;14:39:00
VERSION_U;Stavroupoli;Day Type 3;2105_2;459868317;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;16:35:00;16:45:00
VERSION_U;Stavroupoli;Day Type 3;2105_2;459868317;VB_Piece;2105;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;16:45:00;24:14:00
VERSION_U;Stavroupoli;Day Type 3;2106_1;759943137;VB_Piece;2106;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;08:10:00;15:55:00
VERSION_U;Stavroupoli;Day Type 3;2106_2;372615829;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;17:10:00;17:20:00
VERSION_U;Stavroupoli;Day Type 3;2106_2;372615829;VB_Piece;2106;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;17:20:00;24:40:00
