VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 1;0701_1;567995389;VB_Piece;0701;;;N45128;OSETH;Def;N45128;OSETH;Def;05:10:00;12:58:00
VERSION_U;Foinika;Day Type 1;0701_2;121920007;VB_Piece;0701;;;N45128;OSETH;Def;N45128;OSETH;Def;13:08:00;21:12:00
VERSION_U;Foinika;Day Type 1;0702_1;780544334;VB_Piece;0702;;;N45128;OSETH;Def;N45128;OSETH;Def;05:30:00;13:14:00
VERSION_U;Foinika;Day Type 1;0702_2;399431850;VB_Piece;0702;;;N45128;OSETH;Def;N45128;OSETH;Def;13:28:00;21:32:00
VERSION_U;Foinika;Day Type 1;0703_1;651223753;VB_Piece;0703;;;N45128;OSETH;Def;N45128;OSETH;Def;05:50:00;13:45:00
VERSION_U;Foinika;Day Type 1;0703_2;618222453;VB_Piece;0703;;;N45128;OSETH;Def;N1141;OSETH;Def;14:08:00;21:51:00
VERSION_U;Foinika;Day Type 1;0704_1;295914031;VB_Piece;0704;;;N45128;OSETH;Def;N45128;OSETH;Def;06:10:00;14:01:00
VERSION_U;Foinika;Day Type 1;0704_2;841235797;VB_Piece;0704;;;N45128;OSETH;Def;N1141;OSETH;Def;17:18:00;24:30:00
VERSION_U;Foinika;Day Type 1;0705_1;275160638;VB_Piece;0705;;;N45128;OSETH;Def;N45128;OSETH;Def;07:00:00;15:15:00
VERSION_U;Foinika;Day Type 1;0705_2;155988115;VB_Piece;0705;;;N45128;OSETH;Def;N45128;OSETH;Def;15:28:00;23:19:00
VERSION_U;Foinika;Day Type 1;0706_1;849962409;VB_Piece;0706;;;N45128;OSETH;Def;N45128;OSETH;Def;07:45:00;15:52:00
VERSION_U;Foinika;Day Type 1;0706_2;348906782;VB_Piece;0706;;;N45128;OSETH;Def;N45128;OSETH;Def;16:08:00;24:18:00
VERSION_U;Foinika;Day Type 1;1401_1;309581572;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;05:00:00;12:27:00
VERSION_U;Foinika;Day Type 1;1401_2;963239449;VB_Piece;1401;;;N15006;OSETH;Def;N15006;OSETH;Def;12:45:00;20:40:00
VERSION_U;Foinika;Day Type 1;1402_1;316408223;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;05:20:00;12:40:00
VERSION_U;Foinika;Day Type 1;1402_2;437341018;VB_Piece;1402;;;N15006;OSETH;Def;N15006;OSETH;Def;13:15:00;21:03:00
VERSION_U;Foinika;Day Type 1;1403_1;563408063;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;05:40:00;13:06:00
VERSION_U;Foinika;Day Type 1;1403_2;547729773;VB_Piece;1403;;;N15006;OSETH;Def;N15006;OSETH;Def;15:00:00;22:40:00
VERSION_U;Foinika;Day Type 1;1404_1;566910592;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;06:00:00;13:44:00
VERSION_U;Foinika;Day Type 1;1404_2;492893251;VB_Piece;1404;;;N15006;OSETH;Def;N15006;OSETH;Def;15:30:00;23:09:00
VERSION_U;Foinika;Day Type 1;1405_1;367205131;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;07:06:00;14:55:00
VERSION_U;Foinika;Day Type 1;1405_2;485670806;VB_Piece;1405;;;N15006;OSETH;Def;N15006;OSETH;Def;16:00:00;23:52:00
VERSION_U;Foinika;Day Type 1;1406_1;753926898;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;07:33:00;15:24:00
VERSION_U;Foinika;Day Type 1;1406_2;418294000;VB_Piece;1406;;;N15006;OSETH;Def;N15006;OSETH;Def;16:45:00;24:11:00
VERSION_U;Foinika;Day Type 1;1407_1;101331829;VB_Piece;1407;;;N15006;OSETH;Def;N15006;OSETH;Def;08:09:00;15:54:00
VERSION_U;Foinika;Day Type 1;1407_2;919172604;VB_Piece;1407;;;N15006;OSETH;Def;N15006;OSETH;Def;17:12:00;24:40:00
VERSION_U;Foinika;Day Type 1;1408_1;272704386;VB_Piece;1408;;;N15006;OSETH;Def;N15006;OSETH;Def;08:44:00;16:39:00
VERSION_U;Foinika;Day Type 1;1408_2;559079708;VB_Piece;1408;;;N15006;OSETH;Def;N1337;OSETH;Def;17:24:00;24:33:00
