PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;120362114;120362114;N15038;OSETH;Def;N1141;OSETH;Def;05:00:00;05:26:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;633566736;633566736;N1141;OSETH;Def;N15038;OSETH;Def;05:26:00;05:54:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;526076235;526076235;N15038;OSETH;Def;N1141;OSETH;Def;06:15:00;06:42:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11E;OASTH;Def;191079376;191079376;N1141;OSETH;Def;N15038;OSETH;Def;06:42:00;07:12:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;965447901;965447901;N15038;OSETH;Def;N1141;OSETH;Def;07:30:00;07:59:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11E;OASTH;Def;741124701;741124701;N1141;OSETH;Def;N15038;OSETH;Def;07:59:00;08:33:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;343355026;343355026;N15038;OSETH;Def;N1141;OSETH;Def;08:54:00;09:27:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11E;OASTH;Def;414852935;414852935;N1141;OSETH;Def;N15038;OSETH;Def;09:27:00;10:04:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;295464814;295464814;N15038;OSETH;Def;N1141;OSETH;Def;10:25:00;10:59:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11E;OASTH;Def;569482478;569482478;N1141;OSETH;Def;N15038;OSETH;Def;10:59:00;11:37:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;362251054;362251054;N15038;OSETH;Def;N1141;OSETH;Def;11:56:00;12:30:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11E;OASTH;Def;539761473;539761473;N1141;OSETH;Def;N15038;OSETH;Def;12:30:00;13:09:00;;1101_1
Day Type 5;Foinika;1101;1101;Revenue;11B;OASTH;Def;998184561;998184561;N15038;OSETH;Def;N1141;OSETH;Def;13:21:00;13:56:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11B;OASTH;Def;212425504;212425504;N1141;OSETH;Def;N15038;OSETH;Def;13:56:00;14:35:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11M;OASTH;Def;665880861;665880861;N15038;OSETH;Def;N1141;OSETH;Def;14:52:00;15:27:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11M;OASTH;Def;488509753;488509753;N1141;OSETH;Def;N15038;OSETH;Def;15:27:00;16:05:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;978505661;978505661;N15038;OSETH;Def;N1141;OSETH;Def;16:10:00;16:43:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;585152428;585152428;N1141;OSETH;Def;N15038;OSETH;Def;16:43:00;17:21:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;139601891;139601891;N15038;OSETH;Def;N1141;OSETH;Def;17:57:00;18:29:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;358499759;358499759;N1141;OSETH;Def;N15038;OSETH;Def;18:29:00;19:07:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;512740073;512740073;N15038;OSETH;Def;N1141;OSETH;Def;19:40:00;20:13:00;;1101_2
Day Type 5;Foinika;1101;1101;Revenue;11;OASTH;Def;100990612;100990612;N1141;OSETH;Def;N15038;OSETH;Def;20:13:00;20:51:00;;1101_2
Day Type 5;Foinika;1102;1102;Revenue;11;OASTH;Def;986927366;986927366;N15038;OSETH;Def;N1141;OSETH;Def;05:25:00;05:51:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11E;OASTH;Def;439850826;439850826;N1141;OSETH;Def;N15038;OSETH;Def;05:51:00;06:19:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11;OASTH;Def;956904253;956904253;N15038;OSETH;Def;N1141;OSETH;Def;06:40:00;07:07:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11E;OASTH;Def;556939791;556939791;N1141;OSETH;Def;N15038;OSETH;Def;07:07:00;07:38:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11;OASTH;Def;213135454;213135454;N15038;OSETH;Def;N1141;OSETH;Def;07:45:00;08:14:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11E;OASTH;Def;210039470;210039470;N1141;OSETH;Def;N15038;OSETH;Def;08:14:00;08:49:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11B;OASTH;Def;600383816;600383816;N15038;OSETH;Def;N1141;OSETH;Def;09:20:00;09:54:00;;1102_1
Day Type 5;Foinika;1102;1102;Revenue;11B;OASTH;Def;601444802;601444802;N1141;OSETH;Def;N15038;OSETH;Def;09:54:00;10:31:00;;1102_1
