PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;192873538;192873538;N15038;OSETH;Def;N1427;OSETH;Def;06:45:00;07:05:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;900464377;900464377;N1427;OSETH;Def;N15038;OSETH;Def;07:10:00;07:25:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;323090063;323090063;N15038;OSETH;Def;N1427;OSETH;Def;07:30:00;07:50:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;882620395;882620395;N1427;OSETH;Def;N15038;OSETH;Def;07:55:00;08:10:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;238924201;238924201;N15038;OSETH;Def;N1427;OSETH;Def;08:15:00;08:35:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;102512866;102512866;N1427;OSETH;Def;N15038;OSETH;Def;08:40:00;08:55:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;875918753;875918753;N15038;OSETH;Def;N1427;OSETH;Def;09:05:00;09:25:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;303832969;303832969;N1427;OSETH;Def;N15038;OSETH;Def;09:30:00;09:45:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;852054111;852054111;N15038;OSETH;Def;N1427;OSETH;Def;09:50:00;10:10:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;640805897;640805897;N1427;OSETH;Def;N15038;OSETH;Def;10:15:00;10:30:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;952965765;952965765;N15038;OSETH;Def;N1427;OSETH;Def;10:45:00;11:05:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;903800756;903800756;N1427;OSETH;Def;N15038;OSETH;Def;11:10:00;11:25:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;460630577;460630577;N15038;OSETH;Def;N1427;OSETH;Def;11:35:00;11:55:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;578974098;578974098;N1427;OSETH;Def;N15038;OSETH;Def;12:00:00;12:15:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;314936971;314936971;N15038;OSETH;Def;N1427;OSETH;Def;12:40:00;13:00:00;;1141_1
Day Type 3;Foinika;1141;1141;Revenue;11T;OASTH;Def;419852493;419852493;N1427;OSETH;Def;N15038;OSETH;Def;13:05:00;13:20:00;;1141_1
