PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;940868517;940868517;N1427;OSETH;Def;N36013;OSETH;Def;05:30:00;05:50:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;460999929;460999929;N36013;OSETH;Def;N1427;OSETH;Def;05:55:00;06:20:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;888707586;888707586;N1427;OSETH;Def;N36013;OSETH;Def;06:30:00;06:50:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;658558310;658558310;N36013;OSETH;Def;N1427;OSETH;Def;06:55:00;07:20:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;402226811;402226811;N1427;OSETH;Def;N36013;OSETH;Def;07:30:00;07:50:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;818968526;818968526;N36013;OSETH;Def;N1427;OSETH;Def;07:50:00;08:15:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;387195871;387195871;N1427;OSETH;Def;N36013;OSETH;Def;08:20:00;08:40:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;529722825;529722825;N36013;OSETH;Def;N1427;OSETH;Def;08:45:00;09:10:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;692954541;692954541;N1427;OSETH;Def;N36013;OSETH;Def;09:20:00;09:40:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;796401235;796401235;N36013;OSETH;Def;N1427;OSETH;Def;09:45:00;10:10:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;460110960;460110960;N1427;OSETH;Def;N36013;OSETH;Def;10:30:00;10:50:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;897502213;897502213;N36013;OSETH;Def;N1427;OSETH;Def;10:55:00;11:20:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;781228056;781228056;N1427;OSETH;Def;N36013;OSETH;Def;11:30:00;11:50:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;156409529;156409529;N36013;OSETH;Def;N1427;OSETH;Def;11:55:00;12:20:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;844992435;844992435;N1427;OSETH;Def;N36013;OSETH;Def;12:25:00;12:45:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;200974255;200974255;N36013;OSETH;Def;N1427;OSETH;Def;12:50:00;13:15:00;;7801_1
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;535734638;535734638;N1427;OSETH;Def;N36013;OSETH;Def;13:25:00;13:45:00;;7801_2
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;940515014;940515014;N36013;OSETH;Def;N1427;OSETH;Def;13:50:00;14:15:00;;7801_2
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;629612450;629612450;N1427;OSETH;Def;N36013;OSETH;Def;14:25:00;14:45:00;;7801_2
Day Type 1;Foinika;7801;7801;Revenue;02X;OASTH;Def;293448689;293448689;N36013;OSETH;Def;N1427;OSETH;Def;14:50:00;15:15:00;;7801_2
