PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;436712363;436712363;N15038;OSETH;Def;N1141;OSETH;Def;05:00:00;05:26:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;121593218;121593218;N1141;OSETH;Def;N15038;OSETH;Def;05:26:00;05:54:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;708754706;708754706;N15038;OSETH;Def;N1141;OSETH;Def;06:15:00;06:42:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11E;OASTH;Def;773116846;773116846;N1141;OSETH;Def;N15038;OSETH;Def;06:42:00;07:12:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;638129999;638129999;N15038;OSETH;Def;N1141;OSETH;Def;07:30:00;07:59:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11E;OASTH;Def;591140102;591140102;N1141;OSETH;Def;N15038;OSETH;Def;07:59:00;08:33:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;599459958;599459958;N15038;OSETH;Def;N1141;OSETH;Def;08:54:00;09:27:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11E;OASTH;Def;189569538;189569538;N1141;OSETH;Def;N15038;OSETH;Def;09:27:00;10:04:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;859169122;859169122;N15038;OSETH;Def;N1141;OSETH;Def;10:25:00;10:59:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11E;OASTH;Def;607440752;607440752;N1141;OSETH;Def;N15038;OSETH;Def;10:59:00;11:37:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11;OASTH;Def;539745122;539745122;N15038;OSETH;Def;N1141;OSETH;Def;11:56:00;12:30:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11E;OASTH;Def;904531653;904531653;N1141;OSETH;Def;N15038;OSETH;Def;12:30:00;13:09:00;;1101_1
Day Type 2;Foinika;1101;1101;Revenue;11B;OASTH;Def;669769983;669769983;N15038;OSETH;Def;N1141;OSETH;Def;13:21:00;13:56:00;;1101_2
