PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;485818649;485818649;N15056;OSETH;Def;N1331;OSETH;Def;05:15:00;05:47:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39A;OASTH;Def;770516812;770516812;N1331;OSETH;Def;N15056;OSETH;Def;05:49:00;06:24:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;291346894;291346894;N15056;OSETH;Def;N1331;OSETH;Def;06:30:00;07:03:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;764761549;764761549;N1331;OSETH;Def;N15056;OSETH;Def;07:05:00;07:42:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;387324701;387324701;N15056;OSETH;Def;N1331;OSETH;Def;07:55:00;08:30:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;628957582;628957582;N1331;OSETH;Def;N15056;OSETH;Def;08:31:00;09:06:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;432677834;432677834;N15056;OSETH;Def;N1331;OSETH;Def;09:26:00;10:06:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;725618320;725618320;N1331;OSETH;Def;N15056;OSETH;Def;10:08:00;10:50:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;285112100;285112100;N15056;OSETH;Def;N1331;OSETH;Def;11:04:00;11:52:00;;3901_1
Day Type 4;Foinika;3901;3901;Revenue;39;OASTH;Def;412992556;412992556;N1331;OSETH;Def;N15056;OSETH;Def;11:54:00;12:39:00;;3901_1
