PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;853906761;853906761;N1337;OSETH;Def;N1427;OSETH;Def;05:15:00;05:45:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;708747785;708747785;N1427;OSETH;Def;N1337;OSETH;Def;06:00:00;06:29:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;529850002;529850002;N1337;OSETH;Def;N1427;OSETH;Def;06:31:00;07:01:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;239890617;239890617;N1427;OSETH;Def;N1337;OSETH;Def;07:10:00;07:39:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;437768104;437768104;N1337;OSETH;Def;N1427;OSETH;Def;07:41:00;08:12:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;854772081;854772081;N1427;OSETH;Def;N1337;OSETH;Def;08:46:00;09:17:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;586473460;586473460;N1337;OSETH;Def;N1427;OSETH;Def;09:19:00;09:51:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;652092195;652092195;N1427;OSETH;Def;N1337;OSETH;Def;10:05:00;10:38:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;606829567;606829567;N1337;OSETH;Def;N1427;OSETH;Def;10:40:00;11:15:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;700681933;700681933;N1427;OSETH;Def;N1337;OSETH;Def;11:30:00;12:05:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;804831282;804831282;N1337;OSETH;Def;N1427;OSETH;Def;12:07:00;12:43:00;;1001_1
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;903941412;903941412;N1427;OSETH;Def;N1337;OSETH;Def;12:56:00;13:31:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;105351325;105351325;N1337;OSETH;Def;N1427;OSETH;Def;13:33:00;14:09:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;703283206;703283206;N1427;OSETH;Def;N1337;OSETH;Def;14:20:00;14:55:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;283829153;283829153;N1337;OSETH;Def;N1427;OSETH;Def;14:57:00;15:33:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;946059371;946059371;N1427;OSETH;Def;N1337;OSETH;Def;15:38:00;16:12:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;509448802;509448802;N1337;OSETH;Def;N1427;OSETH;Def;16:14:00;16:50:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;684737454;684737454;N1427;OSETH;Def;N1337;OSETH;Def;17:23:00;17:57:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;912580000;912580000;N1337;OSETH;Def;N1427;OSETH;Def;17:59:00;18:34:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;376201985;376201985;N1427;OSETH;Def;N1337;OSETH;Def;18:52:00;19:26:00;;1001_2
Day Type 3;Foinika;1001;1001;Revenue;10;OASTH;Def;309215428;309215428;N1337;OSETH;Def;N1427;OSETH;Def;19:28:00;20:03:00;;1001_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;352070229;352070229;N1427;OSETH;Def;N1337;OSETH;Def;05:00:00;05:28:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;661576886;661576886;N1337;OSETH;Def;N1427;OSETH;Def;05:30:00;06:00:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;888132862;888132862;N1427;OSETH;Def;N1337;OSETH;Def;06:15:00;06:44:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;964183598;964183598;N1337;OSETH;Def;N1427;OSETH;Def;06:46:00;07:16:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;448197994;448197994;N1427;OSETH;Def;N1337;OSETH;Def;07:30:00;07:59:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;958369554;958369554;N1337;OSETH;Def;N1427;OSETH;Def;08:01:00;08:32:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;981641853;981641853;N1427;OSETH;Def;N1337;OSETH;Def;08:57:00;09:28:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;638800664;638800664;N1337;OSETH;Def;N1427;OSETH;Def;09:30:00;10:03:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;778601111;778601111;N1427;OSETH;Def;N1337;OSETH;Def;10:27:00;11:00:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;407055371;407055371;N1337;OSETH;Def;N1427;OSETH;Def;11:02:00;11:37:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;970750707;970750707;N1427;OSETH;Def;N1337;OSETH;Def;11:50:00;12:25:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;565713281;565713281;N1337;OSETH;Def;N1427;OSETH;Def;12:27:00;13:03:00;;1002_1
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;882601575;882601575;N1427;OSETH;Def;N1337;OSETH;Def;13:22:00;13:58:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;848639125;848639125;N1337;OSETH;Def;N1427;OSETH;Def;14:00:00;14:36:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;100260504;100260504;N1427;OSETH;Def;N1337;OSETH;Def;14:50:00;15:25:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;693613023;693613023;N1337;OSETH;Def;N1427;OSETH;Def;15:27:00;16:03:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;905910831;905910831;N1427;OSETH;Def;N1337;OSETH;Def;16:23:00;16:57:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;919004880;919004880;N1337;OSETH;Def;N1427;OSETH;Def;16:59:00;17:34:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;343398409;343398409;N1427;OSETH;Def;N1337;OSETH;Def;18:07:00;18:41:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;714041016;714041016;N1337;OSETH;Def;N1427;OSETH;Def;18:43:00;19:18:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;729967725;729967725;N1427;OSETH;Def;N1337;OSETH;Def;19:28:00;20:02:00;;1002_2
Day Type 3;Foinika;1002;1002;Revenue;10;OASTH;Def;687788581;687788581;N1337;OSETH;Def;N1427;OSETH;Def;20:04:00;20:38:00;;1002_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;779071954;779071954;N1427;OSETH;Def;N1337;OSETH;Def;05:15:00;05:43:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;649899504;649899504;N1337;OSETH;Def;N1427;OSETH;Def;05:45:00;06:15:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;316654783;316654783;N1427;OSETH;Def;N1337;OSETH;Def;06:28:00;06:57:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;362921136;362921136;N1337;OSETH;Def;N1427;OSETH;Def;06:59:00;07:30:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;823825884;823825884;N1427;OSETH;Def;N1337;OSETH;Def;07:40:00;08:10:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;491065045;491065045;N1337;OSETH;Def;N1427;OSETH;Def;08:12:00;08:44:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;305606184;305606184;N1427;OSETH;Def;N1337;OSETH;Def;09:08:00;09:40:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;240129067;240129067;N1337;OSETH;Def;N1427;OSETH;Def;09:42:00;10:15:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;937664202;937664202;N1427;OSETH;Def;N1337;OSETH;Def;10:38:00;11:11:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;722886826;722886826;N1337;OSETH;Def;N1427;OSETH;Def;11:13:00;11:48:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;175920423;175920423;N1427;OSETH;Def;N1337;OSETH;Def;12:00:00;12:35:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;767427847;767427847;N1337;OSETH;Def;N1427;OSETH;Def;12:37:00;13:13:00;;1003_1
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;178815299;178815299;N1427;OSETH;Def;N1337;OSETH;Def;13:36:00;14:12:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;962117058;962117058;N1337;OSETH;Def;N1427;OSETH;Def;14:14:00;14:50:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;441933809;441933809;N1427;OSETH;Def;N1337;OSETH;Def;15:06:00;15:41:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;490101122;490101122;N1337;OSETH;Def;N1427;OSETH;Def;15:43:00;16:19:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;721318907;721318907;N1427;OSETH;Def;N1337;OSETH;Def;16:48:00;17:22:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;388010707;388010707;N1337;OSETH;Def;N1427;OSETH;Def;17:24:00;17:59:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;205240473;205240473;N1427;OSETH;Def;N1337;OSETH;Def;18:29:00;19:03:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;435726893;435726893;N1337;OSETH;Def;N1427;OSETH;Def;19:05:00;19:40:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;647044416;647044416;N1427;OSETH;Def;N1337;OSETH;Def;19:52:00;20:26:00;;1003_2
Day Type 3;Foinika;1003;1003;Revenue;10;OASTH;Def;620504157;620504157;N1337;OSETH;Def;N1427;OSETH;Def;20:28:00;21:02:00;;1003_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;847389086;847389086;N1427;OSETH;Def;N1337;OSETH;Def;05:30:00;05:58:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;524485371;524485371;N1337;OSETH;Def;N1427;OSETH;Def;06:00:00;06:30:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;119925764;119925764;N1427;OSETH;Def;N1337;OSETH;Def;06:39:00;07:08:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;721308994;721308994;N1337;OSETH;Def;N1427;OSETH;Def;07:10:00;07:41:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;667405003;667405003;N1427;OSETH;Def;N1337;OSETH;Def;07:51:00;08:21:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;921084846;921084846;N1337;OSETH;Def;N1427;OSETH;Def;08:23:00;08:55:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;342728272;342728272;N1427;OSETH;Def;N1337;OSETH;Def;09:20:00;09:53:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;289436821;289436821;N1337;OSETH;Def;N1427;OSETH;Def;09:55:00;10:28:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;544526856;544526856;N1427;OSETH;Def;N1337;OSETH;Def;10:49:00;11:23:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;303852847;303852847;N1337;OSETH;Def;N1427;OSETH;Def;11:25:00;12:01:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;319643506;319643506;N1427;OSETH;Def;N1337;OSETH;Def;12:11:00;12:46:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;764569227;764569227;N1337;OSETH;Def;N1427;OSETH;Def;12:48:00;13:24:00;;1004_1
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;136513518;136513518;N1427;OSETH;Def;N1337;OSETH;Def;13:50:00;14:26:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;202787456;202787456;N1337;OSETH;Def;N1427;OSETH;Def;14:28:00;15:04:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;827794360;827794360;N1427;OSETH;Def;N1337;OSETH;Def;15:22:00;15:57:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;440262667;440262667;N1337;OSETH;Def;N1427;OSETH;Def;15:59:00;16:35:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;469063136;469063136;N1427;OSETH;Def;N1337;OSETH;Def;17:12:00;17:46:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;506416180;506416180;N1337;OSETH;Def;N1427;OSETH;Def;17:48:00;18:23:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;254813665;254813665;N1427;OSETH;Def;N1337;OSETH;Def;18:40:00;19:14:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;917518360;917518360;N1337;OSETH;Def;N1427;OSETH;Def;19:16:00;19:51:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;304372554;304372554;N1427;OSETH;Def;N1337;OSETH;Def;20:18:00;20:52:00;;1004_2
Day Type 3;Foinika;1004;1004;Revenue;10;OASTH;Def;167712898;167712898;N1337;OSETH;Def;N1427;OSETH;Def;20:54:00;21:28:00;;1004_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;439393470;439393470;N1427;OSETH;Def;N1337;OSETH;Def;05:45:00;06:14:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;212060415;212060415;N1337;OSETH;Def;N1427;OSETH;Def;06:16:00;06:46:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;871385470;871385470;N1427;OSETH;Def;N1337;OSETH;Def;07:00:00;07:29:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;623040846;623040846;N1337;OSETH;Def;N1427;OSETH;Def;07:31:00;08:02:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;824748725;824748725;N1427;OSETH;Def;N1337;OSETH;Def;08:13:00;08:44:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;964314527;964314527;N1337;OSETH;Def;N1427;OSETH;Def;08:46:00;09:18:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;405711311;405711311;N1427;OSETH;Def;N1337;OSETH;Def;09:54:00;10:27:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;314002596;314002596;N1337;OSETH;Def;N1427;OSETH;Def;10:29:00;11:03:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;600465756;600465756;N1427;OSETH;Def;N1337;OSETH;Def;11:10:00;11:45:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;498280613;498280613;N1337;OSETH;Def;N1427;OSETH;Def;11:47:00;12:23:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;784972031;784972031;N1427;OSETH;Def;N1337;OSETH;Def;12:33:00;13:08:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;972766453;972766453;N1337;OSETH;Def;N1427;OSETH;Def;13:10:00;13:46:00;;1005_1
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;175492307;175492307;N1427;OSETH;Def;N1337;OSETH;Def;14:35:00;15:10:00;;1005_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;475179273;475179273;N1337;OSETH;Def;N1427;OSETH;Def;15:12:00;15:48:00;;1005_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;538029968;538029968;N1427;OSETH;Def;N1337;OSETH;Def;15:54:00;16:28:00;;1005_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;223687142;223687142;N1337;OSETH;Def;N1427;OSETH;Def;16:30:00;17:05:00;;1005_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;892040440;892040440;N1427;OSETH;Def;N1337;OSETH;Def;17:45:00;18:19:00;;1005_2
Day Type 3;Foinika;1005;1005;Revenue;10;OASTH;Def;222241508;222241508;N1337;OSETH;Def;N1427;OSETH;Def;18:21:00;18:56:00;;1005_2
