PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;925689739;925689739;N15038;OSETH;Def;N1141;OSETH;Def;05:00:00;05:26:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;728856736;728856736;N1141;OSETH;Def;N15038;OSETH;Def;05:26:00;05:54:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;756185645;756185645;N15038;OSETH;Def;N1141;OSETH;Def;06:15:00;06:42:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11E;OASTH;Def;693226108;693226108;N1141;OSETH;Def;N15038;OSETH;Def;06:42:00;07:12:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;989077019;989077019;N15038;OSETH;Def;N1141;OSETH;Def;07:30:00;07:59:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11E;OASTH;Def;297003706;297003706;N1141;OSETH;Def;N15038;OSETH;Def;07:59:00;08:33:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;391469241;391469241;N15038;OSETH;Def;N1141;OSETH;Def;08:54:00;09:27:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11E;OASTH;Def;462038206;462038206;N1141;OSETH;Def;N15038;OSETH;Def;09:27:00;10:04:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;406321840;406321840;N15038;OSETH;Def;N1141;OSETH;Def;10:25:00;10:59:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11E;OASTH;Def;963545378;963545378;N1141;OSETH;Def;N15038;OSETH;Def;10:59:00;11:37:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;539050098;539050098;N15038;OSETH;Def;N1141;OSETH;Def;11:56:00;12:30:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11E;OASTH;Def;208354067;208354067;N1141;OSETH;Def;N15038;OSETH;Def;12:30:00;13:09:00;;1101_1
Day Type 1;Foinika;1101;1101;Revenue;11B;OASTH;Def;948010257;948010257;N15038;OSETH;Def;N1141;OSETH;Def;13:21:00;13:56:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11B;OASTH;Def;502553524;502553524;N1141;OSETH;Def;N15038;OSETH;Def;13:56:00;14:35:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11M;OASTH;Def;883304010;883304010;N15038;OSETH;Def;N1141;OSETH;Def;14:52:00;15:27:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11M;OASTH;Def;640123652;640123652;N1141;OSETH;Def;N15038;OSETH;Def;15:27:00;16:05:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;618100277;618100277;N15038;OSETH;Def;N1141;OSETH;Def;16:10:00;16:43:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;911858434;911858434;N1141;OSETH;Def;N15038;OSETH;Def;16:43:00;17:21:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;211160485;211160485;N15038;OSETH;Def;N1141;OSETH;Def;17:57:00;18:29:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;307853445;307853445;N1141;OSETH;Def;N15038;OSETH;Def;18:29:00;19:07:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;832598675;832598675;N15038;OSETH;Def;N1141;OSETH;Def;19:40:00;20:13:00;;1101_2
Day Type 1;Foinika;1101;1101;Revenue;11;OASTH;Def;231872952;231872952;N1141;OSETH;Def;N15038;OSETH;Def;20:13:00;20:51:00;;1101_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;729365464;729365464;N15038;OSETH;Def;N1141;OSETH;Def;05:25:00;05:51:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11E;OASTH;Def;804240591;804240591;N1141;OSETH;Def;N15038;OSETH;Def;05:51:00;06:19:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;391172010;391172010;N15038;OSETH;Def;N1141;OSETH;Def;06:40:00;07:07:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11E;OASTH;Def;546497795;546497795;N1141;OSETH;Def;N15038;OSETH;Def;07:07:00;07:38:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;861559858;861559858;N15038;OSETH;Def;N1141;OSETH;Def;07:45:00;08:14:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11E;OASTH;Def;300469346;300469346;N1141;OSETH;Def;N15038;OSETH;Def;08:14:00;08:49:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11B;OASTH;Def;432409181;432409181;N15038;OSETH;Def;N1141;OSETH;Def;09:20:00;09:54:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11B;OASTH;Def;426815413;426815413;N1141;OSETH;Def;N15038;OSETH;Def;09:54:00;10:31:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;795117545;795117545;N15038;OSETH;Def;N1141;OSETH;Def;10:38:00;11:12:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11E;OASTH;Def;921728039;921728039;N1141;OSETH;Def;N15038;OSETH;Def;11:12:00;11:50:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;988133802;988133802;N15038;OSETH;Def;N1141;OSETH;Def;12:08:00;12:43:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11E;OASTH;Def;691453721;691453721;N1141;OSETH;Def;N15038;OSETH;Def;12:43:00;13:22:00;;1102_1
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;362255120;362255120;N15038;OSETH;Def;N1141;OSETH;Def;13:34:00;14:09:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;777437351;777437351;N1141;OSETH;Def;N15038;OSETH;Def;14:09:00;14:47:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;933923257;933923257;N15038;OSETH;Def;N1141;OSETH;Def;15:10:00;15:45:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;811133888;811133888;N1141;OSETH;Def;N15038;OSETH;Def;15:45:00;16:23:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;882860303;882860303;N15038;OSETH;Def;N1141;OSETH;Def;16:36:00;17:09:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11;OASTH;Def;200681602;200681602;N1141;OSETH;Def;N15038;OSETH;Def;17:09:00;17:47:00;;1102_2
Day Type 1;Foinika;1102;1102;Revenue;11M;OASTH;Def;638704805;638704805;N15038;OSETH;Def;N1141;OSETH;Def;18:25:00;18:57:00;;1102_2
