PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;H_Depot;8701;8701;Revenue;87A;KTEL_H;Def;948727897;948727897;N15077;OSETH;Def;N38155;OSETH;Def;05:00:00;05:35:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87E;KTEL_H;Def;497811776;497811776;N38155;OSETH;Def;N15077;OSETH;Def;05:35:00;06:00:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87E;KTEL_H;Def;970540518;970540518;N15077;OSETH;Def;N38155;OSETH;Def;06:10:00;06:35:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87R;KTEL_H;Def;857727765;857727765;N38155;OSETH;Def;N15077;OSETH;Def;06:40:00;07:20:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87L;KTEL_H;Def;192160387;192160387;N15077;OSETH;Def;N38155;OSETH;Def;07:25:00;08:05:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87E;KTEL_H;Def;499523866;499523866;N38155;OSETH;Def;N15077;OSETH;Def;08:10:00;08:40:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87E;KTEL_H;Def;731096014;731096014;N15077;OSETH;Def;N38155;OSETH;Def;09:00:00;09:30:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87A;KTEL_H;Def;984774039;984774039;N38155;OSETH;Def;N15077;OSETH;Def;09:30:00;10:10:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87L;KTEL_H;Def;541519606;541519606;N15077;OSETH;Def;N38155;OSETH;Def;10:15:00;10:50:00;;8701_1
Day Type 1;H_Depot;8701;8701;Revenue;87A;KTEL_H;Def;254258571;254258571;N38155;OSETH;Def;N15077;OSETH;Def;10:50:00;11:30:00;;8701_1
