PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;811936390;811936390;N34166;OSETH;Def;N15077;OSETH;Def;05:27:00;06:15:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;592859855;592859855;N15077;OSETH;Def;N34166;OSETH;Def;06:20:00;07:08:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;425908562;425908562;N34166;OSETH;Def;N15077;OSETH;Def;07:10:00;08:00:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;748050936;748050936;N15077;OSETH;Def;N34166;OSETH;Def;08:10:00;08:58:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;262866402;262866402;N34166;OSETH;Def;N15077;OSETH;Def;09:00:00;09:50:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88B;KTEL_H;Def;241685933;241685933;N15077;OSETH;Def;N15077;OSETH;Def;09:55:00;10:45:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88;KTEL_H;Def;549407052;549407052;N15077;OSETH;Def;N34166;OSETH;Def;10:55:00;11:43:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;752147653;752147653;N34166;OSETH;Def;N15077;OSETH;Def;11:45:00;12:35:00;;8801_1
Day Type 2;H_Depot;8801;8801;Revenue;88A;KTEL_H;Def;869797724;869797724;N15077;OSETH;Def;N15077;OSETH;Def;12:40:00;13:40:00;;8801_2
Day Type 2;H_Depot;8801;8801;Revenue;88M;KTEL_H;Def;514167962;514167962;N15077;OSETH;Def;N34166;OSETH;Def;15:55:00;16:53:00;;8801_2
Day Type 2;H_Depot;8801;8801;Revenue;88K;KTEL_H;Def;480352086;480352086;N34166;OSETH;Def;N15077;OSETH;Def;16:55:00;17:45:00;;8801_2
