PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;692756438;692756438;N1335;OSETH;Def;N16062;OSETH;Def;05:00:00;05:28:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;650861660;650861660;N16062;OSETH;Def;N1335;OSETH;Def;05:30:00;06:05:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;420412820;420412820;N1335;OSETH;Def;N16062;OSETH;Def;06:25:00;06:58:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;760666475;760666475;N16062;OSETH;Def;N1335;OSETH;Def;07:00:00;07:45:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;858792146;858792146;N1335;OSETH;Def;N16062;OSETH;Def;08:10:00;08:49:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;344330315;344330315;N16062;OSETH;Def;N1335;OSETH;Def;08:51:00;09:33:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64A;KTEL_S;Def;368704431;368704431;N1335;OSETH;Def;N16062;OSETH;Def;10:00:00;10:48:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;173488053;173488053;N16062;OSETH;Def;N1335;OSETH;Def;10:50:00;11:35:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;276011107;276011107;N1335;OSETH;Def;N16062;OSETH;Def;11:45:00;12:27:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;704238819;704238819;N16062;OSETH;Def;N1335;OSETH;Def;12:29:00;13:11:00;;6401_1
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;642801485;642801485;N1335;OSETH;Def;N16062;OSETH;Def;13:35:00;14:18:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;572931166;572931166;N16062;OSETH;Def;N1335;OSETH;Def;14:20:00;15:04:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;536164556;536164556;N1335;OSETH;Def;N16062;OSETH;Def;15:15:00;15:59:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;946000818;946000818;N16062;OSETH;Def;N1335;OSETH;Def;16:01:00;16:47:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64B;KTEL_S;Def;297801699;297801699;N1335;OSETH;Def;N16062;OSETH;Def;17:20:00;18:02:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;197592027;197592027;N16062;OSETH;Def;N1335;OSETH;Def;18:04:00;18:47:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;557502715;557502715;N1335;OSETH;Def;N16062;OSETH;Def;19:20:00;20:00:00;;6401_2
Day Type 5;S_Depot;6401;6401;Revenue;64B;KTEL_S;Def;628952382;628952382;N16062;OSETH;Def;N1335;OSETH;Def;20:02:00;20:42:00;;6401_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;668918034;668918034;N1335;OSETH;Def;N16062;OSETH;Def;05:35:00;06:03:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;317405321;317405321;N16062;OSETH;Def;N1335;OSETH;Def;06:05:00;06:40:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64A;KTEL_S;Def;321204278;321204278;N1335;OSETH;Def;N16062;OSETH;Def;06:50:00;07:35:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;378820867;378820867;N16062;OSETH;Def;N1335;OSETH;Def;07:37:00;08:16:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;114963362;114963362;N1335;OSETH;Def;N16062;OSETH;Def;08:40:00;09:20:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;432588745;432588745;N16062;OSETH;Def;N1335;OSETH;Def;09:22:00;10:05:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;929583479;929583479;N1335;OSETH;Def;N16062;OSETH;Def;10:30:00;11:12:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;380733248;380733248;N16062;OSETH;Def;N1335;OSETH;Def;11:14:00;11:58:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;417737279;417737279;N1335;OSETH;Def;N16062;OSETH;Def;12:10:00;12:53:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;535976794;535976794;N16062;OSETH;Def;N1335;OSETH;Def;12:55:00;13:37:00;;6402_1
Day Type 5;S_Depot;6402;6402;Revenue;64A;KTEL_S;Def;189546323;189546323;N1335;OSETH;Def;N16062;OSETH;Def;14:40:00;15:30:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;144212993;144212993;N16062;OSETH;Def;N1335;OSETH;Def;15:32:00;16:18:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;151198902;151198902;N1335;OSETH;Def;N16062;OSETH;Def;16:25:00;17:09:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;767308686;767308686;N16062;OSETH;Def;N1335;OSETH;Def;17:11:00;17:56:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;868460190;868460190;N1335;OSETH;Def;N16062;OSETH;Def;18:20:00;19:02:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;401521413;401521413;N16062;OSETH;Def;N1335;OSETH;Def;19:04:00;19:47:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;209772886;209772886;N1335;OSETH;Def;N16062;OSETH;Def;20:10:00;20:50:00;;6402_2
Day Type 5;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;210328173;210328173;N16062;OSETH;Def;N1335;OSETH;Def;20:52:00;21:30:00;;6402_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;177981986;177981986;N1335;OSETH;Def;N16062;OSETH;Def;06:05:00;06:38:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;552170601;552170601;N16062;OSETH;Def;N1335;OSETH;Def;06:40:00;07:17:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;114164374;114164374;N1335;OSETH;Def;N16062;OSETH;Def;07:35:00;08:20:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;508418894;508418894;N16062;OSETH;Def;N1335;OSETH;Def;08:22:00;09:04:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;389880745;389880745;N1335;OSETH;Def;N16062;OSETH;Def;09:30:00;10:11:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;781366236;781366236;N16062;OSETH;Def;N1335;OSETH;Def;10:13:00;10:57:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;581908093;581908093;N1335;OSETH;Def;N16062;OSETH;Def;11:25:00;12:07:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;164043790;164043790;N16062;OSETH;Def;N1335;OSETH;Def;12:09:00;12:51:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;415376697;415376697;N1335;OSETH;Def;N16062;OSETH;Def;13:00:00;13:43:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;205386890;205386890;N16062;OSETH;Def;N1335;OSETH;Def;13:45:00;14:30:00;;6403_1
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;688463949;688463949;N1335;OSETH;Def;N16062;OSETH;Def;15:50:00;16:34:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;369011576;369011576;N16062;OSETH;Def;N1335;OSETH;Def;16:36:00;17:22:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;208280364;208280364;N1335;OSETH;Def;N16062;OSETH;Def;17:50:00;18:32:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;868688105;868688105;N16062;OSETH;Def;N1335;OSETH;Def;18:34:00;19:17:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;660817069;660817069;N1335;OSETH;Def;N16062;OSETH;Def;19:45:00;20:25:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64B;KTEL_S;Def;260154404;260154404;N16062;OSETH;Def;N1335;OSETH;Def;20:27:00;21:07:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;159750774;159750774;N1335;OSETH;Def;N16062;OSETH;Def;21:20:00;22:05:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;706812833;706812833;N16062;OSETH;Def;N1335;OSETH;Def;22:07:00;22:42:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;871035163;871035163;N1335;OSETH;Def;N16062;OSETH;Def;22:50:00;23:28:00;;6403_2
Day Type 5;S_Depot;6403;6403;Revenue;64;KTEL_S;Def;462576275;462576275;N16062;OSETH;Def;N1335;OSETH;Def;23:30:00;24:00:00;;6403_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;370224706;370224706;N1335;OSETH;Def;N16062;OSETH;Def;07:15:00;07:52:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;948610693;948610693;N16062;OSETH;Def;N1335;OSETH;Def;07:54:00;08:34:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;489586058;489586058;N1335;OSETH;Def;N16062;OSETH;Def;09:05:00;09:46:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;174932623;174932623;N16062;OSETH;Def;N1335;OSETH;Def;09:48:00;10:31:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;990642467;990642467;N1335;OSETH;Def;N16062;OSETH;Def;11:00:00;11:42:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;586806354;586806354;N16062;OSETH;Def;N1335;OSETH;Def;11:44:00;12:28:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;272359890;272359890;N1335;OSETH;Def;N16062;OSETH;Def;12:35:00;13:18:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;728026920;728026920;N16062;OSETH;Def;N1335;OSETH;Def;13:30:00;14:10:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;645506559;645506559;N1335;OSETH;Def;N16062;OSETH;Def;14:10:00;14:52:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64A;KTEL_S;Def;117296074;117296074;N16062;OSETH;Def;N1335;OSETH;Def;14:54:00;15:39:00;;6404_1
Day Type 5;S_Depot;6404;6404;Revenue;64B;KTEL_S;Def;672737336;672737336;N1335;OSETH;Def;N16062;OSETH;Def;16:55:00;17:37:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64A;KTEL_S;Def;966935262;966935262;N16062;OSETH;Def;N1335;OSETH;Def;17:39:00;18:29:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;272531638;272531638;N1335;OSETH;Def;N16062;OSETH;Def;18:50:00;19:32:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;998974731;998974731;N16062;OSETH;Def;N1335;OSETH;Def;19:34:00;20:14:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;380144373;380144373;N1335;OSETH;Def;N16062;OSETH;Def;20:40:00;21:20:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;143958000;143958000;N16062;OSETH;Def;N1335;OSETH;Def;21:22:00;21:59:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;875649881;875649881;N1335;OSETH;Def;N16062;OSETH;Def;22:05:00;22:43:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;905992021;905992021;N16062;OSETH;Def;N1335;OSETH;Def;22:45:00;23:21:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;176551901;176551901;N1335;OSETH;Def;N16062;OSETH;Def;23:30:00;24:00:00;;6404_2
Day Type 5;S_Depot;6404;6404;Revenue;64;KTEL_S;Def;939745271;939745271;N16062;OSETH;Def;N1335;OSETH;Def;24:00:00;24:30:00;;6404_1
