PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;674215833;674215833;N14032;OSETH;Def;N14032;OSETH;Def;07:20:00;08:15:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;831900942;831900942;N14032;OSETH;Def;N14032;OSETH;Def;08:30:00;09:25:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60E;KTEL_S;Def;423305590;423305590;N14032;OSETH;Def;N15077;OSETH;Def;09:30:00;09:57:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60E;KTEL_S;Def;654494180;654494180;N15077;OSETH;Def;N14032;OSETH;Def;09:57:00;10:25:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;270215184;270215184;N14032;OSETH;Def;N14032;OSETH;Def;10:30:00;11:25:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;946467601;946467601;N14032;OSETH;Def;N14032;OSETH;Def;11:30:00;12:25:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60E;KTEL_S;Def;120190362;120190362;N14032;OSETH;Def;N15077;OSETH;Def;12:45:00;13:12:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60E;KTEL_S;Def;410302274;410302274;N15077;OSETH;Def;N14032;OSETH;Def;13:12:00;13:40:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;308829366;308829366;N14032;OSETH;Def;N14032;OSETH;Def;13:50:00;14:45:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;697163653;697163653;N14032;OSETH;Def;N14032;OSETH;Def;14:50:00;15:45:00;;6001_1
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;593740692;593740692;N14032;OSETH;Def;N14032;OSETH;Def;16:00:00;16:55:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;709370381;709370381;N14032;OSETH;Def;N14032;OSETH;Def;17:00:00;17:55:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;733591103;733591103;N14032;OSETH;Def;N14032;OSETH;Def;18:00:00;18:55:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;451390077;451390077;N14032;OSETH;Def;N14032;OSETH;Def;19:00:00;19:55:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;568182201;568182201;N14032;OSETH;Def;N14032;OSETH;Def;20:30:00;21:25:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60A;KTEL_S;Def;332364959;332364959;N14032;OSETH;Def;N14032;OSETH;Def;21:30:00;22:25:00;;6001_2
Day Type 2;S_Depot;6001;6001;Revenue;60B;KTEL_S;Def;788394185;788394185;N14032;OSETH;Def;N14032;OSETH;Def;22:30:00;23:25:00;;6001_2
Day Type 2;S_Depot;6002;6002;Revenue;60E;KTEL_S;Def;106599088;106599088;N15077;OSETH;Def;N14032;OSETH;Def;20:05:00;20:30:00;;6002_2
Day Type 2;S_Depot;6002;6002;Revenue;60E;KTEL_S;Def;386222884;386222884;N14032;OSETH;Def;N15077;OSETH;Def;20:30:00;20:55:00;;6002_2
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;919760025;919760025;N1427;OSETH;Def;N36037;OSETH;Def;05:45:00;06:05:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;250679733;250679733;N36037;OSETH;Def;N1427;OSETH;Def;06:05:00;06:24:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;475095906;475095906;N1427;OSETH;Def;N36037;OSETH;Def;06:30:00;06:50:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;316352180;316352180;N36037;OSETH;Def;N1427;OSETH;Def;06:50:00;07:09:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;515455202;515455202;N1427;OSETH;Def;N36037;OSETH;Def;07:15:00;07:35:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;764891584;764891584;N36037;OSETH;Def;N1427;OSETH;Def;07:35:00;07:54:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;839548114;839548114;N1427;OSETH;Def;N36037;OSETH;Def;08:00:00;08:20:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;708662579;708662579;N36037;OSETH;Def;N1427;OSETH;Def;08:20:00;08:39:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;987610793;987610793;N1427;OSETH;Def;N36037;OSETH;Def;08:45:00;09:05:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;961927084;961927084;N36037;OSETH;Def;N1427;OSETH;Def;09:05:00;09:24:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;902676012;902676012;N1427;OSETH;Def;N36037;OSETH;Def;09:35:00;09:55:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;193467597;193467597;N36037;OSETH;Def;N1427;OSETH;Def;09:55:00;10:14:00;;6601_1
Day Type 2;S_Depot;6601;6601;Revenue;66;KTEL_S;Def;374168530;374168530;N1427;OSETH;Def;N36037;OSETH;Def;10:30:00;10:50:00;;6601_1
