PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;150925577;150925577;N1346;OSETH;Def;N16074;OSETH;Def;05:10:00;05:45:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;973697613;973697613;N16074;OSETH;Def;N1346;OSETH;Def;05:55:00;06:35:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;371899462;371899462;N1346;OSETH;Def;N16074;OSETH;Def;06:35:00;07:15:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;493828549;493828549;N16074;OSETH;Def;N1346;OSETH;Def;07:20:00;08:10:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;616618097;616618097;N1346;OSETH;Def;N16074;OSETH;Def;08:10:00;08:54:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;577601867;577601867;N16074;OSETH;Def;N1346;OSETH;Def;09:20:00;10:16:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;896396851;896396851;N1346;OSETH;Def;N16074;OSETH;Def;10:16:00;11:00:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;341568957;341568957;N16074;OSETH;Def;N1346;OSETH;Def;11:05:00;12:03:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;810824649;810824649;N1346;OSETH;Def;N16074;OSETH;Def;12:03:00;12:48:00;;5801_1
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;890624325;890624325;N16074;OSETH;Def;N1346;OSETH;Def;14:00:00;14:58:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;567829823;567829823;N1346;OSETH;Def;N16074;OSETH;Def;14:58:00;15:43:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;552626466;552626466;N16074;OSETH;Def;N1346;OSETH;Def;16:00:00;16:56:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;195097994;195097994;N1346;OSETH;Def;N16074;OSETH;Def;16:56:00;17:40:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;161259793;161259793;N16074;OSETH;Def;N1346;OSETH;Def;18:00:00;19:00:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;849937210;849937210;N1346;OSETH;Def;N16074;OSETH;Def;19:00:00;19:44:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;647291819;647291819;N16074;OSETH;Def;N1346;OSETH;Def;20:10:00;21:05:00;;5801_2
Day Type 4;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;208805512;208805512;N1346;OSETH;Def;N16074;OSETH;Def;21:05:00;21:48:00;;5801_2
Day Type 4;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;392243503;392243503;N1346;OSETH;Def;N16074;OSETH;Def;05:25:00;06:02:00;;5802_1
Day Type 4;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;644608574;644608574;N16074;OSETH;Def;N1346;OSETH;Def;06:12:00;07:00:00;;5802_1
Day Type 4;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;444541369;444541369;N1346;OSETH;Def;N16074;OSETH;Def;07:00:00;07:40:00;;5802_1
Day Type 4;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;291758264;291758264;N16074;OSETH;Def;N1346;OSETH;Def;08:00:00;08:52:00;;5802_1
Day Type 4;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;498238787;498238787;N1346;OSETH;Def;N16074;OSETH;Def;08:52:00;09:37:00;;5802_1
