PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;390639432;390639432;N10074;OSETH;Def;N10074;OSETH;Def;07:00:00;07:35:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;815273953;815273953;N10074;OSETH;Def;N10074;OSETH;Def;07:40:00;08:15:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;716114519;716114519;N10074;OSETH;Def;N10074;OSETH;Def;08:20:00;08:55:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;521805924;521805924;N10074;OSETH;Def;N10074;OSETH;Def;09:00:00;09:35:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;140244784;140244784;N10074;OSETH;Def;N10074;OSETH;Def;09:40:00;10:15:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;576583705;576583705;N10074;OSETH;Def;N10074;OSETH;Def;10:35:00;11:20:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;873670391;873670391;N10074;OSETH;Def;N10074;OSETH;Def;11:30:00;12:15:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;211053272;211053272;N10074;OSETH;Def;N10074;OSETH;Def;12:20:00;13:05:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;519196316;519196316;N10074;OSETH;Def;N10074;OSETH;Def;13:10:00;13:55:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;248601896;248601896;N10074;OSETH;Def;N10074;OSETH;Def;14:00:00;14:45:00;;5901_1
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;240921392;240921392;N10074;OSETH;Def;N10074;OSETH;Def;15:00:00;15:45:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;743524170;743524170;N10074;OSETH;Def;N10074;OSETH;Def;15:50:00;16:35:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59K;KTEL_S;Def;464518314;464518314;N10074;OSETH;Def;N10074;OSETH;Def;16:40:00;17:25:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;218144552;218144552;N10074;OSETH;Def;N10074;OSETH;Def;17:30:00;18:05:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;856062653;856062653;N10074;OSETH;Def;N10074;OSETH;Def;18:25:00;19:00:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;612143554;612143554;N10074;OSETH;Def;N10074;OSETH;Def;19:10:00;19:45:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;667015292;667015292;N10074;OSETH;Def;N10074;OSETH;Def;19:50:00;20:25:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;315965137;315965137;N10074;OSETH;Def;N10074;OSETH;Def;20:30:00;21:05:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;825674154;825674154;N10074;OSETH;Def;N10074;OSETH;Def;21:10:00;21:45:00;;5901_2
Day Type 3;S_Depot;5901;5901;Revenue;59;KTEL_S;Def;873809630;873809630;N10074;OSETH;Def;N10074;OSETH;Def;22:00:00;22:35:00;;5901_2
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;641673258;641673258;N1335;OSETH;Def;N16062;OSETH;Def;05:10:00;05:38:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;145719608;145719608;N16062;OSETH;Def;N1335;OSETH;Def;05:40:00;06:10:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;708510363;708510363;N1335;OSETH;Def;N16062;OSETH;Def;06:20:00;06:48:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;424281849;424281849;N16062;OSETH;Def;N1335;OSETH;Def;06:50:00;07:24:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;281792816;281792816;N1335;OSETH;Def;N16062;OSETH;Def;07:30:00;08:04:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;356590600;356590600;N16062;OSETH;Def;N1335;OSETH;Def;08:06:00;08:42:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;451682449;451682449;N1335;OSETH;Def;N16062;OSETH;Def;09:05:00;09:42:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;314860409;314860409;N16062;OSETH;Def;N1335;OSETH;Def;09:44:00;10:24:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;531337188;531337188;N1335;OSETH;Def;N16062;OSETH;Def;10:35:00;11:14:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;308277154;308277154;N16062;OSETH;Def;N1335;OSETH;Def;11:16:00;11:56:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;178953134;178953134;N1335;OSETH;Def;N16062;OSETH;Def;12:10:00;12:49:00;;6401_1
Day Type 3;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;815961939;815961939;N16062;OSETH;Def;N1335;OSETH;Def;12:51:00;13:31:00;;6401_1
