PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;160420898;160420898;N1346;OSETH;Def;N16074;OSETH;Def;05:10:00;05:45:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;719056646;719056646;N16074;OSETH;Def;N1346;OSETH;Def;05:50:00;06:30:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;210288999;210288999;N1346;OSETH;Def;N16074;OSETH;Def;06:30:00;07:10:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;651003365;651003365;N16074;OSETH;Def;N1346;OSETH;Def;07:15:00;08:05:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;187004568;187004568;N1346;OSETH;Def;N16074;OSETH;Def;08:05:00;08:49:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;320915327;320915327;N16074;OSETH;Def;N1346;OSETH;Def;09:10:00;10:06:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;413197571;413197571;N1346;OSETH;Def;N16074;OSETH;Def;10:06:00;10:50:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;308369091;308369091;N16074;OSETH;Def;N1346;OSETH;Def;11:00:00;11:58:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;649408464;649408464;N1346;OSETH;Def;N16074;OSETH;Def;11:58:00;12:46:00;;5801_1
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;940773083;940773083;N16074;OSETH;Def;N1346;OSETH;Def;15:25:00;16:23:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;359760768;359760768;N1346;OSETH;Def;N16074;OSETH;Def;16:23:00;17:09:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;890529282;890529282;N16074;OSETH;Def;N1346;OSETH;Def;17:20:00;18:19:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;353841671;353841671;N1346;OSETH;Def;N16074;OSETH;Def;18:19:00;19:04:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;122596056;122596056;N16074;OSETH;Def;N1346;OSETH;Def;19:25:00;20:25:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;677819169;677819169;N1346;OSETH;Def;N16074;OSETH;Def;20:25:00;21:09:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;535527091;535527091;N16074;OSETH;Def;N1346;OSETH;Def;21:15:00;22:05:00;;5801_2
Day Type 3;S_Depot;5801;5801;Revenue;58;KTEL_S;Def;523411819;523411819;N1346;OSETH;Def;N16074;OSETH;Def;22:05:00;22:48:00;;5801_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;357454798;357454798;N1346;OSETH;Def;N16074;OSETH;Def;05:25:00;06:02:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;187199830;187199830;N16074;OSETH;Def;N1346;OSETH;Def;06:10:00;06:53:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;384197258;384197258;N1346;OSETH;Def;N16074;OSETH;Def;06:53:00;07:34:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;742914115;742914115;N16074;OSETH;Def;N1346;OSETH;Def;07:45:00;08:35:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;400480364;400480364;N1346;OSETH;Def;N16074;OSETH;Def;08:35:00;09:20:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;530847005;530847005;N16074;OSETH;Def;N1346;OSETH;Def;09:42:00;10:38:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;826347844;826347844;N1346;OSETH;Def;N16074;OSETH;Def;10:38:00;11:22:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;376949209;376949209;N16074;OSETH;Def;N1346;OSETH;Def;11:40:00;12:38:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;874244264;874244264;N1346;OSETH;Def;N16074;OSETH;Def;12:38:00;13:25:00;;5802_1
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;533797673;533797673;N16074;OSETH;Def;N1346;OSETH;Def;15:50:00;16:47:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;107225381;107225381;N1346;OSETH;Def;N16074;OSETH;Def;16:47:00;17:31:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;675545119;675545119;N16074;OSETH;Def;N1346;OSETH;Def;17:50:00;18:49:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;609417835;609417835;N1346;OSETH;Def;N16074;OSETH;Def;18:49:00;19:34:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;823403452;823403452;N16074;OSETH;Def;N1346;OSETH;Def;20:05:00;21:05:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;320191419;320191419;N1346;OSETH;Def;N16074;OSETH;Def;21:05:00;21:49:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;434993555;434993555;N16074;OSETH;Def;N1346;OSETH;Def;22:00:00;22:50:00;;5802_2
Day Type 3;S_Depot;5802;5802;Revenue;58;KTEL_S;Def;378274741;378274741;N1346;OSETH;Def;N16074;OSETH;Def;22:50:00;23:33:00;;5802_2
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;794827549;794827549;N1346;OSETH;Def;N16074;OSETH;Def;05:45:00;06:22:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;844289348;844289348;N16074;OSETH;Def;N1346;OSETH;Def;06:30:00;07:15:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;123747212;123747212;N1346;OSETH;Def;N16074;OSETH;Def;07:15:00;07:57:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;652628468;652628468;N16074;OSETH;Def;N1346;OSETH;Def;08:19:00;09:12:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;264662169;264662169;N1346;OSETH;Def;N16074;OSETH;Def;09:12:00;09:56:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;783643645;783643645;N16074;OSETH;Def;N1346;OSETH;Def;10:08:00;11:08:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;136013620;136013620;N1346;OSETH;Def;N16074;OSETH;Def;11:08:00;11:54:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;801178788;801178788;N16074;OSETH;Def;N1346;OSETH;Def;12:15:00;13:13:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;478354785;478354785;N1346;OSETH;Def;N16074;OSETH;Def;13:13:00;14:00:00;;5803_1
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;689699364;689699364;N16074;OSETH;Def;N1346;OSETH;Def;16:15:00;17:10:00;;5803_2
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;127080610;127080610;N1346;OSETH;Def;N16074;OSETH;Def;17:10:00;17:54:00;;5803_2
Day Type 3;S_Depot;5803;5803;Revenue;58;KTEL_S;Def;647419312;647419312;N16074;OSETH;Def;N1346;OSETH;Def;18:05:00;19:02:00;;5803_2
