PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;665930584;665930584;N1335;OSETH;Def;N16062;OSETH;Def;05:00:00;05:28:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;328037276;328037276;N16062;OSETH;Def;N1335;OSETH;Def;05:30:00;06:05:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;250782937;250782937;N1335;OSETH;Def;N16062;OSETH;Def;06:25:00;06:58:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;846030048;846030048;N16062;OSETH;Def;N1335;OSETH;Def;07:00:00;07:45:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;659453963;659453963;N1335;OSETH;Def;N16062;OSETH;Def;08:10:00;08:49:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;922084282;922084282;N16062;OSETH;Def;N1335;OSETH;Def;08:51:00;09:33:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64A;KTEL_S;Def;626846286;626846286;N1335;OSETH;Def;N16062;OSETH;Def;10:00:00;10:48:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;416028617;416028617;N16062;OSETH;Def;N1335;OSETH;Def;10:50:00;11:35:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;548244032;548244032;N1335;OSETH;Def;N16062;OSETH;Def;11:45:00;12:27:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;941978664;941978664;N16062;OSETH;Def;N1335;OSETH;Def;12:29:00;13:11:00;;6401_1
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;632032752;632032752;N1335;OSETH;Def;N16062;OSETH;Def;13:35:00;14:18:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;751041732;751041732;N16062;OSETH;Def;N1335;OSETH;Def;14:20:00;15:04:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;450722420;450722420;N1335;OSETH;Def;N16062;OSETH;Def;15:15:00;15:59:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;621114901;621114901;N16062;OSETH;Def;N1335;OSETH;Def;16:01:00;16:47:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64B;KTEL_S;Def;937445335;937445335;N1335;OSETH;Def;N16062;OSETH;Def;17:20:00;18:02:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;957239870;957239870;N16062;OSETH;Def;N1335;OSETH;Def;18:04:00;18:47:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;784653552;784653552;N1335;OSETH;Def;N16062;OSETH;Def;19:20:00;20:00:00;;6401_2
Day Type 2;S_Depot;6401;6401;Revenue;64B;KTEL_S;Def;353371835;353371835;N16062;OSETH;Def;N1335;OSETH;Def;20:02:00;20:42:00;;6401_2
Day Type 2;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;577240320;577240320;N1335;OSETH;Def;N16062;OSETH;Def;05:35:00;06:03:00;;6402_1
Day Type 2;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;824794353;824794353;N16062;OSETH;Def;N1335;OSETH;Def;06:05:00;06:40:00;;6402_1
Day Type 2;S_Depot;6402;6402;Revenue;64A;KTEL_S;Def;904840200;904840200;N1335;OSETH;Def;N16062;OSETH;Def;06:50:00;07:35:00;;6402_1
Day Type 2;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;135497461;135497461;N16062;OSETH;Def;N1335;OSETH;Def;07:37:00;08:16:00;;6402_1
Day Type 2;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;812785103;812785103;N1335;OSETH;Def;N16062;OSETH;Def;08:40:00;09:20:00;;6402_1
Day Type 2;S_Depot;6402;6402;Revenue;64;KTEL_S;Def;173928131;173928131;N16062;OSETH;Def;N1335;OSETH;Def;09:22:00;10:05:00;;6402_1
