PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;661328182;661328182;N1335;OSETH;Def;N16062;OSETH;Def;05:00:00;05:28:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;865690481;865690481;N16062;OSETH;Def;N1335;OSETH;Def;05:30:00;06:05:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;918181265;918181265;N1335;OSETH;Def;N16062;OSETH;Def;06:25:00;06:58:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;980909698;980909698;N16062;OSETH;Def;N1335;OSETH;Def;07:00:00;07:45:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;733927468;733927468;N1335;OSETH;Def;N16062;OSETH;Def;08:10:00;08:49:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;737669055;737669055;N16062;OSETH;Def;N1335;OSETH;Def;08:51:00;09:33:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64A;KTEL_S;Def;319592029;319592029;N1335;OSETH;Def;N16062;OSETH;Def;10:00:00;10:48:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;166898552;166898552;N16062;OSETH;Def;N1335;OSETH;Def;10:50:00;11:35:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;412226868;412226868;N1335;OSETH;Def;N16062;OSETH;Def;11:45:00;12:27:00;;6401_1
Day Type 1;S_Depot;6401;6401;Revenue;64;KTEL_S;Def;689034953;689034953;N16062;OSETH;Def;N1335;OSETH;Def;12:29:00;13:11:00;;6401_1
