PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;915880494;915880494;N9008;OSETH;Def;N1044;OSETH;Def;05:00:00;05:35:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;769654568;769654568;N1044;OSETH;Def;N9008;OSETH;Def;05:35:00;06:03:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;315213417;315213417;N9008;OSETH;Def;N1044;OSETH;Def;06:10:00;06:48:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;482166694;482166694;N1044;OSETH;Def;N9008;OSETH;Def;06:48:00;07:20:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;324147680;324147680;N9008;OSETH;Def;N1044;OSETH;Def;07:36:00;08:16:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;427513779;427513779;N1044;OSETH;Def;N9008;OSETH;Def;08:16:00;08:49:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;870713541;870713541;N9008;OSETH;Def;N1044;OSETH;Def;09:25:00;10:09:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;452165796;452165796;N1044;OSETH;Def;N9008;OSETH;Def;10:09:00;10:45:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;285215611;285215611;N9008;OSETH;Def;N1044;OSETH;Def;10:55:00;11:39:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;484575911;484575911;N1044;OSETH;Def;N9008;OSETH;Def;11:39:00;12:17:00;;3401_1
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;751088787;751088787;N9008;OSETH;Def;N1044;OSETH;Def;12:30:00;13:15:00;;3401_2
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;370858528;370858528;N1044;OSETH;Def;N9008;OSETH;Def;13:15:00;13:53:00;;3401_2
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;718476261;718476261;N9008;OSETH;Def;N1044;OSETH;Def;14:00:00;14:45:00;;3401_2
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;550603994;550603994;N1044;OSETH;Def;N9008;OSETH;Def;14:45:00;15:24:00;;3401_2
Day Type 1;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;901038848;901038848;N9008;OSETH;Def;N1044;OSETH;Def;15:38:00;16:21:00;;3401_2
