PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;457300000;457300000;N1480;OSETH;Def;N1480;OSETH;Def;06:05:00;06:40:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;801640214;801640214;N1480;OSETH;Def;N1480;OSETH;Def;07:00:00;07:40:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;360269839;360269839;N1480;OSETH;Def;N1480;OSETH;Def;08:05:00;08:45:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;350693059;350693059;N1480;OSETH;Def;N1480;OSETH;Def;09:05:00;09:45:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;427553825;427553825;N1480;OSETH;Def;N1480;OSETH;Def;10:10:00;10:55:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;625655127;625655127;N1480;OSETH;Def;N1480;OSETH;Def;11:30:00;12:20:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;465394980;465394980;N1480;OSETH;Def;N1480;OSETH;Def;12:40:00;13:25:00;;2201_1
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;266622218;266622218;N1480;OSETH;Def;N1480;OSETH;Def;13:50:00;14:35:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;947298276;947298276;N1480;OSETH;Def;N1480;OSETH;Def;15:00:00;15:50:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;288064356;288064356;N1480;OSETH;Def;N1480;OSETH;Def;16:10:00;17:00:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;405010066;405010066;N1480;OSETH;Def;N1480;OSETH;Def;17:20:00;18:05:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;913017438;913017438;N1480;OSETH;Def;N1480;OSETH;Def;18:40:00;19:25:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;999408456;999408456;N1480;OSETH;Def;N1480;OSETH;Def;19:55:00;20:40:00;;2201_2
Day Type 1;Stavroupoli;2201;2201;Revenue;22;OASTH;Def;483445710;483445710;N1480;OSETH;Def;N1480;OSETH;Def;21:05:00;21:45:00;;2201_2
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;164655771;164655771;N1480;OSETH;Def;N1480;OSETH;Def;06:35:00;07:10:00;;2202_1
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;392583660;392583660;N1480;OSETH;Def;N1480;OSETH;Def;07:30:00;08:10:00;;2202_1
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;302659001;302659001;N1480;OSETH;Def;N1480;OSETH;Def;08:35:00;09:15:00;;2202_1
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;919888530;919888530;N1480;OSETH;Def;N1480;OSETH;Def;09:35:00;10:15:00;;2202_1
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;455064500;455064500;N1480;OSETH;Def;N1480;OSETH;Def;10:50:00;11:35:00;;2202_1
Day Type 1;Stavroupoli;2202;2202;Revenue;22;OASTH;Def;843108478;843108478;N1480;OSETH;Def;N1480;OSETH;Def;12:05:00;12:55:00;;2202_1
