PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;557502690;557502690;N15025;OSETH;Def;N13011;OSETH;Def;05:20:00;05:47:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;924964940;924964940;N13011;OSETH;Def;N15025;OSETH;Def;06:00:00;06:29:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;705564849;705564849;N15025;OSETH;Def;N13011;OSETH;Def;06:30:00;06:57:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;446068487;446068487;N13011;OSETH;Def;N15025;OSETH;Def;07:13:00;07:44:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;774629116;774629116;N15025;OSETH;Def;N13011;OSETH;Def;07:46:00;08:15:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;945831427;945831427;N13011;OSETH;Def;N15025;OSETH;Def;08:30:00;09:03:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;713212991;713212991;N15025;OSETH;Def;N13011;OSETH;Def;09:05:00;09:38:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;983312592;983312592;N13011;OSETH;Def;N15025;OSETH;Def;10:00:00;10:37:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;393618410;393618410;N15025;OSETH;Def;N13011;OSETH;Def;10:39:00;11:14:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;122753521;122753521;N13011;OSETH;Def;N15025;OSETH;Def;11:25:00;12:02:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;581239872;581239872;N15025;OSETH;Def;N13011;OSETH;Def;12:04:00;12:35:00;;1201_1
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;731946774;731946774;N13011;OSETH;Def;N15025;OSETH;Def;13:00:00;13:36:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;701823442;701823442;N15025;OSETH;Def;N13011;OSETH;Def;13:38:00;14:11:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;322133587;322133587;N13011;OSETH;Def;N15025;OSETH;Def;14:20:00;14:56:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;692135890;692135890;N15025;OSETH;Def;N13011;OSETH;Def;14:58:00;15:31:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;963105858;963105858;N13011;OSETH;Def;N15025;OSETH;Def;15:40:00;16:16:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;652545535;652545535;N15025;OSETH;Def;N13011;OSETH;Def;16:18:00;16:51:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;614207457;614207457;N13011;OSETH;Def;N15025;OSETH;Def;17:12:00;17:48:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;807166189;807166189;N15025;OSETH;Def;N13011;OSETH;Def;17:50:00;18:25:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;161233324;161233324;N13011;OSETH;Def;N15025;OSETH;Def;18:45:00;19:21:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;298946642;298946642;N15025;OSETH;Def;N13011;OSETH;Def;19:23:00;19:59:00;;1201_2
Day Type 4;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;289281942;289281942;N13011;OSETH;Def;N15025;OSETH;Def;20:10:00;20:50:00;;1201_2
Day Type 4;Stavroupoli;1202;1202;Revenue;12;OASTH;Def;314121974;314121974;N15025;OSETH;Def;N13011;OSETH;Def;05:40:00;06:07:00;;1202_1
Day Type 4;Stavroupoli;1202;1202;Revenue;12;OASTH;Def;736517692;736517692;N13011;OSETH;Def;N15025;OSETH;Def;06:15:00;06:44:00;;1202_1
Day Type 4;Stavroupoli;1202;1202;Revenue;12;OASTH;Def;759676583;759676583;N15025;OSETH;Def;N13011;OSETH;Def;06:45:00;07:12:00;;1202_1
