PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;252845948;252845948;N9008;OSETH;Def;N1044;OSETH;Def;05:00:00;05:35:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;480082474;480082474;N1044;OSETH;Def;N9008;OSETH;Def;05:35:00;06:03:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;291816638;291816638;N9008;OSETH;Def;N1044;OSETH;Def;06:10:00;06:48:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;412264572;412264572;N1044;OSETH;Def;N9008;OSETH;Def;06:48:00;07:20:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;374719809;374719809;N9008;OSETH;Def;N1044;OSETH;Def;07:36:00;08:16:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;425148319;425148319;N1044;OSETH;Def;N9008;OSETH;Def;08:16:00;08:49:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;831345143;831345143;N9008;OSETH;Def;N1044;OSETH;Def;09:25:00;10:09:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;726356609;726356609;N1044;OSETH;Def;N9008;OSETH;Def;10:09:00;10:45:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;944036363;944036363;N9008;OSETH;Def;N1044;OSETH;Def;10:55:00;11:39:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;357144066;357144066;N1044;OSETH;Def;N9008;OSETH;Def;11:39:00;12:17:00;;3401_1
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;865701240;865701240;N9008;OSETH;Def;N1044;OSETH;Def;12:30:00;13:15:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;929623174;929623174;N1044;OSETH;Def;N9008;OSETH;Def;13:15:00;13:53:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;586475100;586475100;N9008;OSETH;Def;N1044;OSETH;Def;14:00:00;14:45:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;903857802;903857802;N1044;OSETH;Def;N9008;OSETH;Def;14:45:00;15:24:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;952310257;952310257;N9008;OSETH;Def;N1044;OSETH;Def;15:38:00;16:21:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;863178369;863178369;N1044;OSETH;Def;N9008;OSETH;Def;16:21:00;17:00:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;247982745;247982745;N9008;OSETH;Def;N1044;OSETH;Def;17:40:00;18:25:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;418818661;418818661;N1044;OSETH;Def;N9008;OSETH;Def;18:25:00;19:02:00;;3401_2
Day Type 2;Stavroupoli;3401;3401;Revenue;34A;OASTH;Def;275925100;275925100;N1044;OSETH;Def;N1044;OSETH;Def;19:09:00;20:28:00;;3401_2
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;846027221;846027221;N9008;OSETH;Def;N1044;OSETH;Def;05:20:00;05:56:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;186682107;186682107;N1044;OSETH;Def;N9008;OSETH;Def;05:56:00;06:25:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;245252680;245252680;N9008;OSETH;Def;N1044;OSETH;Def;06:40:00;07:18:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;557063882;557063882;N1044;OSETH;Def;N9008;OSETH;Def;07:18:00;07:50:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;910037616;910037616;N9008;OSETH;Def;N1044;OSETH;Def;08:01:00;08:43:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;239188055;239188055;N1044;OSETH;Def;N9008;OSETH;Def;08:43:00;09:17:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;569689803;569689803;N9008;OSETH;Def;N1044;OSETH;Def;09:55:00;10:39:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;929067096;929067096;N1044;OSETH;Def;N9008;OSETH;Def;10:39:00;11:15:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;385849250;385849250;N9008;OSETH;Def;N1044;OSETH;Def;11:25:00;12:10:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;779954404;779954404;N1044;OSETH;Def;N9008;OSETH;Def;12:10:00;12:48:00;;3402_1
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;221222976;221222976;N9008;OSETH;Def;N1044;OSETH;Def;13:00:00;13:45:00;;3402_2
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;331278734;331278734;N1044;OSETH;Def;N9008;OSETH;Def;13:45:00;14:23:00;;3402_2
Day Type 2;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;510762612;510762612;N9008;OSETH;Def;N1044;OSETH;Def;14:30:00;15:14:00;;3402_2
