PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;627799773;627799773;N2001;OSETH;Def;N1040;OSETH;Def;05:00:00;05:17:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;420682648;420682648;N1040;OSETH;Def;N2001;OSETH;Def;05:17:00;05:35:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;228726785;228726785;N2001;OSETH;Def;N1040;OSETH;Def;05:40:00;05:58:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;277024981;277024981;N1040;OSETH;Def;N2001;OSETH;Def;05:58:00;06:17:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;635009230;635009230;N2001;OSETH;Def;N1040;OSETH;Def;06:30:00;06:50:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;259492788;259492788;N1040;OSETH;Def;N2001;OSETH;Def;06:50:00;07:10:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;952015399;952015399;N2001;OSETH;Def;N1040;OSETH;Def;07:21:00;07:42:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;845407767;845407767;N1040;OSETH;Def;N2001;OSETH;Def;07:42:00;08:03:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;896342147;896342147;N2001;OSETH;Def;N1040;OSETH;Def;08:26:00;08:49:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;283510323;283510323;N1040;OSETH;Def;N2001;OSETH;Def;08:49:00;09:12:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;211989442;211989442;N2001;OSETH;Def;N1040;OSETH;Def;09:33:00;09:59:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;781272381;781272381;N1040;OSETH;Def;N2001;OSETH;Def;09:59:00;10:24:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;980798288;980798288;N2001;OSETH;Def;N1040;OSETH;Def;10:36:00;11:04:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;905476686;905476686;N1040;OSETH;Def;N2001;OSETH;Def;11:04:00;11:31:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;841442380;841442380;N2001;OSETH;Def;N1040;OSETH;Def;11:40:00;12:08:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;626742292;626742292;N1040;OSETH;Def;N2001;OSETH;Def;12:08:00;12:35:00;;1701_1
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;908951003;908951003;N2001;OSETH;Def;N1040;OSETH;Def;12:46:00;13:14:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;849507732;849507732;N1040;OSETH;Def;N2001;OSETH;Def;13:14:00;13:42:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;165387969;165387969;N2001;OSETH;Def;N1040;OSETH;Def;13:47:00;14:15:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;161696554;161696554;N1040;OSETH;Def;N2001;OSETH;Def;14:15:00;14:43:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;846538967;846538967;N2001;OSETH;Def;N1040;OSETH;Def;14:50:00;15:18:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;945965654;945965654;N1040;OSETH;Def;N2001;OSETH;Def;15:18:00;15:45:00;;1701_2
Day Type 4;Stavroupoli;1701;1701;Revenue;17;OASTH;Def;155886400;155886400;N2001;OSETH;Def;N1040;OSETH;Def;15:50:00;16:18:00;;1701_2
