PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;906411135;906411135;N9008;OSETH;Def;N1044;OSETH;Def;05:00:00;05:33:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;986630912;986630912;N1044;OSETH;Def;N9008;OSETH;Def;05:33:00;06:00:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;529119158;529119158;N9008;OSETH;Def;N1044;OSETH;Def;06:10:00;06:45:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;560795918;560795918;N1044;OSETH;Def;N9008;OSETH;Def;06:45:00;07:15:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;953411694;953411694;N9008;OSETH;Def;N1044;OSETH;Def;07:23:00;08:01:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;292061026;292061026;N1044;OSETH;Def;N9008;OSETH;Def;08:01:00;08:32:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;212832491;212832491;N9008;OSETH;Def;N1044;OSETH;Def;08:45:00;09:27:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;387889928;387889928;N1044;OSETH;Def;N9008;OSETH;Def;09:27:00;10:01:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;265669107;265669107;N9008;OSETH;Def;N1044;OSETH;Def;10:25:00;11:07:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;181950240;181950240;N1044;OSETH;Def;N9008;OSETH;Def;11:07:00;11:42:00;;3401_1
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;599847766;599847766;N9008;OSETH;Def;N1044;OSETH;Def;11:55:00;12:41:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;638628537;638628537;N1044;OSETH;Def;N9008;OSETH;Def;12:41:00;13:16:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;737226680;737226680;N9008;OSETH;Def;N1044;OSETH;Def;13:30:00;14:13:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;113556475;113556475;N1044;OSETH;Def;N9008;OSETH;Def;14:13:00;14:49:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;167485807;167485807;N9008;OSETH;Def;N1044;OSETH;Def;15:12:00;15:54:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;801782984;801782984;N1044;OSETH;Def;N9008;OSETH;Def;15:54:00;16:28:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;109601452;109601452;N9008;OSETH;Def;N1044;OSETH;Def;16:55:00;17:38:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;123137174;123137174;N1044;OSETH;Def;N9008;OSETH;Def;17:38:00;18:12:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;895952793;895952793;N9008;OSETH;Def;N1044;OSETH;Def;18:30:00;19:14:00;;3401_2
Day Type 4;Stavroupoli;3401;3401;Revenue;34;OASTH;Def;317020071;317020071;N1044;OSETH;Def;N9008;OSETH;Def;19:14:00;19:49:00;;3401_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;779086665;779086665;N9008;OSETH;Def;N1044;OSETH;Def;05:20:00;05:54:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;101277553;101277553;N1044;OSETH;Def;N9008;OSETH;Def;05:54:00;06:22:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;182765581;182765581;N9008;OSETH;Def;N1044;OSETH;Def;06:40:00;07:16:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;827646158;827646158;N1044;OSETH;Def;N9008;OSETH;Def;07:16:00;07:47:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;143730128;143730128;N9008;OSETH;Def;N1044;OSETH;Def;08:00:00;08:41:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;148455925;148455925;N1044;OSETH;Def;N9008;OSETH;Def;08:41:00;09:14:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;827788892;827788892;N9008;OSETH;Def;N1044;OSETH;Def;09:35:00;10:17:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;759827704;759827704;N1044;OSETH;Def;N9008;OSETH;Def;10:17:00;10:51:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;681148253;681148253;N9008;OSETH;Def;N1044;OSETH;Def;11:10:00;11:54:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;335672725;335672725;N1044;OSETH;Def;N9008;OSETH;Def;11:54:00;12:29:00;;3402_1
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;524001190;524001190;N9008;OSETH;Def;N1044;OSETH;Def;12:40:00;13:26:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;460294427;460294427;N1044;OSETH;Def;N9008;OSETH;Def;13:26:00;14:02:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;675692279;675692279;N9008;OSETH;Def;N1044;OSETH;Def;14:10:00;14:52:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;317221458;317221458;N1044;OSETH;Def;N9008;OSETH;Def;14:52:00;15:27:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;797877129;797877129;N9008;OSETH;Def;N1044;OSETH;Def;15:35:00;16:17:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;467877010;467877010;N1044;OSETH;Def;N9008;OSETH;Def;16:17:00;16:51:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;202235300;202235300;N9008;OSETH;Def;N1044;OSETH;Def;17:25:00;18:08:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;890356103;890356103;N1044;OSETH;Def;N9008;OSETH;Def;18:08:00;18:42:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;715421398;715421398;N9008;OSETH;Def;N1044;OSETH;Def;19:00:00;19:44:00;;3402_2
Day Type 4;Stavroupoli;3402;3402;Revenue;34;OASTH;Def;605097543;605097543;N1044;OSETH;Def;N9008;OSETH;Def;19:44:00;20:19:00;;3402_2
Day Type 4;Stavroupoli;3403;3403;Revenue;34;OASTH;Def;732608703;732608703;N9008;OSETH;Def;N1044;OSETH;Def;05:40:00;06:15:00;;3403_1
Day Type 4;Stavroupoli;3403;3403;Revenue;34;OASTH;Def;197030193;197030193;N1044;OSETH;Def;N9008;OSETH;Def;06:15:00;06:44:00;;3403_1
