PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;993488026;993488026;N13011;OSETH;Def;N15025;OSETH;Def;05:00:00;05:35:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;419745551;419745551;N15025;OSETH;Def;N13011;OSETH;Def;05:35:00;06:05:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;580683209;580683209;N13011;OSETH;Def;N15025;OSETH;Def;06:12:00;06:47:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;518155565;518155565;N15025;OSETH;Def;N13011;OSETH;Def;06:49:00;07:21:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;779248447;779248447;N13011;OSETH;Def;N15025;OSETH;Def;07:30:00;08:06:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;791651157;791651157;N15025;OSETH;Def;N13011;OSETH;Def;08:08:00;08:41:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;889177331;889177331;N13011;OSETH;Def;N15025;OSETH;Def;09:13:00;09:51:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;552909734;552909734;N15025;OSETH;Def;N13011;OSETH;Def;09:53:00;10:29:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;678608172;678608172;N13011;OSETH;Def;N15025;OSETH;Def;10:37:00;11:20:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;254134827;254134827;N15025;OSETH;Def;N13011;OSETH;Def;11:22:00;12:08:00;;1201_1
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;933541258;933541258;N13011;OSETH;Def;N15025;OSETH;Def;12:15:00;13:02:00;;1201_2
Day Type 3;Stavroupoli;1201;1201;Revenue;12;OASTH;Def;770920799;770920799;N15025;OSETH;Def;N13011;OSETH;Def;13:04:00;13:51:00;;1201_2
