PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;637101074;637101074;N4018;OSETH;Def;N4018;OSETH;Def;06:00:00;06:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;904241436;904241436;N4018;OSETH;Def;N4018;OSETH;Def;07:00:00;07:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;429538534;429538534;N4018;OSETH;Def;N4018;OSETH;Def;08:00:00;08:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;620781804;620781804;N4018;OSETH;Def;N4018;OSETH;Def;09:00:00;09:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;585296289;585296289;N4018;OSETH;Def;N4018;OSETH;Def;10:00:00;10:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;213537333;213537333;N4018;OSETH;Def;N4018;OSETH;Def;11:10:00;12:00:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;909451784;909451784;N4018;OSETH;Def;N4018;OSETH;Def;12:05:00;12:55:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;445901603;445901603;N4018;OSETH;Def;N4018;OSETH;Def;13:00:00;13:50:00;;4301_1
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;281904333;281904333;N4018;OSETH;Def;N4018;OSETH;Def;14:00:00;14:50:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;537286655;537286655;N4018;OSETH;Def;N4018;OSETH;Def;15:00:00;15:50:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;104827259;104827259;N4018;OSETH;Def;N4018;OSETH;Def;16:00:00;16:50:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;618327962;618327962;N4018;OSETH;Def;N4018;OSETH;Def;17:00:00;17:50:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;152979002;152979002;N4018;OSETH;Def;N4018;OSETH;Def;18:10:00;19:00:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;607163348;607163348;N4018;OSETH;Def;N4018;OSETH;Def;19:05:00;19:55:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;335836413;335836413;N4018;OSETH;Def;N4018;OSETH;Def;20:00:00;20:50:00;;4301_2
Day Type 2;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;539151800;539151800;N4018;OSETH;Def;N4018;OSETH;Def;21:00:00;21:50:00;;4301_2
