PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;T_Depot;8501;8501;Revenue;85Z;KTEL_T;Def;515597835;515597835;N27013;OSETH;Def;N11025;OSETH;Def;05:00:00;06:25:00;;8501_1
Day Type 2;T_Depot;8501;8501;Revenue;85Z;KTEL_T;Def;873450662;873450662;N11025;OSETH;Def;N27013;OSETH;Def;06:40:00;08:10:00;;8501_1
Day Type 2;T_Depot;8501;8501;Revenue;85N;KTEL_T;Def;582496777;582496777;N27013;OSETH;Def;N11025;OSETH;Def;08:15:00;09:45:00;;8501_1
Day Type 2;T_Depot;8501;8501;Revenue;85A;KTEL_T;Def;608977566;608977566;N11025;OSETH;Def;N28044;OSETH;Def;10:20:00;11:10:00;;8501_1
Day Type 2;T_Depot;8501;8501;Revenue;85M;KTEL_T;Def;143862078;143862078;N28044;OSETH;Def;N11025;OSETH;Def;11:15:00;12:10:00;;8501_1
Day Type 2;T_Depot;8501;8501;Revenue;85Z;KTEL_T;Def;624040667;624040667;N11025;OSETH;Def;N27013;OSETH;Def;13:30:00;15:03:00;;8501_2
Day Type 2;T_Depot;8501;8501;Revenue;85Z;KTEL_T;Def;121484560;121484560;N27013;OSETH;Def;N11025;OSETH;Def;15:05:00;16:35:00;;8501_2
Day Type 2;T_Depot;8501;8501;Revenue;85A;KTEL_T;Def;496934592;496934592;N11025;OSETH;Def;N28044;OSETH;Def;17:00:00;17:38:00;;8501_2
Day Type 2;T_Depot;8501;8501;Revenue;85M;KTEL_T;Def;309198648;309198648;N28044;OSETH;Def;N11025;OSETH;Def;17:40:00;18:25:00;;8501_2
Day Type 2;T_Depot;8501;8501;Revenue;85B;KTEL_T;Def;344610422;344610422;N11025;OSETH;Def;N27034;OSETH;Def;19:00:00;20:10:00;;8501_2
Day Type 2;T_Depot;8501;8501;Revenue;85B;KTEL_T;Def;655613243;655613243;N27034;OSETH;Def;N11025;OSETH;Def;20:15:00;21:35:00;;8501_2
Day Type 2;T_Depot;8502;8502;Revenue;85T;KTEL_T;Def;932908048;932908048;N27034;OSETH;Def;N11025;OSETH;Def;06:00:00;07:20:00;;8502_1
Day Type 2;T_Depot;8502;8502;Revenue;85N;KTEL_T;Def;343466168;343466168;N11025;OSETH;Def;N27013;OSETH;Def;07:30:00;09:00:00;;8502_1
Day Type 2;T_Depot;8502;8502;Revenue;85H;KTEL_T;Def;483540550;483540550;N27013;OSETH;Def;N26212;OSETH;Def;09:05:00;10:15:00;;8502_1
Day Type 2;T_Depot;8502;8502;Revenue;85H;KTEL_T;Def;113820937;113820937;N26212;OSETH;Def;N27013;OSETH;Def;10:55:00;11:55:00;;8502_1
Day Type 2;T_Depot;8502;8502;Revenue;85;KTEL_T;Def;377943161;377943161;N27013;OSETH;Def;N11025;OSETH;Def;12:05:00;13:15:00;;8502_1
Day Type 2;T_Depot;8502;8502;Revenue;85T;KTEL_T;Def;424948375;424948375;N11025;OSETH;Def;N27034;OSETH;Def;15:30:00;16:50:00;;8502_2
Day Type 2;T_Depot;8502;8502;Revenue;85B;KTEL_T;Def;491516014;491516014;N27034;OSETH;Def;N11025;OSETH;Def;16:55:00;18:15:00;;8502_2
Day Type 2;T_Depot;8502;8502;Revenue;85N;KTEL_T;Def;449033805;449033805;N11025;OSETH;Def;N27013;OSETH;Def;18:25:00;19:55:00;;8502_2
Day Type 2;T_Depot;8502;8502;Revenue;85;KTEL_T;Def;964473032;964473032;N27013;OSETH;Def;N11025;OSETH;Def;20:00:00;21:30:00;;8502_2
Day Type 2;T_Depot;8502;8502;Revenue;85A;KTEL_T;Def;767439949;767439949;N11025;OSETH;Def;N28044;OSETH;Def;22:00:00;22:43:00;;8502_2
Day Type 2;T_Depot;8502;8502;Revenue;85M;KTEL_T;Def;395495270;395495270;N28044;OSETH;Def;N11025;OSETH;Def;22:45:00;23:35:00;;8502_2
Day Type 2;T_Depot;8503;8503;Revenue;85;KTEL_T;Def;129434836;129434836;N11025;OSETH;Def;N27013;OSETH;Def;05:25:00;06:43:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85Z;KTEL_T;Def;308276406;308276406;N27013;OSETH;Def;N11025;OSETH;Def;06:45:00;08:20:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85B;KTEL_T;Def;468886216;468886216;N11025;OSETH;Def;N27034;OSETH;Def;08:35:00;09:53:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85B;KTEL_T;Def;721059281;721059281;N27034;OSETH;Def;N11025;OSETH;Def;09:55:00;11:25:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85A;KTEL_T;Def;736321581;736321581;N11025;OSETH;Def;N28044;OSETH;Def;11:50:00;12:33:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85M;KTEL_T;Def;362669737;362669737;N28044;OSETH;Def;N11025;OSETH;Def;12:35:00;13:30:00;;8503_1
Day Type 2;T_Depot;8503;8503;Revenue;85;KTEL_T;Def;308552978;308552978;N11025;OSETH;Def;N27013;OSETH;Def;16:00:00;17:20:00;;8503_2
Day Type 2;T_Depot;8503;8503;Revenue;85N;KTEL_T;Def;443153527;443153527;N27013;OSETH;Def;N11025;OSETH;Def;17:30:00;19:05:00;;8503_2
Day Type 2;T_Depot;8503;8503;Revenue;85A;KTEL_T;Def;284622384;284622384;N11025;OSETH;Def;N28044;OSETH;Def;19:15:00;19:58:00;;8503_2
Day Type 2;T_Depot;8503;8503;Revenue;85M;KTEL_T;Def;143884433;143884433;N28044;OSETH;Def;N11025;OSETH;Def;20:00:00;20:50:00;;8503_2
Day Type 2;T_Depot;8503;8503;Revenue;85;KTEL_T;Def;391816817;391816817;N11025;OSETH;Def;N27013;OSETH;Def;21:20:00;22:35:00;;8503_2
Day Type 2;T_Depot;8503;8503;Revenue;85;KTEL_T;Def;980094636;980094636;N27013;OSETH;Def;N11025;OSETH;Def;22:40:00;23:55:00;;8503_2
Day Type 2;T_Depot;8504;8504;Revenue;85H;KTEL_T;Def;445692658;445692658;N27013;OSETH;Def;N26212;OSETH;Def;05:45:00;06:50:00;;8504_1
Day Type 2;T_Depot;8504;8504;Revenue;85H;KTEL_T;Def;738783755;738783755;N26212;OSETH;Def;N27013;OSETH;Def;14:30:00;15:30:00;;8504_2
Day Type 2;T_Depot;8504;8504;Revenue;85H;KTEL_T;Def;646174577;646174577;N27013;OSETH;Def;N26212;OSETH;Def;15:32:00;16:35:00;;8504_2
