PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;483053582;483053582;N1335;OSETH;Def;N23009;OSETH;Def;05:20:00;05:55:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;380291341;380291341;N23009;OSETH;Def;N1335;OSETH;Def;06:00:00;06:35:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;101683685;101683685;N1335;OSETH;Def;N23009;OSETH;Def;06:40:00;07:23:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;648080421;648080421;N23009;OSETH;Def;N1335;OSETH;Def;07:30:00;08:13:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;884190322;884190322;N1335;OSETH;Def;N23009;OSETH;Def;08:30:00;09:16:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;219369673;219369673;N23009;OSETH;Def;N1335;OSETH;Def;09:18:00;10:06:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;940195180;940195180;N1335;OSETH;Def;N23009;OSETH;Def;10:30:00;11:20:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;113407419;113407419;N23009;OSETH;Def;N1335;OSETH;Def;11:22:00;12:10:00;;5601_1
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;994708095;994708095;N1335;OSETH;Def;N23009;OSETH;Def;12:20:00;13:08:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;711834747;711834747;N23009;OSETH;Def;N1335;OSETH;Def;13:10:00;13:55:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;204528837;204528837;N1335;OSETH;Def;N23009;OSETH;Def;14:00:00;14:48:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;399536210;399536210;N23009;OSETH;Def;N1335;OSETH;Def;14:50:00;15:35:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;749515586;749515586;N1335;OSETH;Def;N23009;OSETH;Def;15:40:00;16:28:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;111696593;111696593;N23009;OSETH;Def;N1335;OSETH;Def;16:30:00;17:15:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;792677610;792677610;N1335;OSETH;Def;N23009;OSETH;Def;17:38:00;18:25:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;658460617;658460617;N23009;OSETH;Def;N1335;OSETH;Def;18:27:00;19:12:00;;5601_2
Day Type 4;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;638885223;638885223;N1335;OSETH;Def;N23009;OSETH;Def;19:27:00;20:12:00;;5601_2
Day Type 4;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;975371306;975371306;N23009;OSETH;Def;N1335;OSETH;Def;05:00:00;05:35:00;;5602_1
Day Type 4;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;866346978;866346978;N1335;OSETH;Def;N23009;OSETH;Def;05:40:00;06:18:00;;5602_1
