PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;T_Depot;8001;8001;Revenue;80B;KTEL_T;Def;775613474;775613474;N21019;OSETH;Def;N13012;OSETH;Def;05:15:00;06:10:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;405778490;405778490;N13012;OSETH;Def;N21019;OSETH;Def;06:20:00;07:05:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80B;KTEL_T;Def;435823831;435823831;N21019;OSETH;Def;N13012;OSETH;Def;07:10:00;08:05:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;242558462;242558462;N13012;OSETH;Def;N21019;OSETH;Def;08:25:00;09:10:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;760113716;760113716;N21019;OSETH;Def;N13012;OSETH;Def;09:15:00;10:05:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80A;KTEL_T;Def;208098432;208098432;N13012;OSETH;Def;N21019;OSETH;Def;10:30:00;11:25:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;986133254;986133254;N21019;OSETH;Def;N13012;OSETH;Def;11:30:00;12:20:00;;8001_1
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;491028249;491028249;N13012;OSETH;Def;N21019;OSETH;Def;13:10:00;13:55:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80B;KTEL_T;Def;831122521;831122521;N21019;OSETH;Def;N13012;OSETH;Def;14:00:00;14:55:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;462695193;462695193;N13012;OSETH;Def;N21019;OSETH;Def;15:05:00;15:50:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80B;KTEL_T;Def;967817538;967817538;N21019;OSETH;Def;N13012;OSETH;Def;15:55:00;16:50:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80A;KTEL_T;Def;869426328;869426328;N13012;OSETH;Def;N21019;OSETH;Def;17:15:00;18:10:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80;KTEL_T;Def;576470078;576470078;N21019;OSETH;Def;N13012;OSETH;Def;18:15:00;19:05:00;;8001_2
Day Type 4;T_Depot;8001;8001;Revenue;80A;KTEL_T;Def;704237128;704237128;N13012;OSETH;Def;N21019;OSETH;Def;19:20:00;20:13:00;;8001_2
