PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;356094511;356094511;N1446;OSETH;Def;N1446;OSETH;Def;05:25:00;06:10:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;422234470;422234470;N1446;OSETH;Def;N1446;OSETH;Def;06:30:00;07:15:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;835055222;835055222;N1446;OSETH;Def;N1446;OSETH;Def;07:30:00;08:20:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;126893183;126893183;N1446;OSETH;Def;N1446;OSETH;Def;08:30:00;09:20:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;857809783;857809783;N1446;OSETH;Def;N1446;OSETH;Def;09:40:00;10:30:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;840001501;840001501;N1446;OSETH;Def;N1446;OSETH;Def;10:50:00;11:40:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;582484275;582484275;N1446;OSETH;Def;N1446;OSETH;Def;12:05:00;12:59:00;;901_1
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;585443057;585443057;N1446;OSETH;Def;N1446;OSETH;Def;13:20:00;14:13:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;431809482;431809482;N1446;OSETH;Def;N1446;OSETH;Def;14:30:00;15:20:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;847863605;847863605;N1446;OSETH;Def;N1446;OSETH;Def;15:30:00;16:20:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;765906134;765906134;N1446;OSETH;Def;N1446;OSETH;Def;16:30:00;17:20:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;367597062;367597062;N1446;OSETH;Def;N1446;OSETH;Def;17:45:00;18:35:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;444400431;444400431;N1446;OSETH;Def;N1446;OSETH;Def;18:55:00;19:45:00;;901_2
Day Type 5;T_Depot;901;901;Revenue;09;KTEL_T;Def;416849379;416849379;N1446;OSETH;Def;N1446;OSETH;Def;20:05:00;20:50:00;;901_2
