PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;814599635;814599635;N13011;OSETH;Def;N11048;OSETH;Def;05:20:00;06:00:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;408950717;408950717;N11048;OSETH;Def;N13011;OSETH;Def;06:30:00;07:10:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;931286080;931286080;N13011;OSETH;Def;N11048;OSETH;Def;07:15:00;07:55:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;873519499;873519499;N11048;OSETH;Def;N13011;OSETH;Def;08:10:00;08:55:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01A;KTEL_T;Def;386309318;386309318;N13011;OSETH;Def;N11048;OSETH;Def;09:00:00;09:50:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;121359141;121359141;N11048;OSETH;Def;N13011;OSETH;Def;09:55:00;10:45:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;389102103;389102103;N13011;OSETH;Def;N11048;OSETH;Def;10:50:00;11:35:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01A;KTEL_T;Def;457384263;457384263;N11048;OSETH;Def;N13011;OSETH;Def;11:45:00;12:40:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;965100499;965100499;N13011;OSETH;Def;N11048;OSETH;Def;12:45:00;13:30:00;;0101_1
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;884135445;884135445;N11048;OSETH;Def;N13011;OSETH;Def;13:50:00;14:40:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;829018679;829018679;N13011;OSETH;Def;N11048;OSETH;Def;14:45:00;15:30:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;951946851;951946851;N11048;OSETH;Def;N13011;OSETH;Def;16:00:00;16:50:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;211458359;211458359;N13011;OSETH;Def;N11048;OSETH;Def;16:55:00;17:40:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;502969920;502969920;N11048;OSETH;Def;N13011;OSETH;Def;18:00:00;18:50:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;962701157;962701157;N13011;OSETH;Def;N11048;OSETH;Def;18:55:00;19:40:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;597303349;597303349;N11048;OSETH;Def;N13011;OSETH;Def;19:50:00;20:35:00;;0101_2
Day Type 4;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;445798092;445798092;N13011;OSETH;Def;N11048;OSETH;Def;20:40:00;21:25:00;;0101_2
Day Type 4;T_Depot;0102;0102;Revenue;01A;KTEL_T;Def;525541366;525541366;N13011;OSETH;Def;N11048;OSETH;Def;06:00:00;06:45:00;;0102_1
