PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;981831074;981831074;N1446;OSETH;Def;N20172;OSETH;Def;05:45:00;06:08:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;555313741;555313741;N20172;OSETH;Def;N1446;OSETH;Def;06:10:00;06:30:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;321697797;321697797;N1446;OSETH;Def;N20172;OSETH;Def;06:45:00;07:08:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;282534430;282534430;N20172;OSETH;Def;N1446;OSETH;Def;07:10:00;07:30:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;164422487;164422487;N1446;OSETH;Def;N20172;OSETH;Def;07:50:00;08:14:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;447880685;447880685;N20172;OSETH;Def;N1446;OSETH;Def;08:16:00;08:36:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;830182629;830182629;N1446;OSETH;Def;N20172;OSETH;Def;08:50:00;09:15:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;444097335;444097335;N20172;OSETH;Def;N1446;OSETH;Def;09:17:00;09:37:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;105864810;105864810;N1446;OSETH;Def;N20172;OSETH;Def;10:00:00;10:25:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;899322179;899322179;N20172;OSETH;Def;N1446;OSETH;Def;10:27:00;10:47:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;913261997;913261997;N1446;OSETH;Def;N20172;OSETH;Def;11:00:00;11:25:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;845794809;845794809;N20172;OSETH;Def;N1446;OSETH;Def;11:27:00;11:47:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;928503211;928503211;N1446;OSETH;Def;N20172;OSETH;Def;12:00:00;12:25:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;299968932;299968932;N20172;OSETH;Def;N1446;OSETH;Def;12:27:00;12:47:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;900245700;900245700;N1446;OSETH;Def;N20172;OSETH;Def;13:10:00;13:35:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;760197255;760197255;N20172;OSETH;Def;N1446;OSETH;Def;13:37:00;13:57:00;;4001_1
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;634467270;634467270;N1446;OSETH;Def;N20172;OSETH;Def;14:10:00;14:35:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;759044451;759044451;N20172;OSETH;Def;N1446;OSETH;Def;14:37:00;15:00:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;744246185;744246185;N1446;OSETH;Def;N20172;OSETH;Def;15:10:00;15:34:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;511047077;511047077;N20172;OSETH;Def;N1446;OSETH;Def;15:36:00;15:56:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;454792397;454792397;N1446;OSETH;Def;N20172;OSETH;Def;16:10:00;16:34:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;789732041;789732041;N20172;OSETH;Def;N1446;OSETH;Def;16:36:00;16:56:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;410776907;410776907;N1446;OSETH;Def;N20172;OSETH;Def;17:10:00;17:35:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;872141874;872141874;N20172;OSETH;Def;N1446;OSETH;Def;17:37:00;17:57:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;355485930;355485930;N1446;OSETH;Def;N20172;OSETH;Def;18:20:00;18:46:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;788600289;788600289;N20172;OSETH;Def;N1446;OSETH;Def;18:48:00;19:08:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;885153489;885153489;N1446;OSETH;Def;N20172;OSETH;Def;19:20:00;19:46:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;116284343;116284343;N20172;OSETH;Def;N1446;OSETH;Def;19:48:00;20:08:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;975693101;975693101;N1446;OSETH;Def;N20172;OSETH;Def;20:20:00;20:46:00;;4001_2
Day Type 6;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;259198087;259198087;N20172;OSETH;Def;N1446;OSETH;Def;20:48:00;21:08:00;;4001_2
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;613194455;613194455;N1446;OSETH;Def;N20172;OSETH;Def;06:15:00;06:38:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;546959357;546959357;N20172;OSETH;Def;N1446;OSETH;Def;06:40:00;07:00:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;496560859;496560859;N1446;OSETH;Def;N20172;OSETH;Def;07:10:00;07:33:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;199695375;199695375;N20172;OSETH;Def;N1446;OSETH;Def;07:35:00;07:55:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;719377724;719377724;N1446;OSETH;Def;N20172;OSETH;Def;08:10:00;08:35:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;520267239;520267239;N20172;OSETH;Def;N1446;OSETH;Def;08:37:00;08:57:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;132622287;132622287;N1446;OSETH;Def;N20172;OSETH;Def;09:10:00;09:35:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;251230288;251230288;N20172;OSETH;Def;N1446;OSETH;Def;09:37:00;09:57:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;918202357;918202357;N1446;OSETH;Def;N20172;OSETH;Def;10:20:00;10:45:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;453267538;453267538;N20172;OSETH;Def;N1446;OSETH;Def;10:47:00;11:07:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;434118760;434118760;N1446;OSETH;Def;N20172;OSETH;Def;11:20:00;11:45:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;769530303;769530303;N20172;OSETH;Def;N1446;OSETH;Def;11:47:00;12:07:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;277802528;277802528;N1446;OSETH;Def;N20172;OSETH;Def;12:25:00;12:50:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;273433997;273433997;N20172;OSETH;Def;N1446;OSETH;Def;12:52:00;13:12:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;235362835;235362835;N1446;OSETH;Def;N20172;OSETH;Def;13:30:00;13:55:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;143022617;143022617;N20172;OSETH;Def;N1446;OSETH;Def;13:57:00;14:17:00;;4002_1
Day Type 6;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;443369325;443369325;N1446;OSETH;Def;N20172;OSETH;Def;14:30:00;14:55:00;;4002_2
