PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;536883885;536883885;N2001;OSETH;Def;N15077;OSETH;Def;06:40:00;07:40:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;738043137;738043137;N15077;OSETH;Def;N2001;OSETH;Def;07:45:00;08:50:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;294400326;294400326;N2001;OSETH;Def;N15077;OSETH;Def;08:55:00;10:00:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;945458993;945458993;N15077;OSETH;Def;N2001;OSETH;Def;10:20:00;11:25:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;161593675;161593675;N2001;OSETH;Def;N15077;OSETH;Def;11:30:00;12:35:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;950959945;950959945;N15077;OSETH;Def;N2001;OSETH;Def;12:50:00;13:55:00;;36Χ01_1
Day Type 4;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;733663293;733663293;N2001;OSETH;Def;N15077;OSETH;Def;14:00:00;15:05:00;;36Χ01_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;842015428;842015428;N15077;OSETH;Def;N2001;OSETH;Def;07:30:00;08:30:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;451102280;451102280;N2001;OSETH;Def;N15077;OSETH;Def;08:35:00;09:40:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;119226323;119226323;N15077;OSETH;Def;N2001;OSETH;Def;09:50:00;10:55:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;123703037;123703037;N2001;OSETH;Def;N15077;OSETH;Def;11:00:00;12:05:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;662838732;662838732;N15077;OSETH;Def;N2001;OSETH;Def;12:25:00;13:30:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;313628820;313628820;N2001;OSETH;Def;N15077;OSETH;Def;13:35:00;14:40:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;268664695;268664695;N15077;OSETH;Def;N2001;OSETH;Def;14:50:00;15:55:00;;36Χ02_1
Day Type 4;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;915918240;915918240;N2001;OSETH;Def;N15077;OSETH;Def;16:00:00;17:05:00;;36Χ02_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;955180053;955180053;N2001;OSETH;Def;N15077;OSETH;Def;07:30:00;08:30:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;880379980;880379980;N15077;OSETH;Def;N2001;OSETH;Def;08:35:00;09:40:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;986708463;986708463;N2001;OSETH;Def;N15077;OSETH;Def;09:45:00;10:50:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;195144348;195144348;N15077;OSETH;Def;N2001;OSETH;Def;11:10:00;12:15:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;785514119;785514119;N2001;OSETH;Def;N15077;OSETH;Def;12:20:00;13:25:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;512265793;512265793;N15077;OSETH;Def;N2001;OSETH;Def;13:40:00;14:45:00;;36Χ03_1
Day Type 4;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;344357065;344357065;N2001;OSETH;Def;N15077;OSETH;Def;14:50:00;15:55:00;;36Χ03_1
Day Type 4;T_Depot;36Χ04;369904;Revenue;36X;KTEL_T;Def;960508830;960508830;N15077;OSETH;Def;N2001;OSETH;Def;06:40:00;07:40:00;;36Χ04_1
