PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;575179835;575179835;N4018;OSETH;Def;N4018;OSETH;Def;06:00:00;06:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;570536310;570536310;N4018;OSETH;Def;N4018;OSETH;Def;07:00:00;07:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;489421224;489421224;N4018;OSETH;Def;N4018;OSETH;Def;08:00:00;08:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;827245563;827245563;N4018;OSETH;Def;N4018;OSETH;Def;09:00:00;09:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;659214324;659214324;N4018;OSETH;Def;N4018;OSETH;Def;10:00:00;10:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;426659521;426659521;N4018;OSETH;Def;N4018;OSETH;Def;11:10:00;12:00:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;402683026;402683026;N4018;OSETH;Def;N4018;OSETH;Def;12:05:00;12:55:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;415928275;415928275;N4018;OSETH;Def;N4018;OSETH;Def;13:00:00;13:50:00;;4301_1
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;857476480;857476480;N4018;OSETH;Def;N4018;OSETH;Def;14:00:00;14:50:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;566438162;566438162;N4018;OSETH;Def;N4018;OSETH;Def;15:00:00;15:50:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;712171853;712171853;N4018;OSETH;Def;N4018;OSETH;Def;16:00:00;16:50:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;499199437;499199437;N4018;OSETH;Def;N4018;OSETH;Def;17:00:00;17:50:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;441361295;441361295;N4018;OSETH;Def;N4018;OSETH;Def;18:10:00;19:00:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;200711768;200711768;N4018;OSETH;Def;N4018;OSETH;Def;19:05:00;19:55:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;156235326;156235326;N4018;OSETH;Def;N4018;OSETH;Def;20:00:00;20:50:00;;4301_2
Day Type 3;T_Depot;4301;4301;Revenue;43;KTEL_T;Def;581846716;581846716;N4018;OSETH;Def;N4018;OSETH;Def;21:00:00;21:50:00;;4301_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;872503403;872503403;N1335;OSETH;Def;N23009;OSETH;Def;05:20:00;05:55:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;150334828;150334828;N23009;OSETH;Def;N1335;OSETH;Def;06:00:00;06:35:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;398559713;398559713;N1335;OSETH;Def;N23009;OSETH;Def;06:40:00;07:23:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;414158434;414158434;N23009;OSETH;Def;N1335;OSETH;Def;07:30:00;08:13:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;721275600;721275600;N1335;OSETH;Def;N23009;OSETH;Def;08:30:00;09:16:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;261067880;261067880;N23009;OSETH;Def;N1335;OSETH;Def;09:18:00;10:06:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;480486651;480486651;N1335;OSETH;Def;N23009;OSETH;Def;10:30:00;11:20:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;137620124;137620124;N23009;OSETH;Def;N1335;OSETH;Def;11:22:00;12:10:00;;5601_1
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;154506333;154506333;N1335;OSETH;Def;N23009;OSETH;Def;12:20:00;13:08:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;685587130;685587130;N23009;OSETH;Def;N1335;OSETH;Def;13:10:00;13:55:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;917324314;917324314;N1335;OSETH;Def;N23009;OSETH;Def;14:00:00;14:48:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;953524405;953524405;N23009;OSETH;Def;N1335;OSETH;Def;14:50:00;15:35:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;110930151;110930151;N1335;OSETH;Def;N23009;OSETH;Def;15:40:00;16:28:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;704435060;704435060;N23009;OSETH;Def;N1335;OSETH;Def;16:30:00;17:15:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;664831101;664831101;N1335;OSETH;Def;N23009;OSETH;Def;17:38:00;18:25:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;709296982;709296982;N23009;OSETH;Def;N1335;OSETH;Def;18:27:00;19:12:00;;5601_2
Day Type 3;T_Depot;5601;5601;Revenue;56;KTEL_T;Def;470615487;470615487;N1335;OSETH;Def;N23009;OSETH;Def;19:27:00;20:12:00;;5601_2
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;523476020;523476020;N23009;OSETH;Def;N1335;OSETH;Def;05:00:00;05:35:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;231284227;231284227;N1335;OSETH;Def;N23009;OSETH;Def;05:40:00;06:18:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;502482132;502482132;N23009;OSETH;Def;N1335;OSETH;Def;06:30:00;07:08:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;931036241;931036241;N1335;OSETH;Def;N23009;OSETH;Def;07:15:00;07:59:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;638479588;638479588;N23009;OSETH;Def;N1335;OSETH;Def;08:01:00;08:49:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;155302805;155302805;N1335;OSETH;Def;N23009;OSETH;Def;09:00:00;09:46:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;686284111;686284111;N23009;OSETH;Def;N1335;OSETH;Def;09:48:00;10:36:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;438864911;438864911;N1335;OSETH;Def;N23009;OSETH;Def;11:00:00;11:50:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;319359993;319359993;N23009;OSETH;Def;N1335;OSETH;Def;11:52:00;12:40:00;;5602_1
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;256832016;256832016;N1335;OSETH;Def;N23009;OSETH;Def;13:00:00;13:48:00;;5602_2
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;639268088;639268088;N23009;OSETH;Def;N1335;OSETH;Def;13:50:00;14:35:00;;5602_2
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;895720204;895720204;N1335;OSETH;Def;N23009;OSETH;Def;14:40:00;15:28:00;;5602_2
Day Type 3;T_Depot;5602;5602;Revenue;56;KTEL_T;Def;495591122;495591122;N23009;OSETH;Def;N1335;OSETH;Def;15:30:00;16:15:00;;5602_2
