PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;696440820;696440820;N13011;OSETH;Def;N11048;OSETH;Def;05:20:00;06:00:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01A;KTEL_T;Def;177905891;177905891;N11048;OSETH;Def;N13011;OSETH;Def;06:10:00;06:55:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;599099767;599099767;N13011;OSETH;Def;N11048;OSETH;Def;06:57:00;07:37:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;605607552;605607552;N11048;OSETH;Def;N13011;OSETH;Def;07:40:00;08:25:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01A;KTEL_T;Def;366886068;366886068;N13011;OSETH;Def;N11048;OSETH;Def;08:30:00;09:20:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;396140994;396140994;N11048;OSETH;Def;N13011;OSETH;Def;09:40:00;10:25:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;398688466;398688466;N13011;OSETH;Def;N11048;OSETH;Def;10:30:00;11:15:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;484319310;484319310;N11048;OSETH;Def;N13011;OSETH;Def;11:20:00;12:08:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;318112480;318112480;N13011;OSETH;Def;N11048;OSETH;Def;12:10:00;12:53:00;;0101_1
Day Type 6;T_Depot;0101;0101;Revenue;01;KTEL_T;Def;806166488;806166488;N11048;OSETH;Def;N13011;OSETH;Def;13:05:00;13:50:00;;0101_2
Day Type 6;T_Depot;0101;0101;Revenue;01A;KTEL_T;Def;183892288;183892288;N13011;OSETH;Def;N11048;OSETH;Def;13:55:00;14:45:00;;0101_2
