PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;822137687;822137687;N1446;OSETH;Def;N20172;OSETH;Def;05:40:00;06:03:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;451831210;451831210;N20172;OSETH;Def;N1446;OSETH;Def;06:05:00;06:23:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;919335293;919335293;N1446;OSETH;Def;N20172;OSETH;Def;06:35:00;06:58:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;639417710;639417710;N20172;OSETH;Def;N1446;OSETH;Def;07:00:00;07:18:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;844477507;844477507;N1446;OSETH;Def;N20172;OSETH;Def;07:25:00;07:50:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;688531762;688531762;N20172;OSETH;Def;N1446;OSETH;Def;07:52:00;08:12:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;113862085;113862085;N1446;OSETH;Def;N20172;OSETH;Def;08:25:00;08:51:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;393634703;393634703;N20172;OSETH;Def;N1446;OSETH;Def;08:53:00;09:12:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;422144392;422144392;N1446;OSETH;Def;N20172;OSETH;Def;09:35:00;10:01:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;173233231;173233231;N20172;OSETH;Def;N1446;OSETH;Def;10:03:00;10:23:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;238831367;238831367;N1446;OSETH;Def;N20172;OSETH;Def;10:40:00;11:07:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;305478197;305478197;N20172;OSETH;Def;N1446;OSETH;Def;11:09:00;11:29:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;212395428;212395428;N1446;OSETH;Def;N20172;OSETH;Def;11:40:00;12:06:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;217750525;217750525;N20172;OSETH;Def;N1446;OSETH;Def;12:08:00;12:28:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;241883030;241883030;N1446;OSETH;Def;N20172;OSETH;Def;12:40:00;13:07:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;360406810;360406810;N20172;OSETH;Def;N1446;OSETH;Def;13:09:00;13:32:00;;4001_1
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;305876905;305876905;N1446;OSETH;Def;N20172;OSETH;Def;13:50:00;14:17:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;134917186;134917186;N20172;OSETH;Def;N1446;OSETH;Def;14:19:00;14:42:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;525308548;525308548;N1446;OSETH;Def;N20172;OSETH;Def;14:50:00;15:16:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;607552695;607552695;N20172;OSETH;Def;N1446;OSETH;Def;15:18:00;15:38:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;826866025;826866025;N1446;OSETH;Def;N20172;OSETH;Def;15:50:00;16:16:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;801022391;801022391;N20172;OSETH;Def;N1446;OSETH;Def;16:18:00;16:38:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;339978018;339978018;N1446;OSETH;Def;N20172;OSETH;Def;16:50:00;17:16:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;929350125;929350125;N20172;OSETH;Def;N1446;OSETH;Def;17:18:00;17:38:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;231995178;231995178;N1446;OSETH;Def;N20172;OSETH;Def;18:00:00;18:26:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;771105473;771105473;N20172;OSETH;Def;N1446;OSETH;Def;18:28:00;18:48:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;866069396;866069396;N1446;OSETH;Def;N20172;OSETH;Def;19:00:00;19:26:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;989616898;989616898;N20172;OSETH;Def;N1446;OSETH;Def;19:28:00;19:48:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;458571466;458571466;N1446;OSETH;Def;N20172;OSETH;Def;20:00:00;20:26:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;865313390;865313390;N20172;OSETH;Def;N1446;OSETH;Def;20:28:00;20:48:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;208265896;208265896;N1446;OSETH;Def;N20172;OSETH;Def;21:00:00;21:26:00;;4001_2
Day Type 5;T_Depot;4001;4001;Revenue;40;KTEL_T;Def;200877675;200877675;N20172;OSETH;Def;N1446;OSETH;Def;21:28:00;21:48:00;;4001_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;896482279;896482279;N1446;OSETH;Def;N20172;OSETH;Def;06:10:00;06:33:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;303353280;303353280;N20172;OSETH;Def;N1446;OSETH;Def;06:35:00;06:53:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;577963861;577963861;N1446;OSETH;Def;N20172;OSETH;Def;07:00:00;07:24:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;557892744;557892744;N20172;OSETH;Def;N1446;OSETH;Def;07:26:00;07:46:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;664864840;664864840;N1446;OSETH;Def;N20172;OSETH;Def;08:05:00;08:30:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;662425632;662425632;N20172;OSETH;Def;N1446;OSETH;Def;08:32:00;08:51:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;720558808;720558808;N1446;OSETH;Def;N20172;OSETH;Def;09:10:00;09:36:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;364524380;364524380;N20172;OSETH;Def;N1446;OSETH;Def;09:38:00;09:58:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;890400333;890400333;N1446;OSETH;Def;N20172;OSETH;Def;10:20:00;10:47:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;209617573;209617573;N20172;OSETH;Def;N1446;OSETH;Def;10:49:00;11:10:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;611588366;611588366;N1446;OSETH;Def;N20172;OSETH;Def;11:20:00;11:46:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;768875483;768875483;N20172;OSETH;Def;N1446;OSETH;Def;11:48:00;12:08:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;343877044;343877044;N1446;OSETH;Def;N20172;OSETH;Def;12:20:00;12:47:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;172177554;172177554;N20172;OSETH;Def;N1446;OSETH;Def;12:49:00;13:09:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;638752501;638752501;N1446;OSETH;Def;N20172;OSETH;Def;13:20:00;13:47:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;751487895;751487895;N20172;OSETH;Def;N1446;OSETH;Def;13:49:00;14:12:00;;4002_1
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;394133803;394133803;N1446;OSETH;Def;N20172;OSETH;Def;14:30:00;14:56:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;850903081;850903081;N20172;OSETH;Def;N1446;OSETH;Def;14:58:00;15:19:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;645238722;645238722;N1446;OSETH;Def;N20172;OSETH;Def;15:30:00;15:56:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;795711810;795711810;N20172;OSETH;Def;N1446;OSETH;Def;15:58:00;16:18:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;152133203;152133203;N1446;OSETH;Def;N20172;OSETH;Def;16:30:00;16:56:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;291399871;291399871;N20172;OSETH;Def;N1446;OSETH;Def;16:58:00;17:18:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;410726014;410726014;N1446;OSETH;Def;N20172;OSETH;Def;17:40:00;18:06:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;721554919;721554919;N20172;OSETH;Def;N1446;OSETH;Def;18:08:00;18:28:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;743842154;743842154;N1446;OSETH;Def;N20172;OSETH;Def;18:40:00;19:06:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;494555330;494555330;N20172;OSETH;Def;N1446;OSETH;Def;19:08:00;19:28:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;852619386;852619386;N1446;OSETH;Def;N20172;OSETH;Def;19:40:00;20:06:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;685539523;685539523;N20172;OSETH;Def;N1446;OSETH;Def;20:08:00;20:28:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;657896240;657896240;N1446;OSETH;Def;N20172;OSETH;Def;20:40:00;21:06:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;965763327;965763327;N20172;OSETH;Def;N1446;OSETH;Def;21:08:00;21:28:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;519587664;519587664;N1446;OSETH;Def;N20172;OSETH;Def;21:50:00;22:16:00;;4002_2
Day Type 5;T_Depot;4002;4002;Revenue;40;KTEL_T;Def;944233556;944233556;N20172;OSETH;Def;N1446;OSETH;Def;22:18:00;22:35:00;;4002_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;872311775;872311775;N1446;OSETH;Def;N20172;OSETH;Def;07:45:00;08:10:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;573608558;573608558;N20172;OSETH;Def;N1446;OSETH;Def;08:12:00;08:31:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;832437461;832437461;N1446;OSETH;Def;N20172;OSETH;Def;08:45:00;09:11:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;833086717;833086717;N20172;OSETH;Def;N1446;OSETH;Def;09:13:00;09:33:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;173991668;173991668;N1446;OSETH;Def;N20172;OSETH;Def;10:00:00;10:26:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;609136481;609136481;N20172;OSETH;Def;N1446;OSETH;Def;10:28:00;10:49:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;397420532;397420532;N1446;OSETH;Def;N20172;OSETH;Def;11:00:00;11:27:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;666981269;666981269;N20172;OSETH;Def;N1446;OSETH;Def;11:29:00;11:49:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;125168493;125168493;N1446;OSETH;Def;N20172;OSETH;Def;12:00:00;12:26:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;616272906;616272906;N20172;OSETH;Def;N1446;OSETH;Def;12:28:00;12:48:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;409820431;409820431;N1446;OSETH;Def;N20172;OSETH;Def;13:00:00;13:27:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;254687161;254687161;N20172;OSETH;Def;N1446;OSETH;Def;13:29:00;13:52:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;968589395;968589395;N1446;OSETH;Def;N20172;OSETH;Def;14:10:00;14:36:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;759026655;759026655;N20172;OSETH;Def;N1446;OSETH;Def;14:38:00;15:01:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;367446703;367446703;N1446;OSETH;Def;N20172;OSETH;Def;15:10:00;15:36:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;955499299;955499299;N20172;OSETH;Def;N1446;OSETH;Def;15:38:00;15:58:00;;4003_1
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;371723793;371723793;N1446;OSETH;Def;N20172;OSETH;Def;16:10:00;16:36:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;437661645;437661645;N20172;OSETH;Def;N1446;OSETH;Def;16:38:00;16:58:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;163251576;163251576;N1446;OSETH;Def;N20172;OSETH;Def;17:15:00;17:39:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;123413453;123413453;N20172;OSETH;Def;N1446;OSETH;Def;17:41:00;18:00:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;402529207;402529207;N1446;OSETH;Def;N20172;OSETH;Def;18:20:00;18:46:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;188361822;188361822;N20172;OSETH;Def;N1446;OSETH;Def;18:48:00;19:08:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;474876277;474876277;N1446;OSETH;Def;N20172;OSETH;Def;19:20:00;19:46:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;164253118;164253118;N20172;OSETH;Def;N1446;OSETH;Def;19:48:00;20:08:00;;4003_2
Day Type 5;T_Depot;4003;4003;Revenue;40;KTEL_T;Def;839137554;839137554;N1446;OSETH;Def;N20172;OSETH;Def;20:20:00;20:46:00;;4003_2
