PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;289312869;289312869;N13011;OSETH;Def;N15098;OSETH;Def;04:40:00;05:33:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;666054663;666054663;N15098;OSETH;Def;N13011;OSETH;Def;05:35:00;06:20:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;443417189;443417189;N13011;OSETH;Def;N15098;OSETH;Def;06:40:00;07:43:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;489293593;489293593;N15098;OSETH;Def;N13011;OSETH;Def;07:45:00;08:35:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;272736422;272736422;N13011;OSETH;Def;N15098;OSETH;Def;08:40:00;09:43:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;944516820;944516820;N15098;OSETH;Def;N13011;OSETH;Def;09:45:00;10:40:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;154964635;154964635;N13011;OSETH;Def;N15098;OSETH;Def;11:00:00;12:03:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45;KTEL_T;Def;409043356;409043356;N15098;OSETH;Def;N13011;OSETH;Def;12:05:00;13:00:00;;4501_1
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;320946914;320946914;N13011;OSETH;Def;N15092;OSETH;Def;15:00:00;16:00:00;;4501_2
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;436288369;436288369;N15092;OSETH;Def;N13011;OSETH;Def;16:00:00;16:55:00;;4501_2
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;987463031;987463031;N13011;OSETH;Def;N15092;OSETH;Def;17:00:00;18:00:00;;4501_2
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;364064745;364064745;N15092;OSETH;Def;N13011;OSETH;Def;18:00:00;18:55:00;;4501_2
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;598804929;598804929;N13011;OSETH;Def;N15092;OSETH;Def;19:20:00;20:20:00;;4501_2
Day Type 4;T_Depot;4501;4501;Revenue;45A;KTEL_T;Def;188539081;188539081;N15092;OSETH;Def;N13011;OSETH;Def;20:20:00;21:15:00;;4501_2
