PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;851888043;851888043;N2001;OSETH;Def;N15077;OSETH;Def;06:40:00;07:40:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;492334837;492334837;N15077;OSETH;Def;N2001;OSETH;Def;07:45:00;08:50:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;170600125;170600125;N2001;OSETH;Def;N15077;OSETH;Def;08:55:00;10:00:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;351482062;351482062;N15077;OSETH;Def;N2001;OSETH;Def;10:20:00;11:25:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;282082488;282082488;N2001;OSETH;Def;N15077;OSETH;Def;11:30:00;12:35:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;182403575;182403575;N15077;OSETH;Def;N2001;OSETH;Def;12:50:00;13:55:00;;36Χ01_1
Day Type 1;T_Depot;36Χ01;369901;Revenue;36X;KTEL_T;Def;244911877;244911877;N2001;OSETH;Def;N15077;OSETH;Def;14:00:00;15:05:00;;36Χ01_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;617938778;617938778;N15077;OSETH;Def;N2001;OSETH;Def;07:30:00;08:30:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;332957165;332957165;N2001;OSETH;Def;N15077;OSETH;Def;08:35:00;09:40:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;508727097;508727097;N15077;OSETH;Def;N2001;OSETH;Def;09:50:00;10:55:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;902117693;902117693;N2001;OSETH;Def;N15077;OSETH;Def;11:00:00;12:05:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;854235375;854235375;N15077;OSETH;Def;N2001;OSETH;Def;12:25:00;13:30:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;808026141;808026141;N2001;OSETH;Def;N15077;OSETH;Def;13:35:00;14:40:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;168078349;168078349;N15077;OSETH;Def;N2001;OSETH;Def;14:50:00;15:55:00;;36Χ02_1
Day Type 1;T_Depot;36Χ02;369902;Revenue;36X;KTEL_T;Def;689283908;689283908;N2001;OSETH;Def;N15077;OSETH;Def;16:00:00;17:05:00;;36Χ02_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;400107247;400107247;N2001;OSETH;Def;N15077;OSETH;Def;07:30:00;08:30:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;321527272;321527272;N15077;OSETH;Def;N2001;OSETH;Def;08:35:00;09:40:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;591245188;591245188;N2001;OSETH;Def;N15077;OSETH;Def;09:45:00;10:50:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;241110653;241110653;N15077;OSETH;Def;N2001;OSETH;Def;11:10:00;12:15:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;280973019;280973019;N2001;OSETH;Def;N15077;OSETH;Def;12:20:00;13:25:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;527652678;527652678;N15077;OSETH;Def;N2001;OSETH;Def;13:40:00;14:45:00;;36Χ03_1
Day Type 1;T_Depot;36Χ03;369903;Revenue;36X;KTEL_T;Def;387770290;387770290;N2001;OSETH;Def;N15077;OSETH;Def;14:50:00;15:55:00;;36Χ03_1
