PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;628455914;628455914;N19021;OSETH;Def;N13012;OSETH;Def;05:05:00;06:00:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;439258620;439258620;N13012;OSETH;Def;N19021;OSETH;Def;06:05:00;07:00:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;443277894;443277894;N19021;OSETH;Def;N13012;OSETH;Def;07:05:00;08:05:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;769097505;769097505;N13012;OSETH;Def;N19021;OSETH;Def;08:30:00;09:30:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;302127554;302127554;N19021;OSETH;Def;N13012;OSETH;Def;09:35:00;10:35:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;256517533;256517533;N13012;OSETH;Def;N19021;OSETH;Def;11:00:00;12:00:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;344897279;344897279;N19021;OSETH;Def;N13012;OSETH;Def;12:05:00;13:05:00;;8101_1
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;902707670;902707670;N13012;OSETH;Def;N19021;OSETH;Def;14:00:00;15:00:00;;8101_2
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;594350799;594350799;N19021;OSETH;Def;N13012;OSETH;Def;15:05:00;16:05:00;;8101_2
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;277872048;277872048;N13012;OSETH;Def;N19021;OSETH;Def;16:15:00;17:15:00;;8101_2
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;811089921;811089921;N19021;OSETH;Def;N13012;OSETH;Def;17:20:00;18:20:00;;8101_2
Day Type 1;T_Depot;8101;8101;Revenue;81A;KTEL_T;Def;443548324;443548324;N13012;OSETH;Def;N19021;OSETH;Def;18:40:00;19:38:00;;8101_2
Day Type 1;T_Depot;8101;8101;Revenue;81B;KTEL_T;Def;196855577;196855577;N19021;OSETH;Def;N13012;OSETH;Def;19:40:00;20:40:00;;8101_2
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;782015067;782015067;N19021;OSETH;Def;N13012;OSETH;Def;05:35:00;06:30:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;316436536;316436536;N13012;OSETH;Def;N19021;OSETH;Def;06:35:00;07:30:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;688265272;688265272;N19021;OSETH;Def;N13012;OSETH;Def;07:35:00;08:40:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;787308250;787308250;N13012;OSETH;Def;N19021;OSETH;Def;09:00:00;10:00:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;432898440;432898440;N19021;OSETH;Def;N13012;OSETH;Def;10:05:00;11:05:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;163693197;163693197;N13012;OSETH;Def;N19021;OSETH;Def;11:30:00;12:30:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;149378405;149378405;N19021;OSETH;Def;N13012;OSETH;Def;12:35:00;13:35:00;;8102_1
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;688560681;688560681;N13012;OSETH;Def;N19021;OSETH;Def;14:35:00;15:35:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;618298766;618298766;N19021;OSETH;Def;N13012;OSETH;Def;15:40:00;16:40:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;672332384;672332384;N13012;OSETH;Def;N19021;OSETH;Def;17:00:00;18:00:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;988248598;988248598;N19021;OSETH;Def;N13012;OSETH;Def;18:05:00;19:05:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;234487156;234487156;N13012;OSETH;Def;N19021;OSETH;Def;19:30:00;20:28:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81B;KTEL_T;Def;858977313;858977313;N19021;OSETH;Def;N13012;OSETH;Def;20:30:00;21:30:00;;8102_2
Day Type 1;T_Depot;8102;8102;Revenue;81A;KTEL_T;Def;288825971;288825971;N13012;OSETH;Def;N19021;OSETH;Def;23:05:00;24:00:00;;8102_2
Day Type 1;T_Depot;8103;8103;Revenue;81A;KTEL_T;Def;294565944;294565944;N13012;OSETH;Def;N19021;OSETH;Def;05:00:00;05:55:00;;8103_1
Day Type 1;T_Depot;8103;8103;Revenue;81B;KTEL_T;Def;276516267;276516267;N19021;OSETH;Def;N13012;OSETH;Def;06:00:00;06:55:00;;8103_1
Day Type 1;T_Depot;8103;8103;Revenue;81A;KTEL_T;Def;395398487;395398487;N13012;OSETH;Def;N19021;OSETH;Def;07:05:00;08:03:00;;8103_1
Day Type 1;T_Depot;8103;8103;Revenue;81K;KTEL_T;Def;945099099;945099099;N19021;OSETH;Def;N13012;OSETH;Def;08:05:00;09:05:00;;8103_1
