VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 4;2101_1;844930665;VB_Piece;2101;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:20:00;13:01:00
VERSION_U;Stavroupoli;Day Type 4;2101_2;185964705;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;13:05:00;13:15:00
VERSION_U;Stavroupoli;Day Type 4;2101_2;185964705;VB_Piece;2101;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;13:15:00;20:42:00
VERSION_U;Stavroupoli;Day Type 4;2102_1;247544802;VB_Piece;2102;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:45:00;13:31:00
VERSION_U;Stavroupoli;Day Type 4;2102_2;550198538;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;14:10:00;14:20:00
VERSION_U;Stavroupoli;Day Type 4;2102_2;550198538;VB_Piece;2102;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;14:20:00;21:44:00
VERSION_U;Stavroupoli;Day Type 4;2103_1;294195725;VB_Piece;2103;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:05:00;14:05:00
VERSION_U;Stavroupoli;Day Type 4;2103_2;474695694;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;15:00:00;15:10:00
VERSION_U;Stavroupoli;Day Type 4;2103_2;474695694;VB_Piece;2103;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;15:10:00;22:50:00
VERSION_U;Stavroupoli;Day Type 4;2104_1;715224410;VB_Piece;2104;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:35:00;14:45:00
VERSION_U;Stavroupoli;Day Type 4;2104_2;396421926;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;16:15:00;16:25:00
VERSION_U;Stavroupoli;Day Type 4;2104_2;396421926;VB_Piece;2104;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;16:25:00;24:04:00
VERSION_U;Stavroupoli;Day Type 4;2105_1;702771274;VB_Piece;2105;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;07:05:00;15:05:00
VERSION_U;Stavroupoli;Day Type 4;2105_2;340153184;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;17:10:00;17:20:00
VERSION_U;Stavroupoli;Day Type 4;2105_2;340153184;VB_Piece;2105;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;17:20:00;24:45:00
