VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 4;1201_1;967152458;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;05:20:00;05:47:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;309544666;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;06:00:00;06:29:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;612559015;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;06:30:00;06:57:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;503782147;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;07:13:00;07:44:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;780980397;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;07:46:00;08:15:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;606070551;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;08:30:00;09:03:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;284371149;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;09:05:00;09:38:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;539574035;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;10:00:00;10:37:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;713330674;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;10:39:00;11:14:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;615103574;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;11:25:00;12:02:00
VERSION_U;Stavroupoli;Day Type 4;1201_1;706302291;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;12:04:00;12:35:00
VERSION_U;Stavroupoli;Day Type 4;1201_2;102669912;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;13:00:00;13:36:00
VERSION_U;Stavroupoli;Day Type 4;1201_2;899473822;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;13:38:00;14:11:00
VERSION_U;Stavroupoli;Day Type 4;1201_2;513524538;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;14:20:00;14:56:00
VERSION_U;Stavroupoli;Day Type 4;1201_2;151333463;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;14:58:00;15:31:00
VERSION_U;Stavroupoli;Day Type 4;1201_2;696203111;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;15:40:00;16:16:00
