VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;05:15:00;05:40:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;05:45:00;06:13:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;06:15:00;06:44:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;06:58:00;07:27:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;07:29:00;07:59:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;08:21:00;08:51:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;08:53:00;09:23:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;09:48:00;10:18:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;10:20:00;10:52:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;11:07:00;11:39:00
VERSION_U;Foinika;Day Type 4;1001_1;131472708;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;11:41:00;12:14:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;12:32:00;13:04:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;13:06:00;13:39:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;13:55:00;14:28:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;14:30:00;15:03:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;15:15:00;15:47:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;15:49:00;16:21:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;16:44:00;17:16:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;17:18:00;17:50:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1427;OSETH;Def;N1337;OSETH;Def;18:08:00;18:40:00
VERSION_U;Foinika;Day Type 4;1001_2;590293702;VB_Piece;1001;;;N1337;OSETH;Def;N1427;OSETH;Def;18:42:00;19:14:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;05:00:00;05:28:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;05:30:00;05:56:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;06:11:00;06:39:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;06:41:00;07:10:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;07:32:00;08:02:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;08:04:00;08:34:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;09:00:00;09:30:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;09:32:00;10:03:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;10:23:00;10:54:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;10:56:00;11:28:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;11:41:00;12:13:00
VERSION_U;Foinika;Day Type 4;1002_1;514842036;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;12:15:00;12:48:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;13:11:00;13:44:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;13:46:00;14:19:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;14:25:00;14:57:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;14:58:00;15:30:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;15:35:00;16:07:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;16:09:00;16:41:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;16:56:00;17:28:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;17:30:00;18:02:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;18:33:00;19:05:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;19:07:00;19:40:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1427;OSETH;Def;N1337;OSETH;Def;19:45:00;20:18:00
VERSION_U;Foinika;Day Type 4;1002_2;728013611;VB_Piece;1002;;;N1337;OSETH;Def;N1427;OSETH;Def;20:20:00;20:55:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;05:15:00;05:43:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;05:45:00;06:12:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;06:23:00;06:51:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;06:53:00;07:23:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;07:44:00;08:14:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;08:16:00;08:46:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;09:12:00;09:42:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;09:44:00;10:15:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;10:34:00;11:05:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;11:07:00;11:40:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;11:53:00;12:25:00
VERSION_U;Foinika;Day Type 4;1003_1;432772275;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;12:27:00;13:00:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;13:25:00;13:58:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;14:00:00;14:33:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;14:40:00;15:12:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;15:13:00;15:45:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;15:50:00;16:22:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;16:24:00;16:56:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;17:32:00;18:04:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;18:06:00;18:38:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;18:46:00;19:19:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;19:21:00;19:54:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1427;OSETH;Def;N1337;OSETH;Def;20:00:00;20:33:00
VERSION_U;Foinika;Day Type 4;1003_2;605937593;VB_Piece;1003;;;N1337;OSETH;Def;N1427;OSETH;Def;20:35:00;21:10:00
VERSION_U;Foinika;Day Type 4;1004_1;576642559;VB_Piece;1004;;;N1427;OSETH;Def;N1337;OSETH;Def;05:30:00;05:58:00
VERSION_U;Foinika;Day Type 4;1004_1;576642559;VB_Piece;1004;;;N1337;OSETH;Def;N1427;OSETH;Def;06:00:00;06:28:00
