VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;H_Depot;Day Type 1;8701_1;996615157;VB_Piece;8701;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 04:59:00;1900-01-01 12:45:00
VERSION_U;H_Depot;Day Type 1;8701_2;738150475;VB_Piece;8701;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 15:30:00;2025-06-20 23:51:00
VERSION_U;H_Depot;Day Type 1;8702_1;435832140;VB_Piece;8702;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:19:00;1900-01-01 15:40:00
VERSION_U;H_Depot;Day Type 1;8702_2;188321745;VB_Piece;8702;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 16:30:00;2025-06-20 23:36:00
VERSION_U;H_Depot;Day Type 1;8703_1;126073943;VB_Piece;8703;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:34:00;1900-01-01 13:20:00
VERSION_U;H_Depot;Day Type 1;8703_2;205471648;VB_Piece;8703;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 14:00:00;2025-06-20 22:41:00
VERSION_U;H_Depot;Day Type 1;8704_1;714563098;VB_Piece;8704;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:09:00;1900-01-01 13:35:00
VERSION_U;H_Depot;Day Type 1;8704_2;854920144;VB_Piece;8704;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 13:40:00;2025-06-20 22:11:00
VERSION_U;H_Depot;Day Type 1;8801_1;130932877;VB_Piece;8801;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:26:00;1900-01-01 13:35:00
VERSION_U;H_Depot;Day Type 1;8801_2;737261506;VB_Piece;8801;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 15:35:00;
VERSION_U;H_Depot;Day Type 1;8802_1;938489440;VB_Piece;8802;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:09:00;1900-01-01 13:35:00
VERSION_U;H_Depot;Day Type 1;8802_2;487586950;VB_Piece;8802;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 14:10:00;2025-06-20 23:01:00
VERSION_U;H_Depot;Day Type 1;8803_1;884462010;VB_Piece;8803;;;H_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:44:00;1900-01-01 16:05:00
VERSION_U;H_Depot;Day Type 1;8803_2;914027870;VB_Piece;8803;;;N15077;OSETH;Def;H_Depot;OSETH;Def;1900-01-01 16:15:00;2025-06-20 23:36:00
