VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;S_Depot;Day Type 3;5801_1;989998348;VB_Piece;5801;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 05:09:00;1900-01-01 12:46:00
VERSION_U;S_Depot;Day Type 3;5801_2;167679270;VB_Piece;5801;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:25:00;2025-06-20 22:49:00
VERSION_U;S_Depot;Day Type 3;5802_1;684307676;VB_Piece;5802;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 05:24:00;1900-01-01 13:25:00
VERSION_U;S_Depot;Day Type 3;5802_2;603531255;VB_Piece;5802;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:50:00;2025-06-20 23:34:00
VERSION_U;S_Depot;Day Type 3;5803_1;184403568;VB_Piece;5803;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 05:44:00;1900-01-01 14:00:00
VERSION_U;S_Depot;Day Type 3;5803_2;621078482;VB_Piece;5803;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 16:15:00;2025-06-20 23:54:00
VERSION_U;S_Depot;Day Type 3;5804_1;523838674;VB_Piece;5804;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 05:14:00;1900-01-01 12:08:00
VERSION_U;S_Depot;Day Type 3;5804_2;608800948;VB_Piece;5804;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 12:40:00;2025-06-20 20:07:00
VERSION_U;S_Depot;Day Type 3;5805_1;883817307;VB_Piece;5805;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 05:34:00;1900-01-01 12:26:00
VERSION_U;S_Depot;Day Type 3;5805_2;590111923;VB_Piece;5805;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:05:00;2025-06-20 20:50:00
VERSION_U;S_Depot;Day Type 3;5806_1;952278977;VB_Piece;5806;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 07:29:00;1900-01-01 15:13:00
VERSION_U;S_Depot;Day Type 3;5806_2;101449445;VB_Piece;5806;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 16:50:00;
VERSION_U;S_Depot;Day Type 3;5807_1;409632155;VB_Piece;5807;;;S_Depot;OSETH;Def;N16074;OSETH;Def;2025-06-20 08:01:00;1900-01-01 15:44:00
VERSION_U;S_Depot;Day Type 3;5807_2;105124166;VB_Piece;5807;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 17:35:00;
VERSION_U;S_Depot;Day Type 3;5901_1;768962138;VB_Piece;5901;;;S_Depot;OSETH;Def;N10074;OSETH;Def;2025-06-20 06:59:00;1900-01-01 14:45:00
VERSION_U;S_Depot;Day Type 3;5901_2;595548428;VB_Piece;5901;;;N10074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:00:00;2025-06-20 22:36:00
VERSION_U;S_Depot;Day Type 3;6001_1;918265283;VB_Piece;6001;;;S_Depot;OSETH;Def;N14032;OSETH;Def;2025-06-20 07:19:00;1900-01-01 15:45:00
VERSION_U;S_Depot;Day Type 3;6001_2;335228715;VB_Piece;6001;;;N14032;OSETH;Def;N14055;OSETH;Def;1900-01-01 16:00:00;1900-01-01 23:25:00
VERSION_U;S_Depot;Day Type 3;6002_2;412258773;VB_Piece;6002;;;S_Depot;OSETH;Def;S_Depot;OSETH;Def;2025-06-20 20:04:00;2025-06-20 20:56:00
VERSION_U;S_Depot;Day Type 3;6101_1;932860595;VB_Piece;6101;;;S_Depot;OSETH;Def;N16096;OSETH;Def;2025-06-20 04:59:00;
VERSION_U;S_Depot;Day Type 3;6101_2;849454288;VB_Piece;6101;;;N16074;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:30:00;2025-06-20 23:39:00
VERSION_U;S_Depot;Day Type 3;6102_1;867586640;VB_Piece;6102;;;S_Depot;OSETH;Def;S_Depot;OSETH;Def;2025-06-20 05:29:00;2025-06-20 09:24:00
VERSION_U;S_Depot;Day Type 3;6103_1;726744271;VB_Piece;6103;;;S_Depot;OSETH;Def;S_Depot;OSETH;Def;2025-06-20 05:44:00;2025-06-20 05:51:00
VERSION_U;S_Depot;Day Type 3;6401_1;642953930;VB_Piece;6401;;;S_Depot;OSETH;Def;N1335;OSETH;Def;2025-06-20 05:09:00;1900-01-01 13:31:00
VERSION_U;S_Depot;Day Type 3;6401_2;789977876;VB_Piece;6401;;;N1335;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:00:00;2025-06-20 23:11:00
VERSION_U;S_Depot;Day Type 3;6402_1;452660240;VB_Piece;6402;;;S_Depot;OSETH;Def;N1335;OSETH;Def;2025-06-20 05:44:00;1900-01-01 13:01:00
VERSION_U;S_Depot;Day Type 3;6402_2;352979417;VB_Piece;6402;;;N1335;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:35:00;2025-06-20 20:46:00
VERSION_U;S_Depot;Day Type 3;6403_1;311389637;VB_Piece;6403;;;S_Depot;OSETH;Def;N1335;OSETH;Def;2025-06-20 08:04:00;1900-01-01 15:45:00
VERSION_U;S_Depot;Day Type 3;6403_2;810216980;VB_Piece;6403;;;N1335;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 16:20:00;
VERSION_U;S_Depot;Day Type 3;6601_1;735871399;VB_Piece;6601;;;S_Depot;OSETH;Def;N1427;OSETH;Def;2025-06-20 05:44:00;1900-01-01 13:43:00
VERSION_U;S_Depot;Day Type 3;6601_2;652469194;VB_Piece;6601;;;N1427;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 14:25:00;2025-06-20 22:25:00
VERSION_U;S_Depot;Day Type 3;6602_1;627646352;VB_Piece;6602;;;S_Depot;OSETH;Def;N1427;OSETH;Def;2025-06-20 06:14:00;1900-01-01 14:14:00
VERSION_U;S_Depot;Day Type 3;6602_2;160950440;VB_Piece;6602;;;N1427;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:30:00;2025-06-20 23:40:00
VERSION_U;S_Depot;Day Type 3;6603_1;655080851;VB_Piece;6603;;;S_Depot;OSETH;Def;N1427;OSETH;Def;2025-06-20 06:44:00;1900-01-01 14:39:00
VERSION_U;S_Depot;Day Type 3;6603_2;222411492;VB_Piece;6603;;;N1427;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 14:50:00;2025-06-20 23:10:00
VERSION_U;S_Depot;Day Type 3;6701_1;317061093;VB_Piece;6701;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:19:00;1900-01-01 13:20:00
VERSION_U;S_Depot;Day Type 3;6701_2;224088456;VB_Piece;6701;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 14:25:00;2025-06-20 21:51:00
VERSION_U;S_Depot;Day Type 3;6702_1;181841079;VB_Piece;6702;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 06:34:00;1900-01-01 15:35:00
VERSION_U;S_Depot;Day Type 3;6702_2;337025760;VB_Piece;6702;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 15:40:00;2025-06-20 23:59:00
VERSION_U;S_Depot;Day Type 3;6703_1;726915779;VB_Piece;6703;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 06:49:00;1900-01-01 14:10:00
VERSION_U;S_Depot;Day Type 3;6703_2;948821061;VB_Piece;6703;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 14:15:00;2025-06-20 23:21:00
VERSION_U;S_Depot;Day Type 3;6901_1;412010964;VB_Piece;6901;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 04:59:00;1900-01-01 12:35:00
VERSION_U;S_Depot;Day Type 3;6901_2;880387953;VB_Piece;6901;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:15:00;2025-06-20 20:51:00
VERSION_U;S_Depot;Day Type 3;6902_1;684107362;VB_Piece;6902;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:29:00;1900-01-01 13:10:00
VERSION_U;S_Depot;Day Type 3;6902_2;687815718;VB_Piece;6902;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:30:00;2025-06-20 21:21:00
VERSION_U;S_Depot;Day Type 3;6903_1;683444855;VB_Piece;6903;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:44:00;1900-01-01 13:25:00
VERSION_U;S_Depot;Day Type 3;6903_2;212151581;VB_Piece;6903;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 13:45:00;2025-06-20 21:41:00
VERSION_U;S_Depot;Day Type 3;6904_1;544541286;VB_Piece;6904;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 05:59:00;1900-01-01 13:55:00
VERSION_U;S_Depot;Day Type 3;6904_2;955459747;VB_Piece;6904;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 14:20:00;2025-06-20 22:16:00
VERSION_U;S_Depot;Day Type 3;6905_1;542790404;VB_Piece;6905;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 06:14:00;1900-01-01 14:10:00
VERSION_U;S_Depot;Day Type 3;6905_2;804033932;VB_Piece;6905;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 16:35:00;
VERSION_U;S_Depot;Day Type 3;6906_1;239440361;VB_Piece;6906;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 06:44:00;
VERSION_U;S_Depot;Day Type 3;6906_2;637244485;VB_Piece;6906;;;N15077;OSETH;Def;S_Depot;OSETH;Def;1900-01-01 17:35:00;2025-06-20 23:41:00
VERSION_U;S_Depot;Day Type 3;6907_1;872031667;VB_Piece;6907;;;S_Depot;OSETH;Def;N15077;OSETH;Def;2025-06-20 07:44:00;1900-01-01 15:20:00
