VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;T_Depot;Day Type 1;0101_1;447211489;VB_Piece;0101;;;T_Depot;OSETH;Def;N11048;OSETH;Def;2025-06-20 05:19:00;1900-01-01 13:30:00
VERSION_U;T_Depot;Day Type 1;0101_2;236480929;VB_Piece;0101;;;N11048;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 13:50:00;2025-06-20 21:26:00
VERSION_U;T_Depot;Day Type 1;0102_1;892050820;VB_Piece;0102;;;T_Depot;OSETH;Def;N11048;OSETH;Def;2025-06-20 05:59:00;1900-01-01 13:55:00
VERSION_U;T_Depot;Day Type 1;0102_2;136021940;VB_Piece;0102;;;N11048;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 14:30:00;2025-06-20 23:06:00
VERSION_U;T_Depot;Day Type 1;0103_1;679321512;VB_Piece;0103;;;T_Depot;OSETH;Def;N11048;OSETH;Def;2025-06-20 05:39:00;1900-01-01 14:20:00
VERSION_U;T_Depot;Day Type 1;0103_2;458506459;VB_Piece;0103;;;N11048;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 15:05:00;2025-06-20 23:01:00
VERSION_U;T_Depot;Day Type 1;0104_1;233721852;VB_Piece;0104;;;T_Depot;OSETH;Def;N11048;OSETH;Def;2025-06-20 06:09:00;1900-01-01 14:50:00
VERSION_U;T_Depot;Day Type 1;0104_2;349891529;VB_Piece;0104;;;N11048;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 15:35:00;2025-06-20 23:51:00
VERSION_U;T_Depot;Day Type 1;36Χ01_1;910500468;VB_Piece;36Χ01;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 06:39:00;2025-06-20 15:06:00
VERSION_U;T_Depot;Day Type 1;36Χ02_1;954941106;VB_Piece;36Χ02;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 07:29:00;2025-06-20 17:06:00
VERSION_U;T_Depot;Day Type 1;36Χ03_1;862467244;VB_Piece;36Χ03;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 07:29:00;2025-06-20 15:56:00
VERSION_U;T_Depot;Day Type 1;36Χ04_1;196800900;VB_Piece;36Χ04;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 06:39:00;2025-06-20 16:11:00
VERSION_U;T_Depot;Day Type 1;4001_1;804632801;VB_Piece;4001;;;T_Depot;OSETH;Def;N1446;OSETH;Def;2025-06-20 05:34:00;1900-01-01 13:05:00
VERSION_U;T_Depot;Day Type 1;4001_2;520259308;VB_Piece;4001;;;N1446;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 13:20:00;2025-06-20 21:07:00
VERSION_U;T_Depot;Day Type 1;4002_1;628239239;VB_Piece;4002;;;T_Depot;OSETH;Def;N1446;OSETH;Def;2025-06-20 05:59:00;1900-01-01 13:40:00
VERSION_U;T_Depot;Day Type 1;4002_2;160693716;VB_Piece;4002;;;N1446;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 14:00:00;2025-06-20 21:47:00
VERSION_U;T_Depot;Day Type 1;4003_1;556228563;VB_Piece;4003;;;T_Depot;OSETH;Def;N1446;OSETH;Def;2025-06-20 06:14:00;1900-01-01 13:55:00
VERSION_U;T_Depot;Day Type 1;4003_2;653274447;VB_Piece;4003;;;N1446;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 14:45:00;2025-06-20 22:25:00
VERSION_U;T_Depot;Day Type 1;4004_1;573233111;VB_Piece;4004;;;T_Depot;OSETH;Def;N1446;OSETH;Def;2025-06-20 06:44:00;1900-01-01 14:36:00
VERSION_U;T_Depot;Day Type 1;4004_2;103665312;VB_Piece;4004;;;N1446;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 16:25:00;2025-06-20 23:45:00
VERSION_U;T_Depot;Day Type 1;4201_1;190850331;VB_Piece;4201;;;T_Depot;OSETH;Def;N4068;OSETH;Def;2025-06-20 05:29:00;1900-01-01 13:25:00
VERSION_U;T_Depot;Day Type 1;4201_2;704983175;VB_Piece;4201;;;N4068;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 13:30:00;2025-06-20 20:21:00
VERSION_U;T_Depot;Day Type 1;4301_1;512908987;VB_Piece;4301;;;T_Depot;OSETH;Def;N4018;OSETH;Def;2025-06-20 05:59:00;1900-01-01 13:50:00
VERSION_U;T_Depot;Day Type 1;4301_2;653923505;VB_Piece;4301;;;N4018;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 14:00:00;2025-06-20 21:51:00
VERSION_U;T_Depot;Day Type 1;43Y01_1;867266757;VB_Piece;43Y01;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 06:39:00;2025-06-20 15:01:00
VERSION_U;T_Depot;Day Type 1;43Y02_1;856968379;VB_Piece;43Y02;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 07:29:00;2025-06-20 17:01:00
VERSION_U;T_Depot;Day Type 1;43Y03_1;275652894;VB_Piece;43Y03;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 07:29:00;2025-06-20 15:46:00
VERSION_U;T_Depot;Day Type 1;43Y04_1;572872963;VB_Piece;43Y04;;;T_Depot;OSETH;Def;T_Depot;OSETH;Def;2025-06-20 06:49:00;2025-06-20 16:11:00
VERSION_U;T_Depot;Day Type 1;4501_1;992212952;VB_Piece;4501;;;T_Depot;OSETH;Def;N13011;OSETH;Def;2025-06-20 04:39:00;1900-01-01 13:00:00
VERSION_U;T_Depot;Day Type 1;4501_2;969948754;VB_Piece;4501;;;N13011;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 15:00:00;2025-06-20 23:26:00
VERSION_U;T_Depot;Day Type 1;4502_1;314928971;VB_Piece;4502;;;T_Depot;OSETH;Def;N13011;OSETH;Def;2025-06-20 04:59:00;1900-01-01 13:15:00
VERSION_U;T_Depot;Day Type 1;4502_2;623375371;VB_Piece;4502;;;N13011;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 13:20:00;2025-06-20 21:51:00
VERSION_U;T_Depot;Day Type 1;4503_1;864765943;VB_Piece;4503;;;T_Depot;OSETH;Def;N13011;OSETH;Def;2025-06-20 05:19:00;1900-01-01 13:35:00
VERSION_U;T_Depot;Day Type 1;4503_2;328016991;VB_Piece;4503;;;N13011;OSETH;Def;T_Depot;OSETH;Def;1900-01-01 13:40:00;2025-06-20 22:06:00
