PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;517327442;517327442;N1487;OSETH;Def;N15077;OSETH;Def;05:45:00;05:59:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;261169531;261169531;N15077;OSETH;Def;N1487;OSETH;Def;05:59:00;06:13:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;417467745;417467745;N1487;OSETH;Def;N15077;OSETH;Def;06:18:00;06:32:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;940008798;940008798;N15077;OSETH;Def;N1487;OSETH;Def;06:32:00;06:46:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;646827028;646827028;N1487;OSETH;Def;N15077;OSETH;Def;06:50:00;07:04:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;458970748;458970748;N15077;OSETH;Def;N1487;OSETH;Def;07:04:00;07:18:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;250148976;250148976;N1487;OSETH;Def;N15077;OSETH;Def;07:23:00;07:37:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;251668674;251668674;N15077;OSETH;Def;N1487;OSETH;Def;07:37:00;07:51:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;440134946;440134946;N1487;OSETH;Def;N15077;OSETH;Def;07:56:00;08:10:00;;79Χ01_1
Day Type 1;S_Depot;79Χ01;799901;Revenue;79X;KTEL_S;Def;661555226;661555226;N15077;OSETH;Def;N1487;OSETH;Def;08:10:00;08:24:00;;79Χ01_1
