PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;346524155;346524155;N4018;OSETH;Def;N1344;OSETH;Def;05:00:00;05:30:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;138573319;138573319;N1344;OSETH;Def;N4018;OSETH;Def;05:30:00;05:58:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;710578158;710578158;N4018;OSETH;Def;N1344;OSETH;Def;06:05:00;06:38:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;868417409;868417409;N1344;OSETH;Def;N4018;OSETH;Def;06:38:00;07:12:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;756247233;756247233;N4018;OSETH;Def;N1344;OSETH;Def;07:20:00;07:55:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;123657113;123657113;N1344;OSETH;Def;N4018;OSETH;Def;07:55:00;08:31:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;436600007;436600007;N4018;OSETH;Def;N1344;OSETH;Def;08:52:00;09:32:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;726578108;726578108;N1344;OSETH;Def;N4018;OSETH;Def;09:32:00;10:11:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;654219208;654219208;N4018;OSETH;Def;N1344;OSETH;Def;10:37:00;11:21:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;790581352;790581352;N1344;OSETH;Def;N4018;OSETH;Def;11:21:00;12:01:00;;2101_1
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;209739028;209739028;N4018;OSETH;Def;N1344;OSETH;Def;12:22:00;13:05:00;;2101_2
Day Type 2;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;280966463;280966463;N1344;OSETH;Def;N4018;OSETH;Def;13:05:00;13:46:00;;2101_2
