VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;H_Depot;Day Type 2;8701_1;902723928;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;05:00:00;05:35:00
VERSION_U;H_Depot;Day Type 2;8701_1;931793785;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;05:35:00;06:05:00
VERSION_U;H_Depot;Day Type 2;8701_1;860563806;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;06:10:00;06:40:00
VERSION_U;H_Depot;Day Type 2;8701_1;441991000;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;06:40:00;07:20:00
VERSION_U;H_Depot;Day Type 2;8701_1;938420642;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;07:25:00;08:05:00
VERSION_U;H_Depot;Day Type 2;8701_1;126772199;VB_Piece;8701;;;N38155;OSETH;Def;N38145;OSETH;Def;08:10:00;09:35:00
VERSION_U;H_Depot;Day Type 2;8701_1;527529395;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;09:45:00;10:15:00
VERSION_U;H_Depot;Day Type 2;8701_1;935168975;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;10:15:00;10:55:00
VERSION_U;H_Depot;Day Type 2;8701_1;324218274;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;11:20:00;12:00:00
VERSION_U;H_Depot;Day Type 2;8701_1;280657020;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;12:00:00;12:30:00
VERSION_U;H_Depot;Day Type 2;8701_1;970891740;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;12:35:00;13:05:00
VERSION_U;H_Depot;Day Type 2;8701_1;986707949;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;13:05:00;13:45:00
VERSION_U;H_Depot;Day Type 2;8701_2;816912905;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;15:30:00;16:30:00
VERSION_U;H_Depot;Day Type 2;8701_2;836313012;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;16:30:00;17:00:00
VERSION_U;H_Depot;Day Type 2;8701_2;916388582;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;17:10:00;17:50:00
VERSION_U;H_Depot;Day Type 2;8701_2;608717466;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;17:50:00;18:20:00
VERSION_U;H_Depot;Day Type 2;8701_2;596921725;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;18:40:00;19:10:00
VERSION_U;H_Depot;Day Type 2;8701_2;263438343;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;19:10:00;20:10:00
VERSION_U;H_Depot;Day Type 2;8701_2;678075843;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;20:20:00;21:05:00
VERSION_U;H_Depot;Day Type 2;8701_2;589438792;VB_Piece;8701;;;N38155;OSETH;Def;N38145;OSETH;Def;21:05:00;22:30:00
VERSION_U;H_Depot;Day Type 2;8701_2;665052918;VB_Piece;8701;;;N15077;OSETH;Def;N38155;OSETH;Def;22:45:00;23:10:00
VERSION_U;H_Depot;Day Type 2;8701_2;822090623;VB_Piece;8701;;;N38155;OSETH;Def;N15077;OSETH;Def;23:10:00;23:50:00
VERSION_U;H_Depot;Day Type 2;8702_1;106120921;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;05:30:00;06:05:00
VERSION_U;H_Depot;Day Type 2;8702_1;967315332;VB_Piece;8702;;;N38155;OSETH;Def;N15077;OSETH;Def;06:05:00;06:35:00
VERSION_U;H_Depot;Day Type 2;8702_1;448341432;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;06:40:00;07:20:00
VERSION_U;H_Depot;Day Type 2;8702_1;870666691;VB_Piece;8702;;;N38155;OSETH;Def;N15077;OSETH;Def;07:20:00;07:55:00
VERSION_U;H_Depot;Day Type 2;8702_1;140212239;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;08:00:00;08:30:00
VERSION_U;H_Depot;Day Type 2;8702_1;530272322;VB_Piece;8702;;;N38155;OSETH;Def;N38155;OSETH;Def;08:30:00;09:55:00
VERSION_U;H_Depot;Day Type 2;8702_1;962399382;VB_Piece;8702;;;N38155;OSETH;Def;N15077;OSETH;Def;09:55:00;10:25:00
VERSION_U;H_Depot;Day Type 2;8702_1;761006404;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;10:55:00;11:25:00
VERSION_U;H_Depot;Day Type 2;8702_1;619768120;VB_Piece;8702;;;N38155;OSETH;Def;N15077;OSETH;Def;11:25:00;12:00:00
VERSION_U;H_Depot;Day Type 2;8702_1;351690960;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;12:05:00;12:45:00
VERSION_U;H_Depot;Day Type 2;8702_1;977616881;VB_Piece;8702;;;N38155;OSETH;Def;N15077;OSETH;Def;12:45:00;13:15:00
VERSION_U;H_Depot;Day Type 2;8702_2;253594389;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;14:00:00;14:30:00
VERSION_U;H_Depot;Day Type 2;8702_2;940441008;VB_Piece;8702;;;N38145;OSETH;Def;N15077;OSETH;Def;14:30:00;15:45:00
VERSION_U;H_Depot;Day Type 2;8702_2;517220045;VB_Piece;8702;;;N15077;OSETH;Def;N38155;OSETH;Def;15:50:00;16:25:00
