VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 3;1201_1;993488026;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;05:00:00;05:35:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;419745551;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;05:35:00;06:05:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;580683209;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;06:12:00;06:47:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;518155565;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;06:49:00;07:21:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;779248447;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;07:30:00;08:06:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;791651157;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;08:08:00;08:41:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;889177331;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;09:13:00;09:51:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;552909734;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;09:53:00;10:29:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;678608172;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;10:37:00;11:20:00
VERSION_U;Stavroupoli;Day Type 3;1201_1;254134827;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;11:22:00;12:08:00
VERSION_U;Stavroupoli;Day Type 3;1201_2;933541258;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;12:15:00;13:02:00
VERSION_U;Stavroupoli;Day Type 3;1201_2;770920799;VB_Piece;1201;;;N15025;OSETH;Def;N13011;OSETH;Def;13:04:00;13:51:00
VERSION_U;Stavroupoli;Day Type 3;1201_2;903273987;VB_Piece;1201;;;N13011;OSETH;Def;N15025;OSETH;Def;14:00:00;14:47:00
