VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;S_Depot;Day Type 1;5801_1;946907206;VB_Piece;5801;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:09:00;11:45:00
VERSION_U;S_Depot;Day Type 1;5801_2;655678324;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;12:10:00;12:20:00
VERSION_U;S_Depot;Day Type 1;5801_2;655678324;VB_Piece;5801;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;12:20:00;20:21:00
VERSION_U;S_Depot;Day Type 1;5802_1;760074099;VB_Piece;5802;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:24:00;11:57:00
VERSION_U;S_Depot;Day Type 1;5802_2;354834737;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;12:50:00;13:00:00
VERSION_U;S_Depot;Day Type 1;5802_2;354834737;VB_Piece;5802;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;13:00:00;20:51:00
VERSION_U;S_Depot;Day Type 1;5803_1;298961979;VB_Piece;5803;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:39:00;12:24:00
VERSION_U;S_Depot;Day Type 1;5803_2;872968958;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;13:15:00;13:25:00
VERSION_U;S_Depot;Day Type 1;5803_2;872968958;VB_Piece;5803;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;13:25:00;21:21:00
VERSION_U;S_Depot;Day Type 1;5804_1;290180103;VB_Piece;5804;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:14:00;12:41:00
VERSION_U;S_Depot;Day Type 1;5804_2;931300105;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;13:55:00;14:05:00
VERSION_U;S_Depot;Day Type 1;5804_2;931300105;VB_Piece;5804;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;14:05:00;21:56:00
VERSION_U;S_Depot;Day Type 1;5805_1;468503146;VB_Piece;5805;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:29:00;13:03:00
VERSION_U;S_Depot;Day Type 1;5805_2;519765235;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;14:35:00;14:45:00
VERSION_U;S_Depot;Day Type 1;5805_2;519765235;VB_Piece;5805;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;14:45:00;22:35:00
VERSION_U;S_Depot;Day Type 1;5806_1;536295688;VB_Piece;5806;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;05:44:00;13:24:00
VERSION_U;S_Depot;Day Type 1;5806_2;928028147;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;15:30:00;15:40:00
VERSION_U;S_Depot;Day Type 1;5806_2;928028147;VB_Piece;5806;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;15:40:00;23:30:00
VERSION_U;S_Depot;Day Type 1;5807_1;142950726;VB_Piece;5807;;;S_Depot;KTEL_S;Def;N16074;OSETH;Def;07:29:00;13:54:00
VERSION_U;S_Depot;Day Type 1;5807_2;122951002;Pre_Duty;;;;N16074;OSETH;Def;N16074;KTEL_S;Def;16:50:00;17:00:00
VERSION_U;S_Depot;Day Type 1;5807_2;122951002;VB_Piece;5807;;;N16074;OSETH;Def;S_Depot;KTEL_S;Def;17:00:00;24:30:00
