VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 2;1201_1;722191904;VB_Piece;1201;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;04:50:00;12:03:00
VERSION_U;Stavroupoli;Day Type 2;1201_2;268591269;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;12:08:00;12:18:00
VERSION_U;Stavroupoli;Day Type 2;1201_2;268591269;VB_Piece;1201;;;N13011;OSETH;Def;Stavroupoli;OASTH;Def;12:18:00;19:53:00
VERSION_U;Stavroupoli;Day Type 2;1202_1;806717726;VB_Piece;1202;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;05:10:00;12:13:00
VERSION_U;Stavroupoli;Day Type 2;1202_2;536259883;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;12:32:00;12:42:00
VERSION_U;Stavroupoli;Day Type 2;1202_2;536259883;VB_Piece;1202;;;N13011;OSETH;Def;Stavroupoli;OASTH;Def;12:42:00;20:29:00
VERSION_U;Stavroupoli;Day Type 2;1203_1;103449286;VB_Piece;1203;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;04:50:00;12:39:00
VERSION_U;Stavroupoli;Day Type 2;1203_2;511373033;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;12:44:00;12:54:00
VERSION_U;Stavroupoli;Day Type 2;1203_2;511373033;VB_Piece;1203;;;N13011;OSETH;Def;Stavroupoli;OASTH;Def;12:54:00;20:55:00
VERSION_U;Stavroupoli;Day Type 2;1204_1;765826850;VB_Piece;1204;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;05:05:00;13:02:00
VERSION_U;Stavroupoli;Day Type 2;1204_2;513492709;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;13:08:00;13:18:00
VERSION_U;Stavroupoli;Day Type 2;1204_2;513492709;VB_Piece;1204;;;N13011;OSETH;Def;Stavroupoli;OASTH;Def;13:18:00;21:06:00
VERSION_U;Stavroupoli;Day Type 2;1205_1;466056169;VB_Piece;1205;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;05:20:00;13:12:00
VERSION_U;Stavroupoli;Day Type 2;1205_2;493655052;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;13:20:00;13:30:00
VERSION_U;Stavroupoli;Day Type 2;1205_2;493655052;VB_Piece;1205;;;N13011;OSETH;Def;Stavroupoli;OASTH;Def;13:30:00;21:30:00
VERSION_U;Stavroupoli;Day Type 2;1206_1;741302697;VB_Piece;1206;;;Stavroupoli;OASTH;Def;N13011;OSETH;Def;06:02:00;14:14:00
VERSION_U;Stavroupoli;Day Type 2;1206_2;909621560;Pre_Duty;;;;N13011;OSETH;Def;N13011;OASTH;Def;14:30:00;14:40:00
