PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;456335903;456335903;N45128;OSETH;Def;N1141;OSETH;Def;05:15:00;05:48:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;917410695;917410695;N1141;OSETH;Def;N45128;OSETH;Def;05:48:00;06:25:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;357753946;357753946;N45128;OSETH;Def;N1141;OSETH;Def;06:40:00;07:14:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;345035251;345035251;N1141;OSETH;Def;N45128;OSETH;Def;07:14:00;07:51:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;156224183;156224183;N45128;OSETH;Def;N1141;OSETH;Def;08:20:00;08:58:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;324230199;324230199;N1141;OSETH;Def;N45128;OSETH;Def;08:58:00;09:40:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;433317671;433317671;N45128;OSETH;Def;N1141;OSETH;Def;10:00:00;10:43:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;445218262;445218262;N1141;OSETH;Def;N45128;OSETH;Def;10:43:00;11:25:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;746659563;746659563;N45128;OSETH;Def;N1141;OSETH;Def;11:30:00;12:12:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;716879866;716879866;N1141;OSETH;Def;N45128;OSETH;Def;12:12:00;12:52:00;;0701_1
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;733529706;733529706;N45128;OSETH;Def;N1141;OSETH;Def;13:00:00;13:42:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;670029090;670029090;N1141;OSETH;Def;N45128;OSETH;Def;13:42:00;14:25:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;231771493;231771493;N45128;OSETH;Def;N1141;OSETH;Def;14:35:00;15:16:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;626352906;626352906;N1141;OSETH;Def;N45128;OSETH;Def;15:16:00;15:56:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;575800122;575800122;N45128;OSETH;Def;N1141;OSETH;Def;16:25:00;17:05:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;869335468;869335468;N1141;OSETH;Def;N45128;OSETH;Def;17:05:00;17:45:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;138408230;138408230;N45128;OSETH;Def;N1141;OSETH;Def;18:10:00;18:50:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;290783777;290783777;N1141;OSETH;Def;N45128;OSETH;Def;18:50:00;19:30:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;223878049;223878049;N45128;OSETH;Def;N1141;OSETH;Def;19:40:00;20:20:00;;0701_2
Day Type 3;Foinika;0701;0701;Revenue;07;OASTH;Def;919264114;919264114;N1141;OSETH;Def;N45128;OSETH;Def;20:20:00;20:58:00;;0701_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;904507082;904507082;N45128;OSETH;Def;N1141;OSETH;Def;05:45:00;06:18:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;785554254;785554254;N1141;OSETH;Def;N45128;OSETH;Def;06:18:00;06:55:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;555082860;555082860;N45128;OSETH;Def;N1141;OSETH;Def;07:20:00;07:56:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;889763038;889763038;N1141;OSETH;Def;N45128;OSETH;Def;07:56:00;08:32:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;826483497;826483497;N45128;OSETH;Def;N1141;OSETH;Def;09:00:00;09:43:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;503782685;503782685;N1141;OSETH;Def;N45128;OSETH;Def;09:43:00;10:25:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;821683327;821683327;N45128;OSETH;Def;N1141;OSETH;Def;10:30:00;11:14:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;444218638;444218638;N1141;OSETH;Def;N45128;OSETH;Def;11:14:00;11:57:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;182147162;182147162;N45128;OSETH;Def;N1141;OSETH;Def;12:05:00;12:49:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;271689395;271689395;N1141;OSETH;Def;N45128;OSETH;Def;12:49:00;13:32:00;;0702_1
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;887677568;887677568;N45128;OSETH;Def;N1141;OSETH;Def;13:45:00;14:27:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;545178019;545178019;N1141;OSETH;Def;N45128;OSETH;Def;14:27:00;15:11:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;955751382;955751382;N45128;OSETH;Def;N1141;OSETH;Def;15:30:00;16:10:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;105041381;105041381;N1141;OSETH;Def;N45128;OSETH;Def;16:10:00;16:51:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;310531871;310531871;N45128;OSETH;Def;N1141;OSETH;Def;17:30:00;18:10:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;808611496;808611496;N1141;OSETH;Def;N45128;OSETH;Def;18:10:00;18:50:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;564266461;564266461;N45128;OSETH;Def;N1141;OSETH;Def;19:05:00;19:45:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;333056666;333056666;N1141;OSETH;Def;N45128;OSETH;Def;19:45:00;20:26:00;;0702_2
Day Type 3;Foinika;0702;0702;Revenue;07;OASTH;Def;144460826;144460826;N45128;OSETH;Def;N1141;OSETH;Def;20:45:00;21:25:00;;0702_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;667368455;667368455;N45128;OSETH;Def;N1141;OSETH;Def;06:15:00;06:49:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;554228856;554228856;N1141;OSETH;Def;N45128;OSETH;Def;06:49:00;07:26:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;640230638;640230638;N45128;OSETH;Def;N1141;OSETH;Def;07:40:00;08:16:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;595870038;595870038;N1141;OSETH;Def;N45128;OSETH;Def;08:16:00;08:56:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;266329411;266329411;N45128;OSETH;Def;N1141;OSETH;Def;09:20:00;10:03:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;702409777;702409777;N1141;OSETH;Def;N45128;OSETH;Def;10:03:00;10:45:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;839242370;839242370;N45128;OSETH;Def;N1141;OSETH;Def;10:50:00;11:33:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;124246171;124246171;N1141;OSETH;Def;N45128;OSETH;Def;11:33:00;12:15:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;579249106;579249106;N45128;OSETH;Def;N1141;OSETH;Def;12:20:00;13:04:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;688554919;688554919;N1141;OSETH;Def;N45128;OSETH;Def;13:04:00;13:47:00;;0703_1
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;244878194;244878194;N45128;OSETH;Def;N1141;OSETH;Def;17:10:00;17:50:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;351144055;351144055;N1141;OSETH;Def;N45128;OSETH;Def;17:50:00;18:30:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;233551198;233551198;N45128;OSETH;Def;N1141;OSETH;Def;18:50:00;19:30:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;244008480;244008480;N1141;OSETH;Def;N45128;OSETH;Def;19:30:00;20:11:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;339482081;339482081;N45128;OSETH;Def;N1141;OSETH;Def;20:25:00;21:05:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;409772339;409772339;N1141;OSETH;Def;N45128;OSETH;Def;21:05:00;21:45:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;201272292;201272292;N45128;OSETH;Def;N1141;OSETH;Def;22:05:00;22:45:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;558321076;558321076;N1141;OSETH;Def;N45128;OSETH;Def;22:45:00;23:23:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;230773717;230773717;N45128;OSETH;Def;N1141;OSETH;Def;23:30:00;24:06:00;;0703_2
Day Type 3;Foinika;0703;0703;Revenue;07;OASTH;Def;102108663;102108663;N1141;OSETH;Def;N45128;OSETH;Def;24:06:00;24:44:00;;0703_2
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;120661091;120661091;N45128;OSETH;Def;N1141;OSETH;Def;07:00:00;07:36:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;165036024;165036024;N1141;OSETH;Def;N45128;OSETH;Def;07:36:00;08:12:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;345079782;345079782;N45128;OSETH;Def;N1141;OSETH;Def;08:40:00;09:17:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;648037799;648037799;N1141;OSETH;Def;N45128;OSETH;Def;09:17:00;09:55:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;793565634;793565634;N45128;OSETH;Def;N1141;OSETH;Def;10:15:00;10:59:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;529474085;529474085;N1141;OSETH;Def;N45128;OSETH;Def;10:59:00;11:42:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;119836576;119836576;N45128;OSETH;Def;N1141;OSETH;Def;11:46:00;12:29:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;300172752;300172752;N1141;OSETH;Def;N45128;OSETH;Def;12:29:00;13:11:00;;0704_1
Day Type 3;Foinika;0704;0704;Revenue;07;OASTH;Def;655594731;655594731;N45128;OSETH;Def;N1141;OSETH;Def;13:16:00;13:58:00;;0704_1
