PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;336559074;336559074;N4018;OSETH;Def;N1344;OSETH;Def;05:00:00;05:25:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;188794310;188794310;N1344;OSETH;Def;N4018;OSETH;Def;05:25:00;05:55:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;988894591;988894591;N4018;OSETH;Def;N1344;OSETH;Def;06:00:00;06:28:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;733533411;733533411;N1344;OSETH;Def;N4018;OSETH;Def;06:28:00;06:59:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;379564539;379564539;N4018;OSETH;Def;N1344;OSETH;Def;07:05:00;07:36:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;934308429;934308429;N1344;OSETH;Def;N4018;OSETH;Def;07:36:00;08:09:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;641811216;641811216;N4018;OSETH;Def;N1344;OSETH;Def;08:50:00;09:25:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;783397676;783397676;N1344;OSETH;Def;N4018;OSETH;Def;09:25:00;10:03:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;220319631;220319631;N4018;OSETH;Def;N1344;OSETH;Def;10:25:00;11:03:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;139402138;139402138;N1344;OSETH;Def;N4018;OSETH;Def;11:03:00;11:42:00;;2101_1
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;938620090;938620090;N4018;OSETH;Def;N1344;OSETH;Def;12:05:00;12:45:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;725329455;725329455;N1344;OSETH;Def;N4018;OSETH;Def;12:45:00;13:25:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;836229467;836229467;N4018;OSETH;Def;N1344;OSETH;Def;13:40:00;14:19:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;645790293;645790293;N1344;OSETH;Def;N4018;OSETH;Def;14:19:00;14:57:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;270860381;270860381;N4018;OSETH;Def;N1344;OSETH;Def;15:05:00;15:41:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;574096960;574096960;N1344;OSETH;Def;N4018;OSETH;Def;15:41:00;16:18:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;275376546;275376546;N4018;OSETH;Def;N1344;OSETH;Def;16:25:00;17:01:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;152606705;152606705;N1344;OSETH;Def;N4018;OSETH;Def;17:01:00;17:37:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;178364501;178364501;N4018;OSETH;Def;N1344;OSETH;Def;18:05:00;18:41:00;;2101_2
Day Type 3;Stavroupoli;2101;2101;Revenue;21;OASTH;Def;892019783;892019783;N1344;OSETH;Def;N4018;OSETH;Def;18:41:00;19:17:00;;2101_2
Day Type 3;Stavroupoli;2102;2102;Revenue;21;OASTH;Def;112557547;112557547;N4018;OSETH;Def;N1344;OSETH;Def;05:30:00;05:57:00;;2102_1
Day Type 3;Stavroupoli;2102;2102;Revenue;21;OASTH;Def;952656158;952656158;N1344;OSETH;Def;N4018;OSETH;Def;05:57:00;06:27:00;;2102_1
