VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Foinika;Day Type 4;0701_1;640315641;VB_Piece;0701;;;Foinika;OASTH;Def;N45128;OSETH;Def;05:44:00;12:55:00
VERSION_U;Foinika;Day Type 4;0701_2;814409131;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;13:05:00;13:15:00
VERSION_U;Foinika;Day Type 4;0701_2;814409131;VB_Piece;0701;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:15:00;20:52:00
VERSION_U;Foinika;Day Type 4;0702_1;637811413;VB_Piece;0702;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:14:00;13:20:00
VERSION_U;Foinika;Day Type 4;0702_2;941999546;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;15:40:00;15:50:00
VERSION_U;Foinika;Day Type 4;0702_2;941999546;VB_Piece;0702;;;N45128;OSETH;Def;Foinika;OASTH;Def;15:50:00;23:30:00
VERSION_U;Foinika;Day Type 4;0703_1;884466401;VB_Piece;0703;;;Foinika;OASTH;Def;N45128;OSETH;Def;06:44:00;13:39:00
VERSION_U;Foinika;Day Type 4;0703_2;402867366;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;13:35:00;13:45:00
VERSION_U;Foinika;Day Type 4;0703_2;402867366;VB_Piece;0703;;;N45128;OSETH;Def;Foinika;OASTH;Def;13:45:00;21:56:00
VERSION_U;Foinika;Day Type 4;0704_1;822098046;VB_Piece;0704;;;Foinika;OASTH;Def;N45128;OSETH;Def;08:19:00;15:29:00
VERSION_U;Foinika;Day Type 4;0704_2;235502135;Pre_Duty;;;;N45128;OSETH;Def;N45128;OASTH;Def;16:55:00;17:05:00
VERSION_U;Foinika;Day Type 4;0704_2;235502135;VB_Piece;0704;;;N45128;OSETH;Def;Foinika;OASTH;Def;17:05:00;24:20:00
VERSION_U;Foinika;Day Type 4;1401_1;703280540;VB_Piece;1401;;;Foinika;OASTH;Def;N15006;OSETH;Def;04:59:00;12:40:00
VERSION_U;Foinika;Day Type 4;1401_2;131892722;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;12:50:00;13:00:00
VERSION_U;Foinika;Day Type 4;1401_2;131892722;VB_Piece;1401;;;N15006;OSETH;Def;Foinika;OASTH;Def;13:00:00;20:34:00
VERSION_U;Foinika;Day Type 4;1402_1;938996890;VB_Piece;1402;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:24:00;12:54:00
VERSION_U;Foinika;Day Type 4;1402_2;347084144;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;13:15:00;13:25:00
VERSION_U;Foinika;Day Type 4;1402_2;347084144;VB_Piece;1402;;;N15006;OSETH;Def;Foinika;OASTH;Def;13:25:00;21:11:00
VERSION_U;Foinika;Day Type 4;1403_1;694073119;VB_Piece;1403;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:44:00;13:22:00
VERSION_U;Foinika;Day Type 4;1403_2;889256009;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;13:45:00;13:55:00
VERSION_U;Foinika;Day Type 4;1403_2;889256009;VB_Piece;1403;;;N15006;OSETH;Def;Foinika;OASTH;Def;13:55:00;21:40:00
VERSION_U;Foinika;Day Type 4;1404_1;631285821;VB_Piece;1404;;;Foinika;OASTH;Def;N15006;OSETH;Def;05:59:00;13:50:00
VERSION_U;Foinika;Day Type 4;1404_2;267099127;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;14:40:00;14:50:00
VERSION_U;Foinika;Day Type 4;1404_2;267099127;VB_Piece;1404;;;N15006;OSETH;Def;Foinika;OASTH;Def;14:50:00;22:32:00
VERSION_U;Foinika;Day Type 4;1405_1;233216011;VB_Piece;1405;;;Foinika;OASTH;Def;N15006;OSETH;Def;06:44:00;14:34:00
VERSION_U;Foinika;Day Type 4;1405_2;535267588;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;16:20:00;16:30:00
VERSION_U;Foinika;Day Type 4;1405_2;535267588;VB_Piece;1405;;;N15006;OSETH;Def;Foinika;OASTH;Def;16:30:00;24:06:00
VERSION_U;Foinika;Day Type 4;1406_1;171256707;VB_Piece;1406;;;Foinika;OASTH;Def;N15006;OSETH;Def;07:11:00;15:00:00
VERSION_U;Foinika;Day Type 4;1406_2;230769103;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;16:50:00;17:00:00
VERSION_U;Foinika;Day Type 4;1406_2;230769103;VB_Piece;1406;;;N15006;OSETH;Def;Foinika;OASTH;Def;17:00:00;24:36:00
VERSION_U;Foinika;Day Type 4;1407_1;817099507;VB_Piece;1407;;;Foinika;OASTH;Def;N15006;OSETH;Def;07:35:00;15:30:00
VERSION_U;Foinika;Day Type 4;1407_2;667121118;Pre_Duty;;;;N15006;OSETH;Def;N15006;OASTH;Def;17:20:00;17:30:00
VERSION_U;Foinika;Day Type 4;1407_2;667121118;VB_Piece;1407;;;N15006;OSETH;Def;Foinika;OASTH;Def;17:30:00;24:36:00
