VERSION;PROJECT_NAME;PROJUNIT_NAME;DUTY_COMPANYCODE;DUTY_ID;PIECETYPE_NAME;REFERREDVB_COMPANYCODE;PRETIMESEC;POSTTIMESEC;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME
VERSION_U;Stavroupoli;Day Type 2;2101_1;117214943;VB_Piece;2101;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;04:50:00;12:01:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;594061113;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;12:12:00;12:22:00
VERSION_U;Stavroupoli;Day Type 2;2101_2;594061113;VB_Piece;2101;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;12:22:00;20:25:00
VERSION_U;Stavroupoli;Day Type 2;2102_1;374606951;VB_Piece;2102;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:10:00;12:37:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;842241372;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;12:50:00;13:00:00
VERSION_U;Stavroupoli;Day Type 2;2102_2;842241372;VB_Piece;2102;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;13:00:00;21:08:00
VERSION_U;Stavroupoli;Day Type 2;2103_1;801942701;VB_Piece;2103;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:25:00;12:54:00
VERSION_U;Stavroupoli;Day Type 2;2103_2;679707930;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;13:25:00;13:35:00
VERSION_U;Stavroupoli;Day Type 2;2103_2;679707930;VB_Piece;2103;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;13:35:00;21:36:00
VERSION_U;Stavroupoli;Day Type 2;2104_1;506386814;VB_Piece;2104;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;05:40:00;13:29:00
VERSION_U;Stavroupoli;Day Type 2;2104_2;203531356;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;14:00:00;14:10:00
VERSION_U;Stavroupoli;Day Type 2;2104_2;203531356;VB_Piece;2104;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;14:10:00;22:17:00
VERSION_U;Stavroupoli;Day Type 2;2105_1;718640401;VB_Piece;2105;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;06:10:00;14:04:00
VERSION_U;Stavroupoli;Day Type 2;2105_2;188596659;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;15:30:00;15:40:00
VERSION_U;Stavroupoli;Day Type 2;2105_2;188596659;VB_Piece;2105;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;15:40:00;23:39:00
VERSION_U;Stavroupoli;Day Type 2;2106_1;903064698;VB_Piece;2106;;;Stavroupoli;OASTH;Def;N4018;OSETH;Def;08:10:00;16:13:00
VERSION_U;Stavroupoli;Day Type 2;2106_2;706455795;Pre_Duty;;;;N4018;OSETH;Def;N4018;OASTH;Def;16:15:00;16:25:00
VERSION_U;Stavroupoli;Day Type 2;2106_2;706455795;VB_Piece;2106;;;N4018;OSETH;Def;Stavroupoli;OASTH;Def;16:25:00;24:08:00
VERSION_U;Stavroupoli;Day Type 2;2107_2;137078427;VB_Piece;2107;;;Stavroupoli;OASTH;Def;Stavroupoli;OASTH;Def;16:45:00;24:37:00
