PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;643090563;643090563;N1337;OSETH;Def;N1487;OSETH;Def;05:00:00;05:30:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;161892299;161892299;N1487;OSETH;Def;N1337;OSETH;Def;05:45:00;06:13:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;169784738;169784738;N1337;OSETH;Def;N1487;OSETH;Def;06:15:00;06:46:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;833101353;833101353;N1487;OSETH;Def;N1337;OSETH;Def;07:00:00;07:31:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;795128455;795128455;N1337;OSETH;Def;N1487;OSETH;Def;07:33:00;08:08:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;486410550;486410550;N1487;OSETH;Def;N1337;OSETH;Def;08:21:00;08:56:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;512600042;512600042;N1337;OSETH;Def;N1487;OSETH;Def;08:58:00;09:35:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;492351540;492351540;N1487;OSETH;Def;N1337;OSETH;Def;10:05:00;10:42:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;892993915;892993915;N1337;OSETH;Def;N1487;OSETH;Def;10:44:00;11:23:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;450088576;450088576;N1487;OSETH;Def;N1337;OSETH;Def;11:35:00;12:12:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;181883092;181883092;N1337;OSETH;Def;N1487;OSETH;Def;12:14:00;12:54:00;;1001_1
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;254951242;254951242;N1487;OSETH;Def;N1337;OSETH;Def;13:15:00;13:52:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;397234042;397234042;N1337;OSETH;Def;N1487;OSETH;Def;13:54:00;14:34:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;992048767;992048767;N1487;OSETH;Def;N1337;OSETH;Def;14:50:00;15:27:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;277388223;277388223;N1337;OSETH;Def;N1487;OSETH;Def;15:29:00;16:09:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;321667433;321667433;N1487;OSETH;Def;N1337;OSETH;Def;16:30:00;17:06:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;215860718;215860718;N1337;OSETH;Def;N1487;OSETH;Def;17:08:00;17:47:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;994721889;994721889;N1487;OSETH;Def;N1337;OSETH;Def;18:25:00;19:01:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;681907576;681907576;N1337;OSETH;Def;N1487;OSETH;Def;19:03:00;19:42:00;;1001_2
Day Type 1-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;216896633;216896633;N1487;OSETH;Def;N1337;OSETH;Def;19:55:00;20:30:00;;1001_2
