PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;802178242;802178242;N1487;OSETH;Def;N1337;OSETH;Def;05:00:00;05:25:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;218647907;218647907;N1487;OSETH;Def;N1337;OSETH;Def;05:30:00;05:58:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;139212801;139212801;N1337;OSETH;Def;N1487;OSETH;Def;06:00:00;06:28:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;359459177;359459177;N1487;OSETH;Def;N1337;OSETH;Def;06:35:00;07:04:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;887798279;887798279;N1337;OSETH;Def;N1487;OSETH;Def;07:06:00;07:36:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;936486753;936486753;N1487;OSETH;Def;N1337;OSETH;Def;08:08:00;08:38:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;412188857;412188857;N1337;OSETH;Def;N1487;OSETH;Def;08:40:00;09:10:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;544857491;544857491;N1487;OSETH;Def;N1337;OSETH;Def;09:24:00;09:54:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;355718567;355718567;N1337;OSETH;Def;N1487;OSETH;Def;09:56:00;10:28:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;360168284;360168284;N1487;OSETH;Def;N1337;OSETH;Def;10:46:00;11:17:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;101110021;101110021;N1337;OSETH;Def;N1487;OSETH;Def;11:19:00;11:52:00;;1001_1
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;158390404;158390404;N1487;OSETH;Def;N1337;OSETH;Def;12:32:00;13:04:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;116374124;116374124;N1337;OSETH;Def;N1487;OSETH;Def;13:06:00;13:39:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;620177345;620177345;N1487;OSETH;Def;N1337;OSETH;Def;13:55:00;14:28:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;319544971;319544971;N1337;OSETH;Def;N1487;OSETH;Def;14:30:00;15:03:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;392524818;392524818;N1487;OSETH;Def;N1337;OSETH;Def;15:15:00;15:47:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;646773564;646773564;N1337;OSETH;Def;N1487;OSETH;Def;15:49:00;16:21:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;943019303;943019303;N1487;OSETH;Def;N1337;OSETH;Def;16:44:00;17:16:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;982395022;982395022;N1337;OSETH;Def;N1487;OSETH;Def;17:18:00;17:50:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;946228835;946228835;N1487;OSETH;Def;N1337;OSETH;Def;18:08:00;18:40:00;;1001_2
Day Type 4-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;898056332;898056332;N1337;OSETH;Def;N1487;OSETH;Def;18:42:00;19:14:00;;1001_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;340873533;340873533;N1337;OSETH;Def;N1487;OSETH;Def;05:15:00;05:40:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;991124080;991124080;N1487;OSETH;Def;N1337;OSETH;Def;05:45:00;06:13:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;419626661;419626661;N1337;OSETH;Def;N1487;OSETH;Def;06:15:00;06:44:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;432427466;432427466;N1487;OSETH;Def;N1337;OSETH;Def;06:58:00;07:27:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;110475929;110475929;N1337;OSETH;Def;N1487;OSETH;Def;07:29:00;07:59:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;845622594;845622594;N1487;OSETH;Def;N1337;OSETH;Def;08:21:00;08:51:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;560405088;560405088;N1337;OSETH;Def;N1487;OSETH;Def;08:53:00;09:23:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;787199644;787199644;N1487;OSETH;Def;N1337;OSETH;Def;09:48:00;10:18:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;325306121;325306121;N1337;OSETH;Def;N1487;OSETH;Def;10:20:00;10:52:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;939161566;939161566;N1487;OSETH;Def;N1337;OSETH;Def;11:10:00;11:42:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;110997464;110997464;N1337;OSETH;Def;N1487;OSETH;Def;11:44:00;12:17:00;;1002_1
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;525263604;525263604;N1487;OSETH;Def;N1337;OSETH;Def;13:11:00;13:44:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;168740713;168740713;N1337;OSETH;Def;N1487;OSETH;Def;13:46:00;14:19:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;953390522;953390522;N1487;OSETH;Def;N1337;OSETH;Def;14:25:00;14:57:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;904107699;904107699;N1337;OSETH;Def;N1487;OSETH;Def;14:58:00;15:30:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;487160132;487160132;N1487;OSETH;Def;N1337;OSETH;Def;15:35:00;16:07:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;680908618;680908618;N1337;OSETH;Def;N1487;OSETH;Def;16:09:00;16:41:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;492380693;492380693;N1487;OSETH;Def;N1337;OSETH;Def;16:56:00;17:28:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;227713139;227713139;N1337;OSETH;Def;N1487;OSETH;Def;17:30:00;18:02:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;448849838;448849838;N1487;OSETH;Def;N1337;OSETH;Def;18:33:00;19:05:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;478066536;478066536;N1337;OSETH;Def;N1487;OSETH;Def;19:07:00;19:40:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;535013287;535013287;N1487;OSETH;Def;N1337;OSETH;Def;19:45:00;20:18:00;;1002_2
Day Type 4-1-1;Foinika;1002;1002;Revenue;10;OASTH;Def;638703305;638703305;N1337;OSETH;Def;N1487;OSETH;Def;20:20:00;20:55:00;;1002_2
Day Type 4-1-1;Foinika;1003;1003;Revenue;10;OASTH;Def;363967619;363967619;N1487;OSETH;Def;N1337;OSETH;Def;05:00:00;05:28:00;;1003_1
