PROJUNIT_NAME;PROJECT_NAME;VB_COMPANYCODE;VEHBLOCK_ID;PIECETYPE_NAME;LINE_COMPANYCODE;LINE_BASIN;LINE_COMPANY;JOURNEY_ID;TRIP_ID;STARTNODE_COMPANYCODE;STARTNODE_BASIN;STARTNODE_COMPANY;ENDNODE_COMPANYCODE;ENDNODE_BASIN;ENDNODE_COMPANY;START_TIME;END_TIME;RECHARGETYPE_NAME;DUTY
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;924311519;924311519;N1337;OSETH;Def;N1487;OSETH;Def;05:00:00;05:30:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;466393237;466393237;N1487;OSETH;Def;N1337;OSETH;Def;05:45:00;06:14:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;968408883;968408883;N1337;OSETH;Def;N1487;OSETH;Def;06:16:00;06:46:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;673955183;673955183;N1487;OSETH;Def;N1337;OSETH;Def;07:00:00;07:29:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;649873065;649873065;N1337;OSETH;Def;N1487;OSETH;Def;07:31:00;08:02:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;662792907;662792907;N1487;OSETH;Def;N1337;OSETH;Def;08:13:00;08:44:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;151127992;151127992;N1337;OSETH;Def;N1487;OSETH;Def;08:46:00;09:18:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;888156244;888156244;N1487;OSETH;Def;N1337;OSETH;Def;09:54:00;10:27:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;998533716;998533716;N1337;OSETH;Def;N1487;OSETH;Def;10:29:00;11:03:00;;1001_1
Day Type 3-1-1-1;Foinika;1001;1001;Revenue;10;OASTH;Def;175412403;175412403;N1487;OSETH;Def;N1337;OSETH;Def;11:11:00;11:46:00;;1001_1
